condition,magnitude_target_deg,specimen,achieved_err_all_deg,achieved_err_proximal_deg,achieved_err_distal_deg,donor_or_seed
random,15.0,synth_000,14.808522787335786,15.739910496465853,13.877135078205717,0
random,15.0,synth_001,14.680992720408815,14.758663587250611,14.60332185356702,0
random,15.0,synth_002,14.96814763528462,13.625178207972658,16.31111706259658,0
random,15.0,synth_003,15.848067867303772,14.763222223439953,16.93291351116759,0
random,15.0,synth_004,14.889528250256413,15.33698222622134,14.442074274291489,0
random,15.0,synth_005,14.664649517089227,15.31567175996314,14.013627274215322,0
random,15.0,synth_006,13.912517674364766,14.435572049520637,13.389463299208899,0
random,15.0,synth_007,15.159398919901427,15.187404016115048,15.131393823687805,0
random,15.0,synth_008,14.83810897060767,13.911602445075708,15.764615496139633,0
random,15.0,synth_009,15.613469982519796,16.020224530173532,15.206715434866059,0
random,15.0,synth_010,15.81102288832022,16.33292843756442,15.289117339076032,0
random,15.0,synth_011,15.05706497757399,16.188720219164757,13.925409735983223,0
random,23.0,synth_000,22.706401607248203,24.13452942791431,21.278273786582098,0
random,23.0,synth_001,22.510855504626857,22.629950833784278,22.391760175469432,0
random,23.0,synth_002,22.951159707436418,20.89193991889141,25.01037949598142,0
random,23.0,synth_003,24.300370729865783,22.63694074260793,25.96380071712364,0
random,23.0,synth_004,22.830609983726507,23.516706080206053,22.144513887246948,0
random,23.0,synth_005,22.485795926203487,23.48403003194348,21.48756182046349,0
random,23.0,synth_006,21.332527100692644,22.13454380926498,20.530510392120313,0
random,23.0,synth_007,23.24441167718219,23.287352824709746,23.201470529654635,0
random,23.0,synth_008,22.751767088265098,21.331123749116088,24.17241042741411,0
random,23.0,synth_009,23.94065397319702,24.564344279599414,23.31696366679462,0
random,23.0,synth_010,24.243568428757676,25.04382360426544,23.443313253249915,0
random,23.0,synth_011,23.08749963228012,24.822704336052634,21.352294928507607,0
random,30.0,synth_000,29.61704557467157,31.479820992931707,27.754270156411433,0
random,30.0,synth_001,29.36198544081763,29.517327174501222,29.20664370713404,0
random,30.0,synth_002,29.93629527056924,27.250356415945316,32.62223412519316,0
random,30.0,synth_003,31.696135734607545,29.526444446879907,33.86582702233518,0
random,30.0,synth_004,29.779056500512826,30.67396445244268,28.884148548582978,0
random,30.0,synth_005,29.329299034178455,30.63134351992628,28.027254548430644,0
random,30.0,synth_006,27.825035348729532,28.871144099041274,26.778926598417797,0
random,30.0,synth_007,30.318797839802855,30.374808032230096,30.26278764737561,0
random,30.0,synth_008,29.67621794121534,27.823204890151416,31.529230992279267,0
random,30.0,synth_009,31.22693996503959,32.040449060347065,30.413430869732117,0
random,30.0,synth_010,31.62204577664044,32.66585687512884,30.578234678152064,0
random,30.0,synth_011,30.11412995514798,32.377440438329515,27.850819471966446,0
proximal,15.0,synth_000,15.274216641900816,23.60986574469878,6.938567539102858,0
proximal,15.0,synth_001,14.719828153829715,22.13799538087592,7.30166092678351,0
proximal,15.0,synth_002,14.296662921628638,20.437767311958986,8.15555853129829,0
proximal,15.0,synth_003,15.305645045371856,22.14483333515993,8.466456755583796,0
proximal,15.0,synth_004,15.113255238238878,23.005473339332013,7.2210371371457445,0
proximal,15.0,synth_005,14.990160638526184,22.97350763994471,7.006813637107661,0
proximal,15.0,synth_006,14.174044861942702,21.653358074280952,6.694731649604449,0
proximal,15.0,synth_007,15.173401468008239,22.781106024172576,7.565696911843903,0
proximal,15.0,synth_008,14.374855707841691,20.867403667613562,7.882307748069817,0
proximal,15.0,synth_009,15.816847256346664,24.03033679526029,7.603357717433029,0
proximal,15.0,synth_010,16.07197566294232,24.49939265634663,7.644558669538016,0
proximal,15.0,synth_011,15.622892598369374,24.28308032874714,6.9627048679916115,0
proximal,23.0,synth_000,23.420465517581256,36.20179414187147,10.639136893291049,0
proximal,23.0,synth_001,22.570403169205562,33.9449262506764,11.195880087734716,0
proximal,23.0,synth_002,21.92154981316391,31.33790987833711,12.50518974799071,0
proximal,23.0,synth_003,23.468655736236855,33.95541111391189,12.98190035856182,0
proximal,23.0,synth_004,23.17365803196628,35.27505912030908,11.072256943623474,0
proximal,23.0,synth_005,22.984912979073485,35.22604504791522,10.743780910231745,0
proximal,23.0,synth_006,21.73353545497881,33.20181571389747,10.265255196060156,0
proximal,23.0,synth_007,23.26588225094597,34.93102923706462,11.600735264827318,0
proximal,23.0,synth_008,22.04144541869059,31.99668562367414,12.086205213707055,0
proximal,23.0,synth_009,24.252499126398213,36.84651641939912,11.65848183339731,0
proximal,23.0,synth_010,24.64369601651156,37.56573540639816,11.721656626624958,0
proximal,23.0,synth_011,23.955101984166376,37.23405650407895,10.676147464253804,0
proximal,30.0,synth_000,30.548433283801632,47.21973148939756,13.877135078205717,0
proximal,30.0,synth_001,29.43965630765943,44.27599076175184,14.60332185356702,0
proximal,30.0,synth_002,28.593325843257276,40.87553462391797,16.31111706259658,0
proximal,30.0,synth_003,30.61129009074371,44.28966667031986,16.93291351116759,0
proximal,30.0,synth_004,30.226510476477756,46.01094667866403,14.442074274291489,0
proximal,30.0,synth_005,29.98032127705237,45.94701527988942,14.013627274215322,0
proximal,30.0,synth_006,28.348089723885405,43.306716148561904,13.389463299208899,0
proximal,30.0,synth_007,30.346802936016477,45.56221204834515,15.131393823687805,0
proximal,30.0,synth_008,28.749711415683382,41.734807335227124,15.764615496139633,0
proximal,30.0,synth_009,31.633694512693328,48.06067359052058,15.206715434866059,0
proximal,30.0,synth_010,32.14395132588464,48.99878531269326,15.289117339076032,0
proximal,30.0,synth_011,31.245785196738748,48.56616065749428,13.925409735983223,0
distal,15.0,synth_000,14.34282893277075,7.869955248232927,20.815702617308574,0
distal,15.0,synth_001,14.64215728698792,7.379331793625306,21.904982780350533,0
distal,15.0,synth_002,15.6396323489406,6.812589103986329,24.466675593894866,0
distal,15.0,synth_003,16.39049068923568,7.381611111719977,25.399370266751383,0
distal,15.0,synth_004,14.665801262273952,7.66849111311067,21.66311141143723,0
distal,15.0,synth_005,14.339138395652277,7.65783587998157,21.02044091132298,0
distal,15.0,synth_006,13.650990486786831,7.2177860247603185,20.084194948813344,0
distal,15.0,synth_007,15.145396371794618,7.593702008057524,22.69709073553171,0
distal,15.0,synth_008,15.301362233373656,6.955801222537854,23.646923244209457,0
distal,15.0,synth_009,15.410092708692925,8.010112265086766,22.81007315229909,0
distal,15.0,synth_010,15.550070113698126,8.16646421878221,22.933676008614043,0
