specimen,rate_AtoB,rate_BtoA,asymmetry,delta_AtoB,delta_BtoA,worsen_AtoB,improve_BtoA
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,0.07392363931762795,0.004250797024442083,0.06967284229318586,101.0,-292.0,True,True
Acromyrmex_coronatus_CASENT0744365_processed.obj,0.20389926888708368,0.02660140455416046,0.17729786433292322,230.0,-541.0,True,True
Acromyrmex_lobicornis_CASENT0878007_processed.obj,0.08285946385052803,0.011689691817215728,0.0711697720333123,59.0,-8.0,True,True
Anochetus_risii_CASENT0877608_processed.obj,0.0,0.0,0.0,0.0,0.0,False,False
Anochetus_risii_CASENT0877609_processed.obj,0.0,0.005118362124120281,-0.005118362124120281,-16.0,44.0,False,False
Aphaenogaster_pallida_CASENT0745235_processed.obj,0.12428919577579203,0.0004250797024442083,0.12386411607334782,118.0,-496.0,True,True
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,0.22258326563769293,0.004675876726886291,0.21790738891080663,238.0,145.0,True,False
Carebara_trechideros_CASENT0877591_processed.obj,0.10641754670999187,0.01849096705632306,0.08792657965366882,124.0,13.0,True,False
Centromyrmex_brachycola_CASENT0744052_processed.obj,0.14703493095044678,0.0006376195536663124,0.14639731139678047,138.0,-298.0,True,True
Cephalotes_minutus_CASENT0709253_processed.obj,0.11372867587327376,0.0006377551020408163,0.11309092077123295,134.0,-25.0,True,True
Cephalotes_simillimus_CASENT0744408_processed.obj,0.043866774979691305,0.004250797024442083,0.039615977955249224,28.0,-322.0,True,True
Cephalotes_spinosus_CASENT0744158_processed.obj,0.09179528838342811,0.0006376195536663124,0.0911576688297618,75.0,-173.0,True,True
Crematogaster_nawai_OKENT0105046_processed.obj,0.08935824532900082,0.020625132893897512,0.0687331124351033,77.0,-129.0,True,True
Cryptopone_sauteri_CASENT0743771_processed.obj,0.1454102355808286,0.0006376195536663124,0.1447726160271623,121.0,-243.0,True,True
Cyphoidris_afrc-tz01_CASENT0744810_processed.obj,0.05777054515866558,0.008290816326530613,0.049479728832134966,47.0,-158.0,True,True
Cyphomyrmex_cf.minutus_CASENT0744280_processed.obj,0.008123476848090982,0.0,0.008123476848090982,6.0,-6.0,True,True
Dilobocondyla_fouqueti_CASENT0745576_processed.obj,0.1462225832656377,0.001488411652136934,0.14473417161350077,100.0,-189.0,True,True
Dorylus_fulvus_CASENT0745678_processed.obj,0.0008123476848090983,0.0012755102040816326,-0.0004631625192725343,1.0,6.0,True,False
Eciton_hamatum_CASENT0744580_processed.obj,0.13739837398373983,0.03914060838119549,0.09825776560254434,51.0,169.0,True,False
Ectatomma_brunneum_CASENT0744575_processed.obj,0.002437043054427295,0.0021258503401360546,0.00031119271429124037,3.0,-475.0,True,True
Eurhopalothrix_procera_CASENT0745605_processed.obj,0.01462225832656377,0.0010626992561105207,0.01355955907045325,-28.0,-182.0,False,True
Heteroponera_panamensis_CASENT0744055_processed.obj,0.03983739837398374,0.022321428571428572,0.01751596980255517,48.0,125.0,True,False
Labidus_praedator_CASENT0744236_processed.obj,0.003257328990228013,0.027842720510095644,-0.02458539151986763,10.0,101.0,True,False
Labidus_praedator_CASENT0744237_processed.obj,0.14703493095044678,0.008943781942078365,0.1380911490083684,128.0,-333.0,True,True
Lasius_nr._fuliginosus_CASENT0878037_processed.obj,0.06590724165988608,0.014240170031880977,0.0516670716280051,43.0,-445.0,True,True
Lioponera_daikoku_OKENT0105067_processed.obj,0.03349673202614379,0.015515409139213603,0.017981322886930187,38.0,-93.0,True,True
Mayriella_sp._CASENT0745610_processed.obj,0.07323026851098453,0.04973432518597237,0.02349594332501216,75.0,-222.0,True,True
