profile,candidate_weight,iteration,gwn_frac_of_total,raw_penetration_gwn,raw_chamfer
stage2,0.0005,0,0.004947727692862475,0.035863712430000305,0.0026681674644351006
stage2,0.0005,1,0.004366582386889204,0.04044197127223015,0.0025701667182147503
stage2,0.0005,2,0.004385666605777048,0.036429401487112045,0.0023048161529004574
stage2,0.0005,3,0.0044804203612074265,0.03566865250468254,0.0022514481097459793
stage2,0.0005,4,0.0046989645442756835,0.035959552973508835,0.00216476758942008
stage2,0.0005,5,0.004960005839055778,0.036427244544029236,0.002057362115010619
stage2,0.0005,6,0.0056340948780262265,0.03877915441989899,0.001867620274424553
stage2,0.0005,7,0.005899700084998769,0.03934839367866516,0.001791350543498993
stage2,0.0005,8,0.005957047418789809,0.0394027978181839,0.0017900802195072174
stage2,0.0005,9,0.006135498670537751,0.03879101201891899,0.001666171825490892
stage2,0.0005,10,0.006152426348318688,0.037919532507658005,0.0016069667181000113
stage2,0.0005,11,0.0061444276923347686,0.03660186752676964,0.001522093778476119
stage2,0.0005,12,0.0062154696544880475,0.036070503294467926,0.0014607009943574667
stage2,0.0005,13,0.006355457808357387,0.03649795800447464,0.0014427367132157087
stage2,0.0005,14,0.006670803741001802,0.03726932406425476,0.0013756681000813842
stage2,0.0005,15,0.007093961653822577,0.03828973323106766,0.0012903957394883037
stage2,0.0005,16,0.007268299733853718,0.03856097161769867,0.0012541265459731221
stage2,0.0005,17,0.0075222943530517195,0.03913521766662598,0.0012111383257433772
stage2,0.0005,18,0.007546957239564281,0.03887776657938957,0.0011966985184699297
stage2,0.0005,19,0.007522562917345277,0.03808077424764633,0.0011613405076786876
stage2,0.001,0,0.010039012810011827,0.035863712430000305,0.002598408842459321
stage2,0.001,1,0.008589882795228976,0.04016338288784027,0.0026098114904016256
stage2,0.001,2,0.008874709187106653,0.037422798573970795,0.0023471475578844547
stage2,0.001,3,0.008917788643047424,0.03547338396310806,0.00223108334466815
stage2,0.001,4,0.009024576313243346,0.03483811020851135,0.002178242662921548
stage2,0.001,5,0.009621810969888716,0.03491834178566933,0.0019974003080278635
stage2,0.001,6,0.010583820816254788,0.03734692931175232,0.0019349092617630959
stage2,0.001,7,0.012110591206844072,0.04057499021291733,0.0017911279574036598
stage2,0.001,8,0.012455043055932629,0.040952131152153015,0.0017546716844663024
stage2,0.001,9,0.012752054580108738,0.04074839502573013,0.001680838642641902
stage2,0.001,10,0.013253719869199392,0.04071912541985512,0.001576154725626111
stage2,0.001,11,0.01355458729610322,0.04038366675376892,0.0015025297179818153
stage2,0.001,12,0.013371308735873628,0.03908039629459381,0.001460927538573742
stage2,0.001,13,0.013502163483755629,0.03861003369092941,0.0014117686077952385
stage2,0.001,14,0.013719830701433426,0.03878992795944214,0.0013901737984269857
stage2,0.001,15,0.014130052454601394,0.03874807804822922,0.001316144480369985
stage2,0.001,16,0.014502488491934995,0.03835402429103851,0.0012284773401916027
stage2,0.001,17,0.014820915158495712,0.038535282015800476,0.001192834577523172
stage2,0.001,18,0.014522659838254522,0.03771597892045975,0.0011997588444501162
stage2,0.001,19,0.015253103594725509,0.03853246197104454,0.0011367489350959659
stage2,0.005,0,0.04813003084227718,0.035863712430000305,0.002608230337500572
stage2,0.005,1,0.041632233745878405,0.040417201817035675,0.0026175626553595066
stage2,0.005,2,0.04087422875129774,0.03538688272237778,0.0023168628104031086
stage2,0.005,3,0.040484386063634116,0.03317560628056526,0.0022185081616044044
stage2,0.005,4,0.043255932296599825,0.03423452004790306,0.0021352618932724
stage2,0.005,5,0.04827709422949235,0.03668881580233574,0.0020155697129666805
stage2,0.005,6,0.054607935270810315,0.0403885543346405,0.0019347518682479858
stage2,0.005,7,0.05901466440580137,0.04167554900050163,0.001799070043489337
stage2,0.005,8,0.06037169163434052,0.041474848985672,0.0017325782682746649
stage2,0.005,9,0.06110769353579141,0.04075130075216293,0.0016570360166952014
stage2,0.005,10,0.05977950354596733,0.038566604256629944,0.0015768514713272452
stage2,0.005,11,0.05860513119440243,0.03720057010650635,0.0015489670913666487
stage2,0.005,12,0.05939240679094217,0.03607742488384247,0.001432998338714242
stage2,0.005,13,0.06206389618257408,0.03694592043757439,0.0013820971362292767
stage2,0.005,14,0.06429759739727335,0.037819862365722656,0.0013534281169995666
stage2,0.005,15,0.06587208910476167,0.03817164897918701,0.0013186780270189047
stage2,0.005,16,0.06857052446551519,0.03841237723827362,0.0012311653699725866
stage2,0.005,17,0.06794110644502445,0.0376652292907238,0.001215346623212099
stage2,0.005,18,0.06805266403875697,0.03692391514778137,0.0011689020320773125
stage2,0.005,19,0.06714770296855295,0.03622366860508919,0.0011656209826469421
stage3,0.0005,0,0.011160190920321472,0.035863712430000305,0.002615524921566248
stage3,0.0005,1,0.009153082827217163,0.03674417361617088,0.0025711720809340477
stage3,0.0005,2,0.009881542425650052,0.03628554567694664,0.002372413408011198
stage3,0.0005,3,0.01063659773200791,0.03631390631198883,0.002204855903983116
stage3,0.0005,4,0.010968957245740209,0.035681307315826416,0.002095951698720455
stage3,0.0005,5,0.011413597144693347,0.035386279225349426,0.0019842693582177162
stage3,0.0005,6,0.01235917891061138,0.03654360771179199,0.0018705560360103846
stage3,0.0005,7,0.013295630851175981,0.0380222462117672,0.001793721690773964
stage3,0.0005,8,0.014560357047913348,0.039913639426231384,0.0016914659645408392
stage3,0.0005,9,0.014922155714158286,0.03988886624574661,0.001639398979023099
stage3,0.0005,10,0.015077691478701128,0.038885604590177536,0.0015606175875291228
stage3,0.0005,11,0.015446947292742425,0.03829231485724449,0.0014743972569704056
stage3,0.0005,12,0.015633985996654668,0.037955354899168015,0.0014338785549625754
stage3,0.0005,13,0.016015933549818517,0.0381896048784256,0.001398345804773271
stage3,0.0005,14,0.01691829818803133,0.03889412432909012,0.0013184415875002742
stage3,0.0005,15,0.018220208074684958,0.040047064423561096,0.0012239210773259401
stage3,0.0005,16,0.01835778859947241,0.03951549157500267,0.001184472581371665
stage3,0.0005,17,0.018493679380562476,0.03920295834541321,0.0011579873971641064
stage3,0.0005,18,0.017869627399857504,0.03752363100647926,0.0011449131416156888
stage3,0.0005,19,0.018296188943048422,0.037353210151195526,0.0010942902881652117
stage3,0.001,0,0.02179035252070723,0.035863712430000305,0.002657827455550432
stage3,0.001,1,0.018006565659452686,0.03703056275844574,0.0026336112059652805
stage3,0.001,2,0.020434944786733276,0.037471406161785126,0.00232982961460948
stage3,0.001,3,0.02151025741773921,0.036741308867931366,0.0021723085083067417
stage3,0.001,4,0.02226010343753754,0.03649375960230827,0.0020865059923380613
stage3,0.001,5,0.022531877264496798,0.035673223435878754,0.002013439079746604
stage3,0.001,6,0.024924027085346842,0.03714382275938988,0.0018580849282443523
stage3,0.001,7,0.025982008509994905,0.03772998973727226,0.001802597544156015
stage3,0.001,8,0.02776974421912223,0.03821855038404465,0.0016687399474903941
stage3,0.001,9,0.02896540974597292,0.03927149623632431,0.0016413790872320533
stage3,0.001,10,0.03033558423634382,0.03929882496595383,0.0015337917720898986
stage3,0.001,11,0.03089275514544864,0.03902318328619003,0.0014815767062827945
stage3,0.001,12,0.03175627341650172,0.03899148106575012,0.001418623491190374
stage3,0.001,13,0.033145240783755615,0.03939122334122658,0.001348875812254846
stage3,0.001,14,0.03407810505319264,0.03929756209254265,0.0012848165351897478
stage3,0.001,15,0.0350434834613105,0.039341457188129425,0.0012306214775890112
stage3,0.001,16,0.03476263206728814,0.0383499413728714,0.0011978994589298964
stage3,0.001,17,0.03419711083510908,0.03690158575773239,0.0011597161646932364
stage3,0.001,18,0.0339414981844286,0.03630095347762108,0.0011463884729892015
stage3,0.001,19,0.03490032246125264,0.036278218030929565,0.001092099817469716
stage3,0.005,0,0.0982834357229486,0.035863712430000305,0.002728221006691456
stage3,0.005,1,0.09298722150088473,0.040841132402420044,0.0025829430669546127
stage3,0.005,2,0.09525699301900414,0.03817503899335861,0.0023633595556020737
stage3,0.005,3,0.09570098781797694,0.036384113132953644,0.0022673257626593113
stage3,0.005,4,0.09936692178390262,0.03587077558040619,0.002131194807589054
stage3,0.005,5,0.10700712559651958,0.03674868866801262,0.0019877497106790543
stage3,0.005,6,0.11658126174807239,0.03864984214305878,0.00188309361692518
stage3,0.005,7,0.12243403923880151,0.03901749104261398,0.001772174146026373
stage3,0.005,8,0.12432371347691139,0.03881122171878815,0.001727619906887412
stage3,0.005,9,0.12691163246784243,0.0382261723279953,0.0016395299462601542
stage3,0.005,10,0.13141638096433772,0.03877336531877518,0.00158549880143255
stage3,0.005,11,0.13670991159681936,0.03900197893381119,0.0014963950961828232
stage3,0.005,12,0.14472124777308018,0.03971477970480919,0.0013894287403672934
stage3,0.005,13,0.14883913658049072,0.04027574509382248,0.001354534411802888
stage3,0.005,14,0.1538873538849556,0.0409851148724556,0.0013112477026879787
stage3,0.005,15,0.15525393476944963,0.04015804082155228,0.0012497451389208436
stage3,0.005,16,0.15759277139732347,0.03922171890735626,0.0011663076002150774
stage3,0.005,17,0.1531384775509746,0.038137394934892654,0.0011845651315525174
stage3,0.005,18,0.1555001516246103,0.0375378392636776,0.0011181815061718225
stage3,0.005,19,0.15405071921353508,0.03728833794593811,0.00113181141205132
