stage,specimen,part_a,part_b,direction,n_query_vertices,num_penetrating,max_depth,mean_depth_among_penetrating
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,legs,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,antenna,A_into_B,379,1.0,0.05958281829953194,0.05958281829953194
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,antenna,B_into_A,362,4.0,0.06888963282108307,0.06404519081115723
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,legs,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,legs,A_into_B,1231,11.0,0.06912802159786224,0.041781507432460785
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,legs,B_into_A,4705,32.0,0.06825074553489685,0.011266401037573814
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,legs,A_into_B,2173,30.0,0.009529306553304195,0.005072677507996559
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,legs,B_into_A,4705,66.0,0.013087167404592037,0.006582469679415226
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,mandible,antenna,A_into_B,379,0.0,0.0,0.0
