stage,specimen,part,n_vertices,precision@0.01,precision@0.02,precision@0.05
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,2173,0.6410492658615112,0.9516797065734863,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,379,0.40897098183631897,0.75461745262146,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,362,0.7762431502342224,0.9530386924743652,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,thorax,1379,0.5692530870437622,0.9129803776741028,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,1231,0.69861900806427,0.9138911366462708,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,legs,4705,0.5534537434577942,0.8367694020271301,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,2173,0.612057089805603,0.9130234718322754,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,mandible,379,0.8047493696212769,0.9947230219841003,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,antenna,362,0.2513812184333801,0.4751381278038025,0.9558011293411255
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,thorax,1379,0.612037718296051,0.9021029472351074,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,gaster,1231,0.60276198387146,0.930138111114502,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,legs,4705,0.3411264419555664,0.639107346534729,0.9921360015869141
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,head,2173,0.437643826007843,0.7620800733566284,0.9963184595108032
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,379,0.47757259011268616,0.9604222178459167,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,362,0.6187845468521118,0.8453038930892944,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,thorax,1379,0.5902827978134155,0.9637418389320374,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,gaster,1231,0.5694557428359985,0.9325751662254333,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,legs,4705,0.35536661744117737,0.6488841772079468,0.9744951725006104
