stage,specimen,part_a,part_b,direction,n_query_vertices,num_penetrating,max_depth,mean_depth_among_penetrating
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,legs,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,antenna,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,antenna,B_into_A,362,6.0,0.07025037705898285,0.06447494029998779
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,legs,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,legs,A_into_B,1231,15.0,0.07056382298469543,0.04118120297789574
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,legs,B_into_A,4705,14.0,0.013894583098590374,0.009847120381891727
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,legs,A_into_B,2173,18.0,0.007956137880682945,0.004718674346804619
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,legs,B_into_A,4705,92.0,0.025102298706769943,0.00983507465571165
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,mandible,antenna,A_into_B,379,0.0,0.0,0.0
