stage,specimen,part,n_vertices,precision@0.01,precision@0.02,precision@0.05
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,head,2173,0.6525540947914124,0.9691670536994934,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,mandible,379,0.42480212450027466,0.7625330090522766,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,antenna,362,0.7651934027671814,0.950276255607605,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,thorax,1379,0.5917330980300903,0.913705587387085,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,gaster,1231,0.7189276814460754,0.9293257594108582,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,legs,4705,0.563443124294281,0.8499468564987183,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,head,2173,0.618039608001709,0.8992176651954651,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,mandible,379,0.7598944902420044,0.9973615407943726,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,antenna,362,0.2209944874048233,0.5856353640556335,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,thorax,1379,0.6308919191360474,0.9238578677177429,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,gaster,1231,0.5613322257995605,0.9195775985717773,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed.obj,legs,4705,0.2814027667045593,0.5679064393043518,0.9965993165969849
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,head,2173,0.4583525061607361,0.757017970085144,0.9976990222930908
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,379,0.4696570038795471,0.936675488948822,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,362,0.580110490322113,0.8591160774230957,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,thorax,1379,0.5881072878837585,0.9492385387420654,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,gaster,1231,0.5613322257995605,0.9309504628181458,1.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,legs,4705,0.35579168796539307,0.6629117727279663,0.9768331050872803
