arm                      when   metric                       wins/n         p  P(verdict flips)  P(sig flips dir)
A1_offset                pose   chamfer_l2                   28/50   4.80e-01             0.000             0.000
A1_offset                pose   fscore@0.01                  25/50   1.00e+00             0.004             0.000
A1_offset                pose   fscore@0.02                  28/50   4.80e-01             0.009             0.003
A1_offset                pose   hausdorff_95                 30/50   2.03e-01             0.001             0.000
A1_offset                pose   normal_consistency           24/50   8.88e-01             0.011             0.000
A1_offset                pose   part_leg_distal_dist_mean    22/50   4.80e-01             0.000             0.000
A1_offset                pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A1_offset                pose   tri_quality_mean             20/50   2.03e-01   0.000 (determ.)                 -
A1_offset                pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A1_offset                pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A1_offset                pose   midline_dev_mean             20/50   2.03e-01   0.000 (determ.)                 -
A1_offset                final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
A1_offset                final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
A1_offset                final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
A1_offset                final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
A1_offset                final  normal_consistency            0/50   1.78e-15             0.000             0.000
A1_offset                final  part_leg_distal_dist_mean     0/50   1.78e-15             0.000             0.000
A1_offset                final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
A1_offset                final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
A1_offset                final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
A1_offset                final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
A1_offset                final  midline_dev_mean             40/50   2.39e-05   0.000 (determ.)                 -
A2_restedge              pose   chamfer_l2                    1/50   9.06e-14             0.000             0.000
A2_restedge              pose   fscore@0.01                   4/50   4.46e-10             0.000             0.000
A2_restedge              pose   fscore@0.02                   2/50   2.27e-12             0.000             0.000
A2_restedge              pose   hausdorff_95                  1/50   9.06e-14             0.000             0.000
A2_restedge              pose   normal_consistency           32/50   6.49e-02             0.637             0.000
A2_restedge              pose   part_leg_distal_dist_mean    40/50   2.39e-05             0.000             0.000
A2_restedge              pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A2_restedge              pose   tri_quality_mean             49/50   9.06e-14   0.000 (determ.)                 -
A2_restedge              pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A2_restedge              pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A2_restedge              pose   midline_dev_mean             31/50   1.19e-01   0.000 (determ.)                 -
