mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.013734511099755764,0.12356755137443542,0.047970596700906754,0.07559695839881897,0.19947583973407745,0.44638004899024963,0.03041728027164936,0.03423333540558815,0.02736666612327099,0.09896933287382126,0.13436666131019592,0.07833333313465118,0.2221665233373642,0.3097333312034607,0.17319999635219574,0.5178089737892151,0.6699000000953674,0.421999990940094,0.6652917861938477,0.2381666749715805,1.0,0.0,1.0,1.0,0.0,1.0,2.5815861448563737e-08,0.0,0.843834400177002,0.40851137042045593,0.0,0.0,0.0,0.019253898411989212,0.019335957244038582,0.020105602219700813,0.0,0.0338846892118454,0.08065576106309891,0.38007664680480957,0.029565030708909035,0.06660421937704086,0.37413713335990906,0.06238966062664986,0.11351626366376877,0.0883977934718132,0.04443639889359474,0.08112899214029312,0.23218998312950134,0.06725816428661346,0.18366330862045288,0.2044810801744461,0.18371546268463135,0.36110827326774597,0.12408758699893951
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.030897794291377068,0.17044594883918762,0.05103790760040283,0.11940804123878479,0.34216901659965515,0.7079744935035706,0.027859099209308624,0.03270000219345093,0.024266667664051056,0.08732277154922485,0.12836666405200958,0.06616666913032532,0.1765964776277542,0.28336668014526367,0.12826666235923767,0.4006078243255615,0.6072333455085754,0.2989000082015991,0.6307798624038696,0.3228999972343445,1.0,0.0,1.0,1.0,0.0,1.0,2.5407885573258682e-08,0.0,0.8473806977272034,0.4072825312614441,0.0,0.0,0.0,0.00509505532681942,0.005159571301192045,0.005645865574479103,0.0,0.026495760306715965,0.06072286516427994,0.4291187822818756,0.030243081972002983,0.07762853801250458,0.43442246317863464,0.17422813177108765,0.3706147074699402,0.0,0.08704767376184464,0.1541406661272049,0.0,0.07726752758026123,0.15656960010528564,0.07519958913326263,0.19887588918209076,0.4242796003818512,0.0
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.030314499512314796,0.18745157122612,0.05721819028258324,0.13023337721824646,0.2918750047683716,0.5331574082374573,0.013386347331106663,0.016633333638310432,0.011200000531971455,0.0459187775850296,0.08126666396856308,0.03200000151991844,0.10790054500102997,0.227033331990242,0.07076666504144669,0.29569968581199646,0.5418333411216736,0.20333333313465118,0.5258711576461792,0.45696666836738586,1.0,0.0,1.0,1.0,0.0,1.0,2.4166487477828014e-08,0.0,0.8509232997894287,0.42164379358291626,0.0,0.0,0.0,0.037485335022211075,0.03764045983552933,0.03930504247546196,0.0,0.031213602051138878,0.07278376817703247,0.3896551728248596,0.06743396818637848,0.1290944516658783,0.1458812654018402,0.11280087381601334,0.2786259651184082,0.1519337147474289,0.034472815692424774,0.06949447840452194,0.2744063436985016,0.08081908524036407,0.18553881347179413,0.09580221772193909,0.10697779804468155,0.2705524265766144,0.25669100880622864
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.013720937073230743,0.11914946138858795,0.04653465375304222,0.07261481136083603,0.18891912698745728,0.40981537103652954,0.03978252038359642,0.044866666197776794,0.035733334720134735,0.12095092982053757,0.1610666662454605,0.09683333337306976,0.2441272735595703,0.33633333444595337,0.1915999948978424,0.5434238314628601,0.6787999868392944,0.4530666768550873,0.6334303617477417,0.3124000132083893,1.0,0.0,1.0,1.0,0.0,1.0,2.3490420275606994e-08,0.0,0.8553134799003601,0.43934202194213867,0.0,0.0,0.0,0.00041785757639445364,0.0004967376007698476,0.00046068106894381344,0.0,0.030949756503105164,0.0741032287478447,0.4003831446170807,0.02327726222574711,0.05929023399949074,0.5260009169578552,0.13594713807106018,0.3388785421848297,0.11325967311859131,0.016918178647756577,0.04102073982357979,0.7229551672935486,0.06249300017952919,0.15611493587493896,0.228174090385437,0.2557069659233093,0.3743451237678528,0.0
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.039495836943387985,0.21131086349487305,0.065203957259655,0.14610689878463745,0.31511926651000977,0.7906222939491272,0.014119284227490425,0.018200000748038292,0.011533333919942379,0.04389932006597519,0.08839999884366989,0.029200000688433647,0.0956234484910965,0.227033331990242,0.06056666746735573,0.2532259523868561,0.503333330154419,0.1691666692495346,0.4748709797859192,0.4426000118255615,1.0,0.0,1.0,1.0,0.0,1.0,2.896015871556301e-08,0.0,0.8188689351081848,0.3052920699119568,0.0,0.0,0.0,0.02486671507358551,0.024965042248368263,0.02700127847492695,0.0,0.04233340173959732,0.11074534058570862,0.35938698053359985,0.059888746589422226,0.1455657184123993,0.2034054398536682,0.10343647003173828,0.1954708844423294,0.055248621851205826,0.12272749096155167,0.1557110846042633,0.0,0.08480902016162872,0.1795589029788971,0.15400463342666626,0.0810605064034462,0.2310340702533722,0.17153283953666687
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.02029358595609665,0.15387223660945892,0.054705049842596054,0.09916719049215317,0.23989127576351166,0.43107935786247253,0.01880381442606449,0.022033333778381348,0.01640000008046627,0.06415758281946182,0.09386666864156723,0.04873333498835564,0.14834533631801605,0.23366667330265045,0.10866666585206985,0.3814411461353302,0.586899995803833,0.28253334760665894,0.58869469165802,0.3044666647911072,1.0,0.0,1.0,1.0,0.0,1.0,2.569346868597222e-08,0.0,0.8362653255462646,0.38819682598114014,0.0,0.0,0.0,0.029905283823609352,0.030103087425231934,0.028120089322328568,0.0,0.04016575962305069,0.11621271073818207,0.3176245391368866,0.05025981739163399,0.10103099793195724,0.176714226603508,0.08922316133975983,0.2349085658788681,0.22651934623718262,0.06942841410636902,0.09258469194173813,0.0,0.06720313429832458,0.19805338978767395,0.21220706403255463,0.1338777393102646,0.38474398851394653,0.05596106871962547
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.0247111227363348,0.16473591327667236,0.07954492419958115,0.08519098162651062,0.21960271894931793,0.5765379667282104,0.027371730655431747,0.028733333572745323,0.026133334264159203,0.07836788147687912,0.08606667071580887,0.0719333365559578,0.16177766025066376,0.18086667358875275,0.14633333683013916,0.4121709167957306,0.44413334131240845,0.38449999690055847,0.5165531039237976,0.3724333345890045,1.0,0.0,1.0,1.0,0.0,1.0,2.5367089762085016e-08,0.0,0.8502775430679321,0.4214807450771332,0.0,0.0,0.0,0.025129344314336777,0.025281911715865135,0.029503507539629936,0.0,0.04681883752346039,0.13412795960903168,0.3057471215724945,0.0893607810139656,0.18707428872585297,0.11228716373443604,0.32358744740486145,0.49750611186027527,0.0,0.20933908224105835,0.2681581377983093,0.0,0.07227504998445511,0.21377207338809967,0.14627864956855774,0.2652832269668579,0.5110778212547302,0.0
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.03129151836037636,0.16544997692108154,0.07063909620046616,0.09481087327003479,0.3179522156715393,0.6911889910697937,0.03789204731583595,0.04116666689515114,0.035100001841783524,0.11473863571882248,0.13403333723545074,0.10029999911785126,0.2324097454547882,0.2752666771411896,0.20110000669956207,0.5084517002105713,0.5699999928474426,0.45890000462532043,0.6287261247634888,0.30436667799949646,1.0,0.0,1.0,1.0,0.0,1.0,2.6660941898626334e-08,0.0,0.8350537419319153,0.4044063091278076,0.0,0.0,0.0,0.030426761135458946,0.030544547364115715,0.0346476249396801,0.0,0.026610612869262695,0.06277350336313248,0.45402300357818604,0.0798892229795456,0.1605963557958603,0.14081914722919464,0.3097820281982422,0.4736509323120117,0.0,0.1662902981042862,0.20198310911655426,0.0,0.08488062024116516,0.20936761796474457,0.21658511459827423,0.24502533674240112,0.3812047839164734,0.0
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.014477537013590336,0.12391269952058792,0.044528938829898834,0.07938376069068909,0.19697578251361847,0.49700766801834106,0.030785800889134407,0.038233332335948944,0.02576666697859764,0.10114558786153793,0.15513333678245544,0.07503333687782288,0.22112567722797394,0.35276666283607483,0.16103333234786987,0.5018671751022339,0.7020999789237976,0.390500009059906,0.5122392177581787,0.3679666817188263,1.0,0.0,1.0,1.0,0.0,1.0,2.5897458399981588e-08,0.0,0.8410994410514832,0.4018595218658447,0.0,0.0,0.0,0.03532126918435097,0.0354081355035305,0.035243697464466095,0.0,0.034314632415771484,0.08756548166275024,0.3570881187915802,0.02883271872997284,0.06250655651092529,0.40082836151123047,0.06144457310438156,0.1627248078584671,0.3093922734260559,0.05929690599441528,0.09998819231987,0.07124011218547821,0.05760021507740021,0.19125999510288239,0.37368014454841614,0.19172805547714233,0.4078260660171509,0.03284671530127525
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.00913331564515829,0.10327324271202087,0.044398341327905655,0.05887489765882492,0.13112963736057281,0.4471099376678467,0.029220232740044594,0.03476666659116745,0.025200000032782555,0.10314402729272842,0.1508333384990692,0.07836666703224182,0.21991704404354095,0.3377666771411896,0.16303333640098572,0.5588853359222412,0.6805999875068665,0.4740999937057495,0.6555426120758057,0.33906668424606323,1.0,0.0,1.0,1.0,0.0,1.0,2.345545091486656e-08,0.0,0.8575799465179443,0.4430667757987976,0.0,0.0,0.0,0.0072441245429217815,0.007377295754849911,0.007575692143291235,0.0,0.04012155160307884,0.09177394956350327,0.33180075883865356,0.03078918159008026,0.06657715886831284,0.32995858788490295,0.12431369721889496,0.2585505247116089,0.11049724370241165,0.021840736269950867,0.05352399870753288,0.6094986796379089,0.04454755410552025,0.17485743761062622,0.4202935993671417,0.2142326384782791,0.38342809677124023,0.0
