mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.004069428890943527,0.06879617273807526,0.03075735829770565,0.038038816303014755,0.10422147065401077,0.2591094672679901,0.044529739767313004,0.045499999076128006,0.04360000044107437,0.17607007920742035,0.18266667425632477,0.16993333399295807,0.39159533381462097,0.41153332591056824,0.3734999895095825,0.7750522494316101,0.8245000243186951,0.7311999797821045,0.7279548048973083,0.2510000169277191,1.0,0.0,1.0,1.0,0.0,1.0,3.28009193140133e-08,0.0,0.7637603282928467,0.28999972343444824,0.0,0.0,0.0,0.006315059494227171,0.010481007397174835,0.006539089139550924,0.0,0.025641653686761856,0.061307478696107864,0.4839080572128296,0.02014433778822422,0.04075232520699501,0.5480902194976807,0.0352935753762722,0.1198802962899208,0.4944751560688019,0.030887624248862267,0.07317187637090683,0.3430079221725464,0.03601492568850517,0.0872066468000412,0.3134174644947052,0.05357268080115318,0.1860896795988083,0.37469586730003357
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.011059609241783619,0.10894076526165009,0.04814498499035835,0.060795776546001434,0.17611318826675415,0.4132043719291687,0.03571389988064766,0.03656666725873947,0.03490000218153,0.13659781217575073,0.1459999978542328,0.12833333015441895,0.29944953322410583,0.3257666826248169,0.2770666778087616,0.5807163119316101,0.6430000066757202,0.5294333100318909,0.5572465062141418,0.3564999997615814,1.0,0.0,1.0,1.0,0.0,1.0,4.228042982390434e-08,0.0,0.6408922672271729,0.1158936470746994,0.0,0.0,0.0,0.03985125571489334,0.04729660227894783,0.048703718930482864,0.0,0.03588777035474777,0.08876190334558487,0.3735632300376892,0.033052537590265274,0.07451619952917099,0.3543488383293152,0.08635807037353516,0.16765831410884857,0.07734806835651398,0.03940456733107567,0.05907093733549118,0.06068601831793785,0.05605310574173927,0.17172200977802277,0.29281485080718994,0.13353072106838226,0.3533041477203369,0.020681265741586685
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.009683405980467796,0.10124947130680084,0.03758024051785469,0.06366923451423645,0.17968851327896118,0.3560180366039276,0.024145079776644707,0.02553333342075348,0.02290000021457672,0.10817752033472061,0.12813334167003632,0.09359999746084213,0.26265382766723633,0.3319333493709564,0.21729999780654907,0.6188856363296509,0.7461666464805603,0.5286999940872192,0.6152015328407288,0.270633339881897,1.0,0.0,1.0,1.0,0.0,1.0,3.808706594554678e-08,0.0,0.7370114326477051,0.2135988473892212,0.0,0.0,0.0,0.038486991077661514,0.045131511986255646,0.039560578763484955,0.0,0.027822772040963173,0.06013532727956772,0.41417625546455383,0.03902876749634743,0.08709333837032318,0.297284871339798,0.02982657589018345,0.07889150083065033,0.4364641010761261,0.07092273235321045,0.1429690420627594,0.1213720366358757,0.05599218234419823,0.1570376604795456,0.24439866840839386,0.13787057995796204,0.33161699771881104,0.1082725077867508
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0051440587267279625,0.07053416967391968,0.03406935930252075,0.036464810371398926,0.1060219258069992,0.36698347330093384,0.05183890834450722,0.053066667169332504,0.05066666752099991,0.19173936545848846,0.2071000039577484,0.1784999966621399,0.4152832627296448,0.4488333463668823,0.3864000141620636,0.7872578501701355,0.8164666891098022,0.7600666880607605,0.6560772061347961,0.2612000107765198,1.0,0.0,1.0,1.0,0.0,1.0,2.8289914411061545e-08,0.0,0.7055793404579163,0.24240605533123016,0.0,0.0,0.0,0.006426643114537001,0.007966925390064716,0.007122599054127932,0.0,0.025879720225930214,0.06447005271911621,0.46628352999687195,0.02507677488029003,0.06475568562746048,0.4887252748012543,0.14637164771556854,0.3516974449157715,0.10220994800329208,0.024540305137634277,0.059799060225486755,0.5065963268280029,0.030855614691972733,0.09388327598571777,0.47540563344955444,0.13130348920822144,0.2990912199020386,0.07055961340665817
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.011923182755708694,0.11576612293720245,0.052046287804841995,0.06371983885765076,0.1702582836151123,0.45128870010375977,0.01974492333829403,0.02006666734814644,0.019433334469795227,0.09608342498540878,0.10046666860580444,0.09206666797399521,0.24833449721336365,0.2756666839122772,0.22593334317207336,0.5538848638534546,0.6179333329200745,0.5018666982650757,0.6305425763130188,0.28363335132598877,1.0,0.0,1.0,1.0,0.0,1.0,1.6773460842500754e-08,0.0,0.7214999794960022,0.21331502497196198,0.0,0.0,0.0,0.030335303395986557,0.03528579697012901,0.02996787056326866,0.0,0.03738229721784592,0.10153919458389282,0.3137931227684021,0.038046758621931076,0.08490171283483505,0.33133918046951294,0.08703038096427917,0.15518322587013245,0.06906077265739441,0.02910718508064747,0.06536827981472015,0.4010554254055023,0.062022581696510315,0.15798550844192505,0.22662889957427979,0.13576017320156097,0.3620035648345947,0.10705596208572388
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.006691766902804375,0.08013035356998444,0.03661762550473213,0.0435127317905426,0.14859287440776825,0.3763267695903778,0.046437375247478485,0.04529999941587448,0.0476333349943161,0.18778499960899353,0.18119999766349792,0.19486667215824127,0.4024365246295929,0.39410001039505005,0.411133348941803,0.7474589347839355,0.7595999836921692,0.7357000112533569,0.6753060221672058,0.2062000036239624,1.0,0.0,1.0,1.0,0.0,1.0,2.654437913918173e-08,0.0,0.7797158360481262,0.30398911237716675,0.0,0.0,0.0,0.005095459055155516,0.0061871204525232315,0.005057170055806637,0.0,0.03345746919512749,0.09795913845300674,0.39961686730384827,0.019029689952731133,0.047504547983407974,0.6290842294692993,0.06201610341668129,0.10229925066232681,0.09116022288799286,0.016554946079850197,0.0377897173166275,0.6701847314834595,0.04786722734570503,0.1365254819393158,0.26731908321380615,0.1259869635105133,0.31926658749580383,0.12652067840099335
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.009135947562754154,0.0876254290342331,0.03652355819940567,0.05110187083482742,0.1707243025302887,0.52480149269104,0.054268546402454376,0.05833333358168602,0.05073333531618118,0.16560401022434235,0.19083333015441895,0.14626666903495789,0.34420838952064514,0.4105333387851715,0.29633334279060364,0.7159004211425781,0.8091333508491516,0.6419333219528198,0.6266804933547974,0.3226333260536194,1.0,0.0,1.0,1.0,0.0,1.0,7.050915229456223e-08,0.0,0.629555881023407,0.16938179731369019,0.0,0.0,0.0,0.022986076772212982,0.02776394411921501,0.030926881358027458,0.0,0.02352277748286724,0.05350792780518532,0.4839080572128296,0.03608313947916031,0.07934802770614624,0.3400828540325165,0.06439871340990067,0.09676596522331238,0.0,0.021274250000715256,0.033164944499731064,0.49076518416404724,0.05289658531546593,0.19144245982170105,0.3149626553058624,0.17432071268558502,0.39329519867897034,0.13260340690612793
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.006758751347661018,0.07925708591938019,0.0366179458796978,0.04263914376497269,0.13495583832263947,0.4527583718299866,0.06082906574010849,0.06440000236034393,0.057633332908153534,0.18721142411231995,0.2039666622877121,0.1730000078678131,0.38236504793167114,0.4124999940395355,0.35633334517478943,0.7456716299057007,0.7632333636283875,0.7289000153541565,0.6351686120033264,0.335099995136261,1.0,0.0,1.0,1.0,0.0,1.0,3.9987046562828255e-08,0.0,0.5594399571418762,0.12025684118270874,0.0,0.0,0.0,0.04242138937115669,0.046276308596134186,0.04707611724734306,0.0,0.024615388363599777,0.060697559267282486,0.4888888895511627,0.047806914895772934,0.1421898603439331,0.28808099031448364,0.039927899837493896,0.09492793679237366,0.20718233287334442,0.07754281163215637,0.16179262101650238,0.16358840465545654,0.049718547612428665,0.12250065803527832,0.25856298208236694,0.12309196591377258,0.3000178635120392,0.06690997630357742
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0037720906548202038,0.06538911163806915,0.02780734747648239,0.03758176043629646,0.09403740614652634,0.32175031304359436,0.045399729162454605,0.047433335334062576,0.0435333326458931,0.16333626210689545,0.18303333222866058,0.14746667444705963,0.37822574377059937,0.4328666627407074,0.335833340883255,0.8064591884613037,0.8828999996185303,0.7422000169754028,0.6859717965126038,0.27116668224334717,1.0,0.0,1.0,1.0,0.0,1.0,2.8214147462790606e-08,0.0,0.7515888810157776,0.26434770226478577,0.0,0.0,0.0,0.00392206059768796,0.005844263359904289,0.003993204794824123,0.0,0.02297186106443405,0.05133185535669327,0.48927202820777893,0.029787102714180946,0.058922845870256424,0.353428453207016,0.06717813014984131,0.1288728266954422,0.12983426451683044,0.026943258941173553,0.06255743652582169,0.45646440982818604,0.03085213713347912,0.08678939193487167,0.4161730706691742,0.09549430012702942,0.2627250850200653,0.22141118347644806
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.0022997672203928232,0.049659088253974915,0.01913975179195404,0.030519336462020874,0.08247078955173492,0.23293060064315796,0.071126788854599,0.07596667110919952,0.0668666660785675,0.2658698856830597,0.31150001287460327,0.23190000653266907,0.5392184257507324,0.6518666744232178,0.459766685962677,0.8801517486572266,0.9545666575431824,0.8165000081062317,0.7428049445152283,0.2378000020980835,1.0,0.0,1.0,1.0,0.0,1.0,4.1044859955263746e-08,0.0,0.8059876561164856,0.3595651388168335,0.0,0.0,0.0,0.010707019828259945,0.012595211155712605,0.011626883409917355,0.0,0.021678345277905464,0.06017162278294563,0.6141762733459473,0.016835257411003113,0.0352962426841259,0.6700414419174194,0.02333822101354599,0.046274032443761826,0.46408841013908386,0.01911318115890026,0.03493628278374672,0.5699208974838257,0.024710554629564285,0.06417251378297806,0.5341231226921082,0.06939943134784698,0.17772184312343597,0.2883211672306061
