mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.003955656196922064,0.06813480705022812,0.030240977182984352,0.037893831729888916,0.10388161987066269,0.2577899694442749,0.04453174024820328,0.04480000212788582,0.04426666721701622,0.1721709966659546,0.17843332886695862,0.16633333265781403,0.3875063359737396,0.41280001401901245,0.3651333451271057,0.7832270860671997,0.8364999890327454,0.7363333702087402,0.7276057600975037,0.24240000545978546,1.0,0.0,1.0,1.0,0.0,1.0,3.237837731262516e-08,0.0,0.7643007040023804,0.28791025280952454,0.0,0.0,0.0,0.00672890804708004,0.010773606598377228,0.007014130707830191,0.0,0.025443896651268005,0.06082693859934807,0.48659005761146545,0.01995888166129589,0.03999476134777069,0.5398067235946655,0.034709230065345764,0.11475174874067307,0.46408841013908386,0.03075038082897663,0.06949590891599655,0.3113456666469574,0.03615216910839081,0.08683399856090546,0.30337369441986084,0.05433381721377373,0.19192682206630707,0.4002433121204376
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.010753398761153221,0.10718823969364166,0.04664258658885956,0.060545649379491806,0.17196594178676605,0.4128645360469818,0.03868050128221512,0.039900001138448715,0.03753333538770676,0.14052315056324005,0.15289999544620514,0.12999999523162842,0.30319446325302124,0.3352999985218048,0.2766999900341034,0.5884846448898315,0.6550999879837036,0.534166693687439,0.559654951095581,0.3743666708469391,1.0,0.0,1.0,1.0,0.0,1.0,4.437857370476195e-08,0.0,0.6389409899711609,0.11293749511241913,0.0,0.0,0.0,0.04138239473104477,0.04866419732570648,0.048947423696517944,0.0,0.034803424030542374,0.08630530536174774,0.3846743404865265,0.032600823789834976,0.07454688847064972,0.3667740523815155,0.09116392582654953,0.17205043137073517,0.0635359138250351,0.04111048951745033,0.05968351662158966,0.04485488310456276,0.05567183718085289,0.1674390733242035,0.2956477105617523,0.12913359701633453,0.3517841398715973,0.03041362576186657
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.009645004756748676,0.10158459842205048,0.036938443779945374,0.0646461546421051,0.18003138899803162,0.35712680220603943,0.022525222972035408,0.023900000378489494,0.021300001069903374,0.10319125652313232,0.12276666611433029,0.08900000154972076,0.25777968764305115,0.3325333297252655,0.210466668009758,0.610183835029602,0.7528666853904724,0.5129666924476624,0.6200966238975525,0.2759000062942505,1.0,0.0,1.0,1.0,0.0,1.0,3.8407616642643916e-08,0.0,0.7352427244186401,0.21082527935504913,0.0,0.0,0.0,0.0366404689848423,0.0432250015437603,0.03730067238211632,0.0,0.02795204147696495,0.05988121032714844,0.4057471454143524,0.03890561684966087,0.08686984330415726,0.30234700441360474,0.030745575204491615,0.0718362107872963,0.42541438341140747,0.07006214559078217,0.14003947377204895,0.12928760051727295,0.05591719597578049,0.1620030254125595,0.25057944655418396,0.1397375613451004,0.3360503315925598,0.10948905348777771
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0049004461616277695,0.06968285888433456,0.03338908776640892,0.036293771117925644,0.1045810654759407,0.355856329202652,0.05297363921999931,0.053700000047683716,0.052266668528318405,0.19266235828399658,0.20826667547225952,0.1792333424091339,0.41145583987236023,0.44429999589920044,0.3831333518028259,0.7883540391921997,0.8163666725158691,0.7621999979019165,0.6564962267875671,0.25593334436416626,1.0,0.0,1.0,1.0,0.0,1.0,2.794022968544141e-08,0.0,0.7097668051719666,0.24540801346302032,0.0,0.0,0.0,0.005462800618261099,0.007396136876195669,0.0060914428904652596,0.0,0.02637822926044464,0.06620384007692337,0.46206897497177124,0.025319809094071388,0.06454269587993622,0.4850437343120575,0.14380581676959991,0.33885428309440613,0.04696132615208626,0.023536313325166702,0.05631031468510628,0.5435356497764587,0.03231611102819443,0.09711827337741852,0.40252381563186646,0.135586217045784,0.29450878500938416,0.025547444820404053
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.01212388277053833,0.11664296686649323,0.05271635949611664,0.06392660737037659,0.1703500896692276,0.4373681843280792,0.018707390874624252,0.01913333311676979,0.018300000578165054,0.08675454556941986,0.09273333102464676,0.08150000125169754,0.24247898161411285,0.2709333300590515,0.21943333745002747,0.5550637245178223,0.6191999912261963,0.5029667019844055,0.6332637071609497,0.27783334255218506,1.0,0.0,1.0,1.0,0.0,1.0,1.7207659297469036e-08,0.0,0.7253638505935669,0.22807399928569794,0.0,0.0,0.0,0.029842067509889603,0.03489159047603607,0.029221173375844955,0.0,0.03622792661190033,0.09567952901124954,0.3145594000816345,0.03908441960811615,0.0876440554857254,0.3248964548110962,0.08697015047073364,0.15361835062503815,0.11325967311859131,0.02920953556895256,0.06877710670232773,0.40633246302604675,0.06219856068491936,0.1597534418106079,0.215039923787117,0.1313117891550064,0.35973790287971497,0.1386861354112625
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.00680118054151535,0.08103159070014954,0.03726034238934517,0.04377124458551407,0.14677993953227997,0.3704413175582886,0.043327696621418,0.042366668581962585,0.044333335012197495,0.1829073429107666,0.17669999599456787,0.18956667184829712,0.3962234556674957,0.3849000036716461,0.4082333445549011,0.7431008815765381,0.7543666958808899,0.7321666479110718,0.6761528849601746,0.20920000970363617,1.0,0.0,1.0,1.0,0.0,1.0,2.6748363524120577e-08,0.0,0.7802712321281433,0.30733463168144226,0.0,0.0,0.0,0.0072103277780115604,0.008414026349782944,0.007118816487491131,0.0,0.033509138971567154,0.09795501083135605,0.40613028407096863,0.018953202292323112,0.04806908220052719,0.6359871029853821,0.06312011927366257,0.10191865265369415,0.08011049777269363,0.017124952748417854,0.03959708660840988,0.6728232502937317,0.04751190170645714,0.13766098022460938,0.2773628830909729,0.12585300207138062,0.3119915723800659,0.1228710487484932
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.009099193848669529,0.08758331835269928,0.03710334002971649,0.05047997459769249,0.16163583099842072,0.5170011520385742,0.05294294282793999,0.05703333392739296,0.049400001764297485,0.1623779535293579,0.1858000010251999,0.14419999718666077,0.3405894339084625,0.4067000150680542,0.29296666383743286,0.7188960313796997,0.8051000237464905,0.6493666768074036,0.6268044710159302,0.3206000030040741,1.0,0.0,1.0,1.0,0.0,1.0,7.236542387545342e-08,0.0,0.6300882697105408,0.16640141606330872,0.0,0.0,0.0,0.024149959906935692,0.028958909213542938,0.03266233205795288,0.0,0.02353358455002308,0.053440093994140625,0.47854408621788025,0.03236890211701393,0.06761011481285095,0.3525080680847168,0.06405729800462723,0.09704726934432983,0.0,0.021069301292300224,0.033366039395332336,0.5224274396896362,0.05319596081972122,0.19256854057312012,0.30878186225891113,0.1766531765460968,0.38908058404922485,0.12895376980304718
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.0067067318595945835,0.07882830500602722,0.03699669614434242,0.0418316051363945,0.12993057072162628,0.45615628361701965,0.06145467981696129,0.06373333185911179,0.05933333560824394,0.19094865024089813,0.20499999821186066,0.17870000004768372,0.3870867192745209,0.41403332352638245,0.3634333312511444,0.7489582896232605,0.7611333131790161,0.737166702747345,0.6349965929985046,0.33633333444595337,1.0,0.0,1.0,1.0,0.0,1.0,3.9573247789803645e-08,0.0,0.5585321187973022,0.11781275272369385,0.0,0.0,0.0,0.041709065437316895,0.04552331194281578,0.046146005392074585,0.0,0.02468656748533249,0.06018996611237526,0.48697319626808167,0.048209432512521744,0.14316889643669128,0.28578004240989685,0.03950763866305351,0.08273256570100784,0.20441989600658417,0.07748480141162872,0.1621674746274948,0.16622692346572876,0.050092652440071106,0.125154048204422,0.2606232464313507,0.12363922595977783,0.30389976501464844,0.06082725152373314
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0038211282808333635,0.06566057354211807,0.027914393693208694,0.03774617984890938,0.09362022578716278,0.3246813416481018,0.04299202933907509,0.04506666585803032,0.041099999099969864,0.1635943055152893,0.18086667358875275,0.14933332800865173,0.3769821524620056,0.4282666742801666,0.33666667342185974,0.8057806491851807,0.8883333206176758,0.7372666597366333,0.6816603541374207,0.27033334970474243,1.0,0.0,1.0,1.0,0.0,1.0,2.8176264876833557e-08,0.0,0.7514245510101318,0.2649587094783783,0.0,0.0,0.0,0.004542941227555275,0.006563442759215832,0.0046310038305819035,0.0,0.022996339946985245,0.051590293645858765,0.493486613035202,0.029756812378764153,0.05704546719789505,0.34514495730400085,0.06592784821987152,0.12717002630233765,0.1270718276500702,0.02664497122168541,0.0634668841958046,0.4643799662590027,0.031051035970449448,0.08652595430612564,0.41411280632019043,0.09588953107595444,0.2629033327102661,0.22019465267658234
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.002333742566406727,0.049824535846710205,0.019007548689842224,0.03081698715686798,0.0837438777089119,0.23326419293880463,0.07134906202554703,0.0773666650056839,0.06620000302791595,0.26847532391548157,0.3179333508014679,0.23233333230018616,0.5405187010765076,0.6567000150680542,0.45926666259765625,0.8780149817466736,0.9546999931335449,0.8127333521842957,0.7423393726348877,0.24326667189598083,1.0,0.0,1.0,1.0,0.0,1.0,4.093412542260921e-08,0.0,0.8070071339607239,0.36204200983047485,0.0,0.0,0.0,0.012004232965409756,0.0138808349147439,0.013029455207288265,0.0,0.021680161356925964,0.060253649950027466,0.6057471632957458,0.017040491104125977,0.035653237253427505,0.6645191311836243,0.02271767146885395,0.046001557260751724,0.4668508470058441,0.018801789730787277,0.033286336809396744,0.5646438002586365,0.024936838075518608,0.06413693726062775,0.5238217711448669,0.06916727870702744,0.17789550125598907,0.2907542586326599
