mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.00274421414360404,0.05722709000110626,0.02633446455001831,0.0308926273137331,0.07929570227861404,0.23280923068523407,0.05991552770137787,0.06199999898672104,0.05796666815876961,0.21394400298595428,0.22923333942890167,0.20056666433811188,0.44680073857307434,0.4810999929904938,0.41706666350364685,0.8546773791313171,0.8787000179290771,0.831933319568634,0.7077106833457947,0.23223333060741425,1.0,0.0,1.0,1.0,0.0,1.0,7.133406398907027e-08,0.0,0.7301406860351562,0.24427473545074463,0.0,0.0,0.0,0.009972108528017998,0.011107691563665867,0.010044189170002937,0.0,0.026609092950820923,0.06295020878314972,0.477011501789093,0.02484159730374813,0.0473911426961422,0.41831570863723755,0.0145778963342309,0.0371687188744545,0.7734807133674622,0.028589949011802673,0.04942331835627556,0.2928760051727295,0.02401391975581646,0.06071242690086365,0.5382436513900757,0.046580299735069275,0.1490016132593155,0.5596107244491577
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.008650029078125954,0.09377044439315796,0.03901602700352669,0.05475441366434097,0.17299941182136536,0.3063753545284271,0.03769438713788986,0.03863333538174629,0.03680000081658363,0.14588090777397156,0.16060000658035278,0.1336333304643631,0.3244008719921112,0.3686000108718872,0.28966668248176575,0.6627982258796692,0.7317333221435547,0.605733335018158,0.5660860538482666,0.3169333338737488,1.0,0.0,1.0,1.0,0.0,1.0,9.588228522261488e-08,0.0,0.7060603499412537,0.192979633808136,0.0,0.0,0.0,0.023901600390672684,0.03180798143148422,0.02401767671108246,0.0,0.029410703107714653,0.07508956640958786,0.4536398649215698,0.0317227765917778,0.06756559759378433,0.3345605134963989,0.09080140292644501,0.16067305207252502,0.06906077265739441,0.03923126310110092,0.05864899232983589,0.07915567606687546,0.03659435734152794,0.08572344481945038,0.304661363363266,0.08935218304395676,0.1942090541124344,0.05596106871962547
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.008359471336007118,0.093844935297966,0.03507136180996895,0.058773577213287354,0.16965341567993164,0.3100403845310211,0.02533682808279991,0.027000000700354576,0.023866666480898857,0.11397144943475723,0.13403333723545074,0.09913333505392075,0.28525030612945557,0.36363333463668823,0.23466667532920837,0.650398313999176,0.775600016117096,0.5600000023841858,0.6168813705444336,0.25940001010894775,1.0,0.0,1.0,1.0,0.0,1.0,7.227537679455054e-08,0.0,0.6952560544013977,0.21019895374774933,0.0,0.0,0.0,0.0255782101303339,0.03072204999625683,0.023112934082746506,0.0,0.02779136225581169,0.058729227632284164,0.40651342272758484,0.03735876828432083,0.08603102713823318,0.3267372250556946,0.014512872323393822,0.05844106525182724,0.7928177118301392,0.05285267159342766,0.09263405203819275,0.16622692346572876,0.034525081515312195,0.08153646439313889,0.3731650710105896,0.10265319049358368,0.2605352997779846,0.12652067840099335
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0026008286513388157,0.05695284157991409,0.026083309203386307,0.030869532376527786,0.08443313837051392,0.1357920616865158,0.05999390408396721,0.06283333152532578,0.05739999935030937,0.20758125185966492,0.2282666712999344,0.19033333659172058,0.4440116286277771,0.4857666790485382,0.40886667370796204,0.8423174023628235,0.8682000041007996,0.8179333209991455,0.6538812518119812,0.26153334975242615,1.0,0.0,1.0,1.0,0.0,1.0,9.497902198063457e-08,0.0,0.7030695080757141,0.19690726697444916,0.0,0.0,0.0,0.006215677596628666,0.008581379428505898,0.0062766242772340775,0.0,0.027374958619475365,0.07384060323238373,0.48237550258636475,0.02180783636868,0.05053577199578285,0.532443642616272,0.028464091941714287,0.05460150167346001,0.3232044279575348,0.019469251856207848,0.05971495062112808,0.6807388067245483,0.024362284690141678,0.06179588660597801,0.548029899597168,0.06752236932516098,0.13879399001598358,0.0863746926188469
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.010401548817753792,0.10746090114116669,0.04342769458889961,0.06403321027755737,0.1709156483411789,0.4473112225532532,0.020258773118257523,0.020666666328907013,0.019866667687892914,0.0929962769150734,0.10193333774805069,0.08550000190734863,0.24433493614196777,0.28763332962989807,0.21236667037010193,0.5773369073867798,0.6607333421707153,0.5126333236694336,0.6648114919662476,0.25413334369659424,1.0,0.0,1.0,1.0,0.0,1.0,4.642439321855818e-08,0.0,0.7082040905952454,0.20261603593826294,0.0,0.0,0.0,0.0244941134005785,0.030392013490200043,0.024311471730470657,0.0,0.0339471697807312,0.08223441243171692,0.3448275923728943,0.0479431077837944,0.09838034212589264,0.22365394234657288,0.06685522943735123,0.1429772973060608,0.11878453195095062,0.03891322761774063,0.08621344715356827,0.23482850193977356,0.05718517303466797,0.1588827520608902,0.2565027177333832,0.11419677734375,0.2621266841888428,0.23722627758979797
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.0028571244329214096,0.05516994744539261,0.024353288114070892,0.030816661193966866,0.0959915816783905,0.20131908357143402,0.057954005897045135,0.05963333323597908,0.05636666715145111,0.22567158937454224,0.23956666886806488,0.21330000460147858,0.49916720390319824,0.5406000018119812,0.46363332867622375,0.8689107298851013,0.9015333652496338,0.8385666608810425,0.7332022190093994,0.16369999945163727,1.0,0.0,1.0,1.0,0.0,1.0,5.873350517049403e-08,0.0,0.7651997208595276,0.20582784712314606,0.0,0.0,0.0,0.0074848998337984085,0.009657151065766811,0.007448690012097359,0.0,0.027461692690849304,0.06519825011491776,0.4655172526836395,0.021226737648248672,0.04211261123418808,0.5186378359794617,0.03427552431821823,0.06734936684370041,0.3093922734260559,0.01620255969464779,0.032796189188957214,0.6754617691040039,0.025108087807893753,0.0796063095331192,0.5642544627189636,0.07612071186304092,0.2001294493675232,0.19951337575912476
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.002640967722982168,0.05723556876182556,0.027463937178254128,0.029771631583571434,0.07636315375566483,0.14851514995098114,0.07829533517360687,0.08193333446979523,0.0749666690826416,0.2253287136554718,0.2399333417415619,0.21240000426769257,0.43927904963493347,0.46053335070610046,0.41990000009536743,0.8424599170684814,0.8494333624839783,0.8356000185012817,0.6070540547370911,0.3032666742801666,1.0,0.0,1.0,1.0,0.0,1.0,1.0447311638017709e-07,0.0,0.6733088493347168,0.18708977103233337,0.0,0.0,0.0,0.03306691721081734,0.03422913700342178,0.034069180488586426,0.0,0.02318112924695015,0.058007340878248215,0.5137931108474731,0.035108570009469986,0.07930219173431396,0.33317995071411133,0.05080379918217659,0.09490503370761871,0.215469628572464,0.012659043073654175,0.027878370136022568,0.7994723320007324,0.023143421858549118,0.06944704055786133,0.582281768321991,0.03971501812338829,0.13830088078975677,0.4562043845653534
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.003042502561584115,0.05720476806163788,0.023618904873728752,0.033585865050554276,0.09467478096485138,0.23576126992702484,0.08136410266160965,0.08736667037010193,0.07613333314657211,0.25358566641807556,0.2893333435058594,0.2257000058889389,0.48861998319625854,0.5591333508491516,0.43389999866485596,0.832892656326294,0.895633339881897,0.7783666849136353,0.6339724063873291,0.3104333281517029,1.0,0.0,1.0,1.0,0.0,1.0,1.068219148692151e-07,0.0,0.6416639089584351,0.20745055377483368,0.0,0.0,0.0,0.026115598157048225,0.029057784005999565,0.02738961949944496,0.0,0.023712655529379845,0.0646217092871666,0.5632184147834778,0.025348907336592674,0.06285961717367172,0.5255407094955444,0.043311458081007004,0.09395311027765274,0.37016576528549194,0.023731783032417297,0.05314541608095169,0.4670184850692749,0.03042496182024479,0.0816241130232811,0.44115376472473145,0.09094557166099548,0.18340429663658142,0.13503649830818176
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.002298763720318675,0.05210518836975098,0.022474898025393486,0.02963029220700264,0.07513947784900665,0.27567917108535767,0.05812016874551773,0.061000000685453415,0.05550000071525574,0.2148851603269577,0.24040000140666962,0.1942666620016098,0.483837366104126,0.5476666688919067,0.4333333373069763,0.8825362920761108,0.928266704082489,0.8411000370979309,0.69733726978302,0.24923333525657654,1.0,0.0,1.0,1.0,0.0,1.0,6.673563035519692e-08,0.0,0.7532139420509338,0.2773829996585846,0.0,0.0,0.0,0.017817096784710884,0.020223429426550865,0.017992757260799408,0.0,0.021234137937426567,0.04813035577535629,0.5432950258255005,0.028575723990797997,0.0630837231874466,0.3640128970146179,0.030576180666685104,0.0840514600276947,0.430939257144928,0.026247387751936913,0.058921728283166885,0.4696570038795471,0.01855580508708954,0.049198903143405914,0.6729333400726318,0.041259460151195526,0.11899470537900925,0.4343065619468689
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.001793139148503542,0.044653646647930145,0.018470579758286476,0.02618306875228882,0.06840166449546814,0.1856488436460495,0.07589951157569885,0.0808333307504654,0.07153333723545074,0.2867049276828766,0.3243333399295807,0.25690001249313354,0.5780211687088013,0.6646000146865845,0.5113999843597412,0.9141745567321777,0.9577000141143799,0.8744333386421204,0.7274699211120605,0.2423333376646042,1.0,0.0,1.0,1.0,0.0,1.0,8.611440449612928e-08,0.0,0.7636383771896362,0.2711694538593292,0.0,0.0,0.0,0.013835590332746506,0.015012162737548351,0.01349581591784954,0.0,0.020945584401488304,0.05836078152060509,0.6084291338920593,0.018361011520028114,0.03919144347310066,0.6364473104476929,0.019653724506497383,0.03983011469244957,0.511049747467041,0.016594963148236275,0.03009338490664959,0.6226913332939148,0.01900639571249485,0.051043517887592316,0.6623744368553162,0.028307311236858368,0.09040166437625885,0.5231143236160278
