mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.002843128051608801,0.05824856460094452,0.025210751220583916,0.03303781524300575,0.08694486320018768,0.21264991164207458,0.05950086563825607,0.061799999326467514,0.057366665452718735,0.20491337776184082,0.22896666824817657,0.18543332815170288,0.4380107820034027,0.4966333508491516,0.39176666736602783,0.8431100845336914,0.8924999833106995,0.7989000082015991,0.7016329765319824,0.2232000082731247,1.0,0.0,1.0,1.0,0.0,1.0,8.171408438784056e-08,0.0,0.7268754839897156,0.2350032478570938,0.0,0.0,0.0,13.1387357711792,102.71472930908203,0.013558880425989628,0.011567745357751846,0.012058993801474571,0.011709002777934074,0.0,0.02700505219399929,0.06470473855733871,0.4559386968612671,0.02613549865782261,0.07034048438072205,0.49470779299736023,0.022609073668718338,0.05253581330180168,0.591160237789154,0.02139078453183174,0.04582168906927109,0.5699208974838257,0.022619035094976425,0.06219751760363579,0.5655421018600464,0.04223499074578285,0.12436241656541824,0.4428223669528961
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.008730001747608185,0.09519336372613907,0.041396476328372955,0.05379688739776611,0.16588933765888214,0.30449163913726807,0.03949978947639465,0.0403333343565464,0.03869999945163727,0.1489190310239792,0.15983334183692932,0.13940000534057617,0.32035908102989197,0.35296666622161865,0.2932666838169098,0.654489278793335,0.7057999968528748,0.6101333498954773,0.5607965588569641,0.3017333447933197,1.0,0.0,1.0,1.0,0.0,1.0,9.4055188526454e-08,0.0,0.7007394433021545,0.19486457109451294,0.0,0.0,0.0,13.020428657531738,111.84687042236328,0.015221147798001766,0.026257488876581192,0.03404219076037407,0.02166626788675785,0.0,0.03135550394654274,0.07673169672489166,0.42337164282798767,0.0328453928232193,0.06928762048482895,0.33133918046951294,0.08809240907430649,0.1547558456659317,0.06906077265739441,0.03473856300115585,0.049817949533462524,0.08443272113800049,0.04194030165672302,0.11186918616294861,0.3170229196548462,0.10502268373966217,0.30084890127182007,0.22019465267658234
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.008093693293631077,0.09262147545814514,0.032880887389183044,0.0597405880689621,0.16947226226329803,0.3187136948108673,0.02679929882287979,0.028833333402872086,0.025033334270119667,0.11519389599561691,0.13923333585262299,0.09823333472013474,0.2797614336013794,0.3705666661262512,0.22470000386238098,0.6472185850143433,0.79093337059021,0.5476999878883362,0.629304826259613,0.255866676568985,1.0,0.0,1.0,1.0,0.0,1.0,7.424240777709201e-08,0.0,0.6982486844062805,0.21803206205368042,0.0,0.0,0.0,13.182600021362305,104.70223236083984,0.014243343845009804,0.030915522947907448,0.035027798265218735,0.02793446183204651,0.0,0.02604582905769348,0.05704039707779884,0.4406130313873291,0.03658309206366539,0.08426807820796967,0.3396226465702057,0.014828975312411785,0.05170461907982826,0.7955801486968994,0.04764766991138458,0.08886905759572983,0.22163589298725128,0.03528107702732086,0.07911398261785507,0.3396858274936676,0.08578076958656311,0.2480604648590088,0.18734793365001678
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0026122345589101315,0.05718463659286499,0.026248343288898468,0.030936291441321373,0.08349450677633286,0.15444989502429962,0.05507379770278931,0.05719999969005585,0.05310000106692314,0.2076224386692047,0.22736667096614838,0.19103333353996277,0.4425055682659149,0.4827333390712738,0.4084666669368744,0.8389046788215637,0.8640666604042053,0.8151666522026062,0.6567003726959229,0.2597000002861023,1.0,0.0,1.0,1.0,0.0,1.0,8.891477421002492e-08,0.0,0.7042839527130127,0.1964583843946457,0.0,0.0,0.0,12.959332466125488,88.04190063476562,0.009582478553056717,0.0060022613033652306,0.00828508846461773,0.006100974511355162,0.0,0.027874289080500603,0.07478567212820053,0.47471264004707336,0.02226567082107067,0.05201776325702667,0.5250805616378784,0.028310010209679604,0.05512644350528717,0.32596686482429504,0.019359759986400604,0.05921165272593498,0.6860158443450928,0.024188349023461342,0.06204439699649811,0.556270956993103,0.06715923547744751,0.1450113207101822,0.10462287068367004
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.010479412041604519,0.10720239579677582,0.04395601525902748,0.06324637681245804,0.17089788615703583,0.45110562443733215,0.017242897301912308,0.01759999990463257,0.01690000109374523,0.08860132098197937,0.09626666456460953,0.08206667006015778,0.2478947788476944,0.28273335099220276,0.2206999957561493,0.5867781639099121,0.6579000353813171,0.529533326625824,0.647739052772522,0.26723334193229675,1.0,0.0,1.0,1.0,0.0,1.0,4.9265629797901056e-08,0.0,0.6947401762008667,0.21034540235996246,0.0,0.0,0.0,13.583333015441895,117.3952407836914,0.020436100661754608,0.020768551155924797,0.028411226347088814,0.020439589396119118,0.0,0.03298179805278778,0.08204711973667145,0.34789273142814636,0.04901931434869766,0.10213569551706314,0.24068109691143036,0.05782562866806984,0.1004650667309761,0.11049724370241165,0.03743581846356392,0.08600451052188873,0.2955145239830017,0.05218571797013283,0.15186052024364471,0.2678341567516327,0.11543794721364975,0.2622216045856476,0.0863746926188469
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.0032279996667057276,0.05879903584718704,0.02811208926141262,0.03068694658577442,0.09412664920091629,0.227960467338562,0.04626580327749252,0.04606666788458824,0.04646666720509529,0.20399601757526398,0.20489999651908875,0.20309999585151672,0.4805029332637787,0.48680001497268677,0.4743666648864746,0.8494285345077515,0.8514666557312012,0.8474000096321106,0.691173791885376,0.20656666159629822,1.0,0.0,1.0,1.0,0.0,1.0,5.87480890601455e-08,0.0,0.7685160040855408,0.24340197443962097,0.0,0.0,0.0,13.019632339477539,98.77720642089844,0.013037385419011116,0.009913811460137367,0.011603400111198425,0.009826808236539364,0.0,0.029534852132201195,0.08557190746068954,0.49885058403015137,0.019805744290351868,0.03960474580526352,0.565117359161377,0.0427379347383976,0.07378620654344559,0.19889503717422485,0.015694482252001762,0.030513307079672813,0.7176781296730042,0.028649820014834404,0.08927269279956818,0.49137264490127563,0.08044856786727905,0.20017242431640625,0.13990268111228943
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.002843687776476145,0.0585351400077343,0.028374584391713142,0.030160555616021156,0.07689137756824493,0.1667255312204361,0.07459185272455215,0.07673333585262299,0.07256666570901871,0.21534204483032227,0.23233333230018616,0.2006666660308838,0.4358504116535187,0.4655666649341583,0.4097000062465668,0.8444601893424988,0.8503000140190125,0.838699996471405,0.6049657464027405,0.31443333625793457,1.0,0.0,1.0,1.0,0.0,1.0,1.0620123447324659e-07,4.889019328402355e-05,0.6815211772918701,0.18175065517425537,0.0,0.0,0.0,13.311716079711914,107.98990631103516,0.015579675324261189,0.03276568651199341,0.034079037606716156,0.033401019871234894,0.0,0.02329987846314907,0.05871441587805748,0.5084291100502014,0.03328395634889603,0.07286517322063446,0.3400828540325165,0.0522766038775444,0.09408942610025406,0.20718233287334442,0.014944491907954216,0.032359134405851364,0.7124010920524597,0.024024339392781258,0.06802885234355927,0.5748133063316345,0.04089410975575447,0.13372297585010529,0.4489051103591919
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.0030287348199635744,0.057535476982593536,0.023580139502882957,0.03395533934235573,0.09464255720376968,0.22002635896205902,0.08234580606222153,0.08853333443403244,0.07696666568517685,0.2401122748851776,0.275133341550827,0.21299999952316284,0.4857538044452667,0.5559999942779541,0.4312666654586792,0.8316153883934021,0.9007999897003174,0.7723000049591064,0.6412417888641357,0.30703333020210266,1.0,0.0,1.0,1.0,0.0,1.0,1.1693965262793427e-07,0.0,0.6493764519691467,0.2248646765947342,0.0,0.0,0.0,12.731843948364258,103.07720947265625,0.014210750348865986,0.025174716487526894,0.028141165152192116,0.026439717039465904,0.0,0.023816505447030067,0.06314216554164886,0.5547893047332764,0.025796307250857353,0.06331174075603485,0.49332720041275024,0.04115547984838486,0.0900496169924736,0.3618784546852112,0.024372894316911697,0.05421490594744682,0.4538258910179138,0.03076150082051754,0.08368609845638275,0.44553181529045105,0.0859055146574974,0.1488390564918518,0.07785888016223907
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0023348089307546616,0.05219966918230057,0.022350085899233818,0.0298495814204216,0.0752784013748169,0.27019768953323364,0.057645034044981,0.061133332550525665,0.05453333258628845,0.22166019678115845,0.24863334000110626,0.1999666690826416,0.48888760805130005,0.5536333322525024,0.4377000033855438,0.88038569688797,0.9305333495140076,0.8353666663169861,0.7063722610473633,0.23893333971500397,1.0,0.0,1.0,1.0,0.0,1.0,6.521738526998888e-08,0.0,0.7554121017456055,0.27785664796829224,0.0,0.0,0.0,12.824575424194336,88.3232650756836,0.009452104568481445,0.02214108593761921,0.024538932368159294,0.02237122133374214,0.0,0.020138682797551155,0.045889712870121,0.5823754668235779,0.029902275651693344,0.06662171334028244,0.3552692234516144,0.030758274719119072,0.08910822868347168,0.46408841013908386,0.025852428749203682,0.059650421142578125,0.4986807703971863,0.018915720283985138,0.05212094262242317,0.6572238206863403,0.043290264904499054,0.11093446612358093,0.3856447637081146
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.0018298327922821045,0.04512032866477966,0.018425902351737022,0.02669442445039749,0.06909927725791931,0.19538845121860504,0.08112327754497528,0.085466668009758,0.07720000296831131,0.2847284972667694,0.3256666660308838,0.2529333233833313,0.5705009698867798,0.6666333675384521,0.4986000061035156,0.909645140171051,0.9553666710853577,0.8680999875068665,0.7348859310150146,0.23900000751018524,1.0,0.0,1.0,1.0,0.0,1.0,8.253585548345654e-08,0.0,0.7662265300750732,0.28455567359924316,0.0,0.0,0.0,12.768885612487793,86.33296966552734,0.008963202126324177,0.015595711767673492,0.01688135229051113,0.01504036970436573,0.0,0.021002812311053276,0.058684200048446655,0.5996168851852417,0.018084069713950157,0.0388638935983181,0.644730806350708,0.01988302543759346,0.03906878083944321,0.5082873106002808,0.01714070700109005,0.031245382502675056,0.6306068897247314,0.0200206246227026,0.05141434818506241,0.6059747934341431,0.028388740494847298,0.0940684974193573,0.5863747000694275
