mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.0027416925877332687,0.057442501187324524,0.026335669681429863,0.03110682964324951,0.07931752502918243,0.2324618101119995,0.059544723480939865,0.06110000237822533,0.05806666612625122,0.21047937870025635,0.22686666250228882,0.19629999995231628,0.44426649808883667,0.4807000160217285,0.41296666860580444,0.8538694977760315,0.8780333399772644,0.831000030040741,0.7055908441543579,0.2241000086069107,1.0,0.0,1.0,1.0,0.0,1.0,7.225492737461536e-08,0.0,0.728478193283081,0.24435874819755554,0.0,0.0,0.0,0.00847636815160513,0.009601579047739506,0.008515634573996067,0.0,0.0265305507928133,0.06270236521959305,0.47126439213752747,0.026301689445972443,0.05012082681059837,0.39116430282592773,0.014434507116675377,0.0385751836001873,0.7541436553001404,0.028059575706720352,0.04829658195376396,0.30343008041381836,0.0243674386292696,0.06383347511291504,0.5421066284179688,0.047802068293094635,0.1530378758907318,0.5413625240325928
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.008575094863772392,0.09388554841279984,0.0396827794611454,0.054202768951654434,0.16661740839481354,0.2974046766757965,0.03955548256635666,0.04063333198428154,0.03853333368897438,0.146285280585289,0.15683333575725555,0.13706666231155396,0.3232210874557495,0.36186668276786804,0.2920333445072174,0.6619887351989746,0.7265000343322754,0.6079999804496765,0.563310444355011,0.32840001583099365,1.0,0.0,1.0,1.0,0.0,1.0,9.886048957241655e-08,0.0,0.7040452361106873,0.18878939747810364,0.0,0.0,0.0,0.025478936731815338,0.03352757915854454,0.024658631533384323,0.0,0.02889367565512657,0.07284171134233475,0.4605364203453064,0.03139393776655197,0.06661486625671387,0.3405430316925049,0.09417896717786789,0.16239790618419647,0.07734806835651398,0.04385094344615936,0.0647154375910759,0.04485488310456276,0.037161052227020264,0.08690627664327621,0.3018284738063812,0.09514779597520828,0.23168499767780304,0.03041362576186657
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.008302908390760422,0.09353336691856384,0.03462398797273636,0.058909375220537186,0.1677563637495041,0.31033360958099365,0.025784609839320183,0.027766667306423187,0.024066666141152382,0.11399707198143005,0.1362999975681305,0.09796667098999023,0.2819118797779083,0.3596666753292084,0.23180000483989716,0.6520509123802185,0.7809000015258789,0.5597000122070312,0.6163455843925476,0.26186665892601013,1.0,0.0,1.0,1.0,0.0,1.0,7.252307199223651e-08,0.0,0.6992219090461731,0.21448849141597748,0.0,0.0,0.0,0.027689253911376,0.03267587721347809,0.02446272410452366,0.0,0.027711952105164528,0.058828193694353104,0.39923372864723206,0.03691672906279564,0.08659858256578445,0.3391624391078949,0.014397050254046917,0.05646884813904762,0.8149171471595764,0.04874101281166077,0.08941847831010818,0.21899737417697906,0.03422785550355911,0.07994092255830765,0.3597733676433563,0.09317552298307419,0.24117209017276764,0.2250608205795288
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0026303105987608433,0.057416968047618866,0.02652502804994583,0.030891938135027885,0.08453946560621262,0.16868910193443298,0.05747908726334572,0.059300001710653305,0.055766668170690536,0.20309826731681824,0.22083333134651184,0.18800000846385956,0.43809670209884644,0.47556668519973755,0.40610000491142273,0.8397502303123474,0.8621333241462708,0.8184999823570251,0.6539913415908813,0.26669999957084656,1.0,0.0,1.0,1.0,0.0,1.0,9.230389252934401e-08,0.0,0.7021810412406921,0.19099001586437225,0.0,0.0,0.0,0.006449379958212376,0.008968478068709373,0.006550575606524944,0.0,0.02720053680241108,0.0738842785358429,0.4877394735813141,0.022029275074601173,0.05024488642811775,0.5172572731971741,0.028674369677901268,0.05417488515377045,0.31767958402633667,0.019199252128601074,0.0595901682972908,0.6860158443450928,0.024964630603790283,0.06293350458145142,0.5302601456642151,0.07589517533779144,0.1561686098575592,0.07664233446121216
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.01048026978969574,0.1086462140083313,0.044195506721735,0.0644507110118866,0.17099033296108246,0.4419286251068115,0.017379309982061386,0.018000001087784767,0.01679999940097332,0.08846287429332733,0.09640000015497208,0.0817333310842514,0.23719002306461334,0.274399995803833,0.2088666707277298,0.5695589780807495,0.6463666558265686,0.5090667009353638,0.6666730642318726,0.2551000118255615,1.0,0.0,1.0,1.0,0.0,1.0,4.505185202674511e-08,0.0,0.7085467576980591,0.20372380316257477,0.0,0.0,0.0,0.025958947837352753,0.03191117197275162,0.02581372670829296,0.0,0.03491103649139404,0.08472633361816406,0.3302682042121887,0.04754307493567467,0.09698215126991272,0.23147723078727722,0.06820116192102432,0.1435939371585846,0.09944751858711243,0.03762838616967201,0.08623619377613068,0.26385223865509033,0.05796382948756218,0.161029651761055,0.25676023960113525,0.1276455670595169,0.28120774030685425,0.12165450304746628
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.0029015131294727325,0.055739134550094604,0.02460537478327751,0.031133761629462242,0.09701471030712128,0.2178429365158081,0.0540173277258873,0.05570000037550926,0.05243333429098129,0.21711760759353638,0.23126666247844696,0.2046000063419342,0.4944487512111664,0.5381667017936707,0.45730000734329224,0.8678434491157532,0.8992000222206116,0.8385999798774719,0.7295278906822205,0.16896666586399078,1.0,0.0,1.0,1.0,0.0,1.0,6.268503227602196e-08,0.0,0.7650562524795532,0.20578312873840332,0.0,0.0,0.0,0.009252820163965225,0.011451630853116512,0.009193865582346916,0.0,0.027343908324837685,0.0650257021188736,0.4685823917388916,0.021719541400671005,0.042422644793987274,0.5121951103210449,0.03516050800681114,0.0656726211309433,0.2541436553001404,0.016765035688877106,0.03328810632228851,0.6622691750526428,0.025389375165104866,0.08047337085008621,0.5637393593788147,0.07336125522851944,0.20050860941410065,0.20802919566631317
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.0026519999373704195,0.05773649364709854,0.0275297611951828,0.03020673245191574,0.07652591168880463,0.1446366012096405,0.06930260360240936,0.07200000435113907,0.06679999828338623,0.21708394587039948,0.23340000212192535,0.2029000073671341,0.4313136637210846,0.4595666825771332,0.406333327293396,0.843713104724884,0.8531666994094849,0.8344666957855225,0.6219745874404907,0.3038666844367981,1.0,0.0,1.0,1.0,0.0,1.0,1.0256147930931547e-07,0.0,0.6724534630775452,0.1763632595539093,0.0,0.0,0.0,0.029769837856292725,0.03103310614824295,0.030365772545337677,0.0,0.023338207975029945,0.05804663896560669,0.5103448629379272,0.0351649634540081,0.08166086673736572,0.34192362427711487,0.05236831307411194,0.09525484591722488,0.20718233287334442,0.012708796188235283,0.028284745290875435,0.7994723320007324,0.024298153817653656,0.06953921169042587,0.5676023960113525,0.04062783345580101,0.1343771517276764,0.4489051103591919
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.0030236418824642897,0.0572381466627121,0.023459216579794884,0.033778928220272064,0.0944725051522255,0.22479255497455597,0.0787556916475296,0.08460000157356262,0.07366666942834854,0.2424517571926117,0.28083333373069763,0.21330000460147858,0.4891492426395416,0.5671666860580444,0.4300000071525574,0.8324893116950989,0.9007666707038879,0.7738333344459534,0.6331226825714111,0.30793333053588867,1.0,0.0,1.0,1.0,0.0,1.0,1.1253063547655984e-07,0.0,0.6458044052124023,0.22377890348434448,0.0,0.0,0.0,0.024264760315418243,0.027294045314192772,0.025648655369877815,0.0,0.023673061281442642,0.0649355873465538,0.5639846920967102,0.02488391101360321,0.060994815081357956,0.5227795839309692,0.0423593632876873,0.09195368736982346,0.3618784546852112,0.024363523349165916,0.05400766059756279,0.448548823595047,0.0305861234664917,0.08076393604278564,0.4450167417526245,0.08279916644096375,0.153530552983284,0.13260340690612793
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0023306389339268208,0.052142295986413956,0.022417915984988213,0.029724380001425743,0.07566117495298386,0.2678275406360626,0.058396659791469574,0.0611666664481163,0.05586666613817215,0.2207760065793991,0.24780000746250153,0.1990666687488556,0.4853343963623047,0.5492666959762573,0.4347333312034607,0.8815521597862244,0.9272666573524475,0.8401333689689636,0.6990357041358948,0.24256667494773865,1.0,0.0,1.0,1.0,0.0,1.0,6.687257325665996e-08,0.0,0.752610981464386,0.2915085256099701,0.0,0.0,0.0,0.017272036522626877,0.019651874899864197,0.017415698617696762,0.0,0.020724192261695862,0.04716750979423523,0.5544061660766602,0.02884083054959774,0.0639493465423584,0.3667740523815155,0.030643906444311142,0.08489084243774414,0.4558011293411255,0.026165179908275604,0.059657592326402664,0.4802111089229584,0.019233155995607376,0.0514291375875473,0.6513005495071411,0.04713815823197365,0.11745899170637131,0.34428223967552185
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.0018136431463062763,0.04498663544654846,0.01844269596040249,0.026543937623500824,0.06892861425876617,0.18613946437835693,0.07268381118774414,0.07613333314657211,0.0695333331823349,0.27687856554985046,0.3156333267688751,0.24660000205039978,0.5773457884788513,0.6724666953086853,0.5058000087738037,0.9127088785171509,0.9577666521072388,0.8716999888420105,0.7315647602081299,0.235233336687088,1.0,0.0,1.0,1.0,0.0,1.0,8.566269116272451e-08,0.0,0.7635225653648376,0.2796168327331543,0.0,0.0,0.0,0.014681447297334671,0.015909245237708092,0.014230146072804928,0.0,0.021020812913775444,0.0578843392431736,0.6084291338920593,0.018207551911473274,0.03992224857211113,0.647952139377594,0.02027331292629242,0.041008446365594864,0.5165746212005615,0.016331061720848083,0.030063722282648087,0.6437994837760925,0.019147977232933044,0.049905285239219666,0.6492403149604797,0.030160944908857346,0.08982624113559723,0.4270072877407074
