mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.0028654769994318485,0.05875103920698166,0.026027701795101166,0.03272333741188049,0.08479173481464386,0.22111788392066956,0.05653522163629532,0.05920000001788139,0.054099999368190765,0.20033781230449677,0.22150000929832458,0.1828666627407074,0.43080979585647583,0.4780000150203705,0.3921000063419342,0.8398075699806213,0.8808333277702332,0.8024333715438843,0.695673942565918,0.20480000972747803,1.0,0.0,1.0,1.0,0.0,1.0,7.463280837782804e-08,0.0,0.7332780361175537,0.24206365644931793,0.0,0.0,0.0,13.119771003723145,101.90154266357422,0.01313516590744257,0.012530194595456123,0.013685588724911213,0.01248975656926632,0.0,0.027346700429916382,0.06436629593372345,0.4436781704425812,0.028138542547822,0.07638752460479736,0.41923609375953674,0.016903700307011604,0.03881705179810524,0.6381215453147888,0.028841055929660797,0.06544046103954315,0.416886568069458,0.023331381380558014,0.06457377970218658,0.5488024950027466,0.043127287179231644,0.12985758483409882,0.5158150792121887
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.008793028071522713,0.0953378975391388,0.041341666132211685,0.05399623513221741,0.1683928519487381,0.31625980138778687,0.038362495601177216,0.03959999978542328,0.03720000013709068,0.14793449640274048,0.1616000086069107,0.1363999992609024,0.3155219852924347,0.35260000824928284,0.2854999899864197,0.6584483981132507,0.711400032043457,0.6128333210945129,0.5663135647773743,0.30086666345596313,1.0,0.0,1.0,1.0,0.0,1.0,9.172971005000363e-08,0.0,0.7044534683227539,0.2012210339307785,0.0,0.0,0.0,13.009440422058105,111.32170867919922,0.015253741294145584,0.026090580970048904,0.03375474736094475,0.02151509001851082,0.0,0.0311550572514534,0.07544726878404617,0.4157088100910187,0.033213552087545395,0.06944115459918976,0.3341003358364105,0.08693045377731323,0.15326452255249023,0.07458563894033432,0.033750418573617935,0.05087265744805336,0.1029023826122284,0.04222746193408966,0.11112680286169052,0.31290239095687866,0.10287158191204071,0.29876798391342163,0.18248175084590912
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.008224699646234512,0.09298385679721832,0.03298502415418625,0.05999883636832237,0.1723881959915161,0.312254399061203,0.025870509445667267,0.027966666966676712,0.024066666141152382,0.11589118093252182,0.14026667177677155,0.0987333357334137,0.28279000520706177,0.3705666661262512,0.2286333292722702,0.6525105834007263,0.7958999872207642,0.5529000163078308,0.6312048435211182,0.2551000118255615,1.0,0.0,1.0,1.0,0.0,1.0,7.21413329074494e-08,0.0,0.6992614269256592,0.21866299211978912,0.0,0.0,0.0,13.174728393554688,104.81600189208984,0.014601871371269226,0.029390845447778702,0.03335006907582283,0.028507526963949203,0.0,0.025766395032405853,0.05690695717930794,0.4455938935279846,0.036190927028656006,0.08534722775220871,0.3364012837409973,0.013699526898562908,0.04783080890774727,0.8259668946266174,0.05122740939259529,0.09417244046926498,0.208443284034729,0.03565828502178192,0.07917067408561707,0.33942827582359314,0.08489684015512466,0.25378432869911194,0.18248175084590912
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0025940483901649714,0.05694844573736191,0.026086850091814995,0.030861597508192062,0.08400164544582367,0.15534792840480804,0.05614902824163437,0.05816666781902313,0.05426666885614395,0.20424586534500122,0.22413334250450134,0.1876000016927719,0.4422781765460968,0.4858666658401489,0.40586668252944946,0.842308521270752,0.8668333292007446,0.8191333413124084,0.6564967632293701,0.2517000138759613,1.0,0.0,1.0,1.0,0.0,1.0,9.239130349669722e-08,0.0,0.7016511559486389,0.19547708332538605,0.0,0.0,0.0,12.958629608154297,88.87281036376953,0.009615072049200535,0.0058380612172186375,0.008209633640944958,0.005758763290941715,0.0,0.027524719014763832,0.07411842048168182,0.4808429181575775,0.022297648712992668,0.05109023302793503,0.5126553177833557,0.02995550073683262,0.05426361784338951,0.2983425557613373,0.019303111359477043,0.06022017449140549,0.6965699195861816,0.024131998419761658,0.06325660645961761,0.5503476858139038,0.06515257060527802,0.14285381138324738,0.131386861205101
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.010613786056637764,0.10828686505556107,0.04372180253267288,0.06456506252288818,0.17321616411209106,0.451619029045105,0.018197009339928627,0.018433334305882454,0.01796666719019413,0.08877638727426529,0.0968666672706604,0.08193333446979523,0.2431233525276184,0.282233327627182,0.21353334188461304,0.5783752202987671,0.6580666899681091,0.5159000158309937,0.6479188203811646,0.28103333711624146,1.0,0.0,1.0,1.0,0.0,1.0,4.6654598406803416e-08,0.0,0.7003162503242493,0.22336560487747192,0.0,0.0,0.0,13.557010650634766,117.29830932617188,0.020077573135495186,0.022318344563245773,0.029768725857138634,0.02179967239499092,0.0,0.0328507237136364,0.08031563460826874,0.3616858422756195,0.047539252787828445,0.09854480624198914,0.24344225227832794,0.06007211655378342,0.106290303170681,0.11878453195095062,0.03656107559800148,0.08508563041687012,0.3113456666469574,0.05152684077620506,0.1508449763059616,0.2747875452041626,0.11521577090024948,0.25489670038223267,0.058394160121679306
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.002926131710410118,0.05626659095287323,0.025108393281698227,0.031158195808529854,0.09710446000099182,0.2070300579071045,0.050482675433158875,0.052133332937955856,0.04893333464860916,0.21309572458267212,0.2232000082731247,0.20386667549610138,0.49108466506004333,0.5254999995231628,0.4609000086784363,0.8653668165206909,0.8947333693504333,0.8378666639328003,0.7327941656112671,0.16816666722297668,1.0,0.0,1.0,1.0,0.0,1.0,6.376615857561774e-08,0.0,0.7692872881889343,0.22279013693332672,0.0,0.0,0.0,12.98108196258545,100.97290802001953,0.01342850737273693,0.011986619792878628,0.01435430720448494,0.011860162951052189,0.0,0.027793651446700096,0.06727749854326248,0.46206897497177124,0.02167145162820816,0.04229511693120003,0.5135757327079773,0.03573329374194145,0.06598161906003952,0.2403315007686615,0.015741858631372452,0.032566994428634644,0.6992084980010986,0.024871760979294777,0.07934030890464783,0.5745557546615601,0.0717979371547699,0.19590027630329132,0.23479318618774414
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.002835236955434084,0.05846815183758736,0.028387486934661865,0.03008066490292549,0.07714167982339859,0.16353705525398254,0.07700575888156891,0.0792333334684372,0.07490000128746033,0.21664856374263763,0.23170000314712524,0.2034333348274231,0.4359998106956482,0.4661666750907898,0.40950000286102295,0.8411400318145752,0.8458999991416931,0.8364333510398865,0.6025183796882629,0.3004666566848755,1.0,0.0,1.0,1.0,0.0,1.0,1.0551639206823893e-07,4.889019328402355e-05,0.6836203336715698,0.18593861162662506,0.0,0.0,0.0,13.261016845703125,106.6483383178711,0.015514488331973553,0.03247307240962982,0.03376062586903572,0.033310215920209885,0.0,0.023308783769607544,0.057756297290325165,0.5118774175643921,0.033583689481019974,0.0754692554473877,0.34698572754859924,0.05193888768553734,0.09158756583929062,0.1961326003074646,0.013949085026979446,0.030868588015437126,0.7598944902420044,0.024235546588897705,0.07039818912744522,0.573525607585907,0.040535423904657364,0.1255054473876953,0.4574209153652191
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.0029697613790631294,0.057148806750774384,0.023712843656539917,0.03343596309423447,0.09288197755813599,0.21364673972129822,0.08154296875,0.0885000005364418,0.07559999823570251,0.24248813092708588,0.2806999981403351,0.21343334019184113,0.48454734683036804,0.5548333525657654,0.43006667494773865,0.836176872253418,0.8994333148002625,0.7812333703041077,0.6440325975418091,0.30496665835380554,1.0,0.0,1.0,1.0,0.0,1.0,1.1703873070700865e-07,0.0,0.6497572660446167,0.22477978467941284,0.0,0.0,0.0,12.728667259216309,104.36830139160156,0.01453668437898159,0.024294106289744377,0.02728673629462719,0.02581234648823738,0.0,0.023804351687431335,0.06307663768529892,0.555938720703125,0.02597127854824066,0.06311484426259995,0.4818223714828491,0.04156904295086861,0.09003085643053055,0.3535911738872528,0.02413032576441765,0.053872570395469666,0.45910292863845825,0.030954891815781593,0.08690443634986877,0.44913727045059204,0.0862254798412323,0.14827916026115417,0.07785888016223907
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0023447652347385883,0.052246443927288055,0.022485829889774323,0.029760612174868584,0.07494017481803894,0.2721361517906189,0.06016858294606209,0.06443333625793457,0.056433334946632385,0.2262037992477417,0.2522999942302704,0.20499999821186066,0.484641969203949,0.5465999841690063,0.43529999256134033,0.8787853717803955,0.9244333505630493,0.8374333381652832,0.7031554579734802,0.2444666624069214,1.0,0.0,1.0,1.0,0.0,1.0,6.656661355464166e-08,0.0,0.7559303045272827,0.276486337184906,0.0,0.0,0.0,12.801401138305664,87.70394897460938,0.009419511072337627,0.024248071014881134,0.02659384161233902,0.02460125833749771,0.0,0.020759113132953644,0.04777667671442032,0.5678160786628723,0.028731435537338257,0.05910271406173706,0.3557294011116028,0.031368013471364975,0.08897829055786133,0.4558011293411255,0.026098735630512238,0.05908924713730812,0.47229552268981934,0.019033385440707207,0.052410975098609924,0.6523306965827942,0.04872014746069908,0.11263320595026016,0.27250608801841736
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.001830810448154807,0.045353345572948456,0.018607530742883682,0.026745812967419624,0.06903818249702454,0.1945980191230774,0.07215673476457596,0.07643333077430725,0.06833333522081375,0.2793707549571991,0.31736665964126587,0.24950000643730164,0.5702105164527893,0.6582666635513306,0.5029333233833313,0.9106597900390625,0.9570000171661377,0.8686000108718872,0.7342713475227356,0.23853333294391632,1.0,0.0,1.0,1.0,0.0,1.0,8.31856894478733e-08,0.0,0.7661846876144409,0.28131094574928284,0.0,0.0,0.0,12.760368347167969,86.41500091552734,0.00906098261475563,0.0130978524684906,0.014349114149808884,0.012813512235879898,0.0,0.02127610519528389,0.05836234986782074,0.6042145490646362,0.018253492191433907,0.03889946639537811,0.6309249997138977,0.019593657925724983,0.039005931466817856,0.5138121843338013,0.017668748274445534,0.0305697713047266,0.5567282438278198,0.019744429737329483,0.05124301463365555,0.6142158508300781,0.027829186990857124,0.08977130800485611,0.5413625240325928
