mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
01.obj,H0_body,0.0004357065190561116,0.02352437749505043,0.011168188415467739,0.012356188148260117,0.032105252146720886,0.07092774659395218,0.21629874408245087,0.22020000219345093,0.21253333985805511,0.5516433715820312,0.5716000199317932,0.5330333113670349,0.8443120121955872,0.8636000156402588,0.82586669921875,0.996811032295227,0.9991999864578247,0.9944333434104919,0.8117772340774536,0.0862666666507721,1.0,0.0,1.0,1.0,0.0,1.0,2.3985814223692614e-08,0.0,0.8547247052192688,0.44583943486213684,0.0,0.0,0.0,12.555254936218262,74.23704528808594,0.006094977725297213,0.005211155861616135,0.008434630930423737,0.005237989593297243,0.0,0.01021964754909277,0.024019984528422356,0.9072797298431396,0.007817414589226246,0.015635250136256218,0.9912563562393188,0.008688614703714848,0.0208511371165514,0.9392265677452087,0.009213937446475029,0.0172730665653944,0.9841688871383667,0.016531815752387047,0.038371406495571136,0.6716456413269043,0.014904259704053402,0.03439395874738693,0.7226277589797974
02.obj,H0_body,0.0006415144889615476,0.028520043939352036,0.012458947487175465,0.016061095520853996,0.03946753963828087,0.12821106612682343,0.14633719623088837,0.15453334152698517,0.1389666646718979,0.43481889367103577,0.48416668176651,0.3946000039577484,0.7680577635765076,0.8324666619300842,0.7128999829292297,0.9877217411994934,0.9983333349227905,0.9773333668708801,0.8091688752174377,0.09776666760444641,1.0,0.0,1.0,1.0,0.0,1.0,2.2371413166411003e-08,0.0,0.8370507955551147,0.4032866954803467,0.0,0.0,0.0,12.36122989654541,72.6507797241211,0.005247547756880522,0.014976714737713337,0.01806776039302349,0.015580159611999989,0.0,0.011054979637265205,0.024373561143875122,0.8927203416824341,0.01551828347146511,0.034122925251722336,0.7243442535400391,0.011204838752746582,0.02325809933245182,0.861878514289856,0.01145920529961586,0.02602148987352848,0.8522427678108215,0.012856699526309967,0.03152861073613167,0.8246201276779175,0.012662260793149471,0.04307686910033226,0.8199513554573059
03.obj,H0_body,0.0004080064536537975,0.023359183222055435,0.010711104609072208,0.012648077681660652,0.03104706108570099,0.08969175070524216,0.18836499750614166,0.19500000774860382,0.1821666657924652,0.5282753109931946,0.557699978351593,0.501800000667572,0.8579487800598145,0.895799994468689,0.8231666684150696,0.9974779486656189,0.9998000264167786,0.9951666593551636,0.8009644746780396,0.089566670358181,1.0,0.0,1.0,1.0,0.0,1.0,2.3595330134185133e-08,0.0,0.8498855233192444,0.4353056848049164,0.0,0.0,0.0,12.982503890991211,76.95956420898438,0.007040188182145357,0.0011549857445061207,0.0032900264486670494,0.0012253974564373493,0.0,0.011857567355036736,0.02714548259973526,0.8421456217765808,0.00969717651605606,0.021102048456668854,0.9415554404258728,0.008138512261211872,0.01853015460073948,0.9696133136749268,0.009811132214963436,0.01859198324382305,0.9683377742767334,0.010846380144357681,0.023668887093663216,0.8895184397697449,0.011091292835772038,0.025854336097836494,0.8759124279022217
04.obj,H0_body,0.0004595526843331754,0.024872498586773872,0.011361442506313324,0.013511056080460548,0.032796621322631836,0.0838632732629776,0.17550483345985413,0.18343333899974823,0.16823333501815796,0.48733219504356384,0.5232000350952148,0.45606666803359985,0.83149653673172,0.8720666766166687,0.794533371925354,0.9965883493423462,1.0,0.9932000041007996,0.8072826862335205,0.08656666427850723,1.0,0.0,1.0,1.0,0.0,1.0,2.3580756902674693e-08,0.0,0.8553100824356079,0.4408974051475525,0.0,0.0,0.0,12.904860496520996,77.0217056274414,0.006714253686368465,0.014760011807084084,0.016387922689318657,0.01527866255491972,0.0,0.011315851472318172,0.024625273421406746,0.8850575089454651,0.011674814857542515,0.023119697347283363,0.8904740214347839,0.007258894853293896,0.015922443941235542,0.9889503121376038,0.010220875032246113,0.02006579004228115,0.9445910453796387,0.011929027736186981,0.03051368147134781,0.8328611850738525,0.012039988301694393,0.029449211433529854,0.8552311658859253
05.obj,H0_body,0.0006518388399854302,0.027158642187714577,0.01205348689109087,0.015105155296623707,0.035318706184625626,0.22499634325504303,0.15253846347332,0.15890000760555267,0.14666666090488434,0.4422585368156433,0.476333349943161,0.4127333462238312,0.816023051738739,0.862333357334137,0.7744333148002625,0.99118971824646,1.0,0.98253333568573,0.8137399554252625,0.08563333749771118,1.0,0.0,1.0,1.0,0.0,1.0,2.1747801781657472e-08,0.0,0.8564053177833557,0.4370216429233551,0.0,0.0,0.0,12.531312942504883,70.9979248046875,0.005312734749168158,0.0022371786180883646,0.006114867050200701,0.002466006902977824,0.0,0.01312397513538599,0.0295425932854414,0.8321838974952698,0.011755488812923431,0.025172052904963493,0.8771284222602844,0.012375900521874428,0.026897015050053596,0.8066298365592957,0.008389451541006565,0.01875138469040394,0.9604222178459167,0.011250616051256657,0.025967096909880638,0.8735513687133789,0.014775961637496948,0.0393914058804512,0.7530413269996643
06.obj,H0_body,0.0004131142341066152,0.023825813084840775,0.011342214420437813,0.012483599595725536,0.02910163439810276,0.057849761098623276,0.193910151720047,0.2014666646718979,0.18690000474452972,0.5099360942840576,0.5364333391189575,0.4859333336353302,0.8414769768714905,0.8626333475112915,0.8213333487510681,0.9993829727172852,1.0,0.9987666606903076,0.810641348361969,0.09283333271741867,1.0,0.0,1.0,1.0,0.0,1.0,2.3953759864525637e-08,0.0,0.8507269024848938,0.43753620982170105,0.0,0.0,0.0,13.29382038116455,81.05106353759766,0.00788761768490076,0.0042169722728431225,0.006217684596776962,0.004200056195259094,0.0,0.014444345608353615,0.030497658997774124,0.755938708782196,0.009460489265620708,0.02135849930346012,0.9309710264205933,0.008481658063828945,0.018956899642944336,0.9530386924743652,0.008348398841917515,0.017713719978928566,0.97625333070755,0.009683682583272457,0.02254052273929119,0.9258305430412292,0.00986443366855383,0.028588062152266502,0.8795620203018188
07.obj,H0_body,0.0005149272037670016,0.02537481114268303,0.011481762863695621,0.013893048278987408,0.03306899219751358,0.12001542001962662,0.17738936841487885,0.18653333187103271,0.16910000145435333,0.4842844307422638,0.5178999900817871,0.4547666609287262,0.8302659392356873,0.8651333451271057,0.7980999946594238,0.9924941062927246,1.0,0.9851000308990479,0.8129304051399231,0.08196666836738586,1.0,0.0,1.0,1.0,0.0,1.0,2.1814825501564883e-08,0.0,0.8573850393295288,0.4405841827392578,0.0,0.0,0.0,12.660989761352539,72.1807632446289,0.005540888756513596,0.0022079646587371826,0.0033466124441474676,0.002363749546930194,0.0,0.013667771592736244,0.029418714344501495,0.7996168732643127,0.009767459705471992,0.0238431915640831,0.9153244495391846,0.01103405561298132,0.025338204577565193,0.8591160774230957,0.007402532268315554,0.014832601882517338,1.0,0.010907395742833614,0.024587515741586685,0.8910636305809021,0.014757627621293068,0.03481518477201462,0.7214111685752869
08.obj,H0_body,0.0005003171972930431,0.025215137749910355,0.012177497148513794,0.013037641532719135,0.03198844566941261,0.11360617727041245,0.19880414009094238,0.2032666653394699,0.1945333331823349,0.504603922367096,0.5142999887466431,0.4952666759490967,0.8112037181854248,0.8161333203315735,0.8063333630561829,0.9960510730743408,1.0,0.9921333193778992,0.7900635600090027,0.1090666651725769,1.0,0.0,1.0,1.0,0.0,1.0,2.345545091486656e-08,0.0,0.8475810885429382,0.41745349764823914,0.0,0.0,0.0,13.261612892150879,84.64083862304688,0.008735048584640026,0.0006925022462382913,0.0016493289731442928,0.000726217171177268,0.0,0.015652967616915703,0.03201677277684212,0.6704980731010437,0.00864364579319954,0.01847117207944393,0.9659457206726074,0.006438807584345341,0.013677350245416164,0.9972376227378845,0.0070326984860002995,0.014486117288470268,1.0,0.013287059031426907,0.030590811744332314,0.7818697094917297,0.010859208181500435,0.028550617396831512,0.8199513554573059
09.obj,H0_body,0.0004946708213537931,0.025621626526117325,0.012381225824356079,0.01324040163308382,0.030918212607502937,0.09481069445610046,0.1786351501941681,0.18253333866596222,0.17489999532699585,0.4735790491104126,0.48623335361480713,0.461566686630249,0.8158431053161621,0.8236666917800903,0.8081666827201843,0.9962368011474609,0.9998666644096375,0.9926333427429199,0.7778829336166382,0.113066665828228,1.0,0.0,1.0,1.0,0.0,1.0,2.4140263121807948e-08,0.0,0.8449258804321289,0.41399601101875305,0.0,0.0,0.0,13.31325626373291,82.48214721679688,0.007659463677555323,0.003691288409754634,0.005372496321797371,0.003908037673681974,0.0,0.01523563265800476,0.03142400458455086,0.7222222089767456,0.009350183419883251,0.019998442381620407,0.9498389363288879,0.00804800633341074,0.017963957041502,0.9779005646705627,0.007006961386650801,0.014157839119434357,0.9894459247589111,0.013772306963801384,0.03164072334766388,0.7751738429069519,0.009674394503235817,0.032834261655807495,0.8990267515182495
10.obj,H0_body,0.0007920418283902109,0.03310961648821831,0.017781147733330727,0.015328467823565006,0.038920506834983826,0.0710018128156662,0.12803754210472107,0.12186666578054428,0.13486666977405548,0.34269970655441284,0.3141666650772095,0.37693333625793457,0.6735838055610657,0.6254333257675171,0.7297666668891907,0.9935638904571533,0.9919000267982483,0.9952333569526672,0.744648277759552,0.15720000863075256,1.0,0.0,1.0,1.0,0.0,1.0,2.567889545446178e-08,0.0,0.8457751274108887,0.43257084488868713,0.0,0.0,0.0,13.923453330993652,91.30484008789062,0.010332128033041954,0.008196617476642132,0.01010240986943245,0.008460071869194508,0.0,0.02076803147792816,0.03858526796102524,0.5030651688575745,0.015168746002018452,0.032868459820747375,0.736309289932251,0.011211788281798363,0.03373922407627106,0.8176795840263367,0.00973743200302124,0.01827302947640419,0.97625333070755,0.02120237983763218,0.048171840608119965,0.5163533687591553,0.010365546680986881,0.031019069254398346,0.8661800622940063
