mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_2_deform_coarse,0.00036503092269413173,0.021560393273830414,0.010718725621700287,0.010841666720807552,0.028199929744005203,0.08348624408245087,0.2092292606830597,0.21133333444595337,0.2071666717529297,0.612731397151947,0.6281333565711975,0.5980666875839233,0.8802116513252258,0.8845999836921692,0.8758666515350342,0.9973490834236145,0.9963666796684265,0.9983333349227905,0.781420111656189,0.1315000057220459,1.1671334505081177,1.046380877494812,1.9743692874908447,0.7346484065055847,0.1898580640554428,1.6816972494125366,0.35344862937927246,0.0,0.771649181842804,0.3449340760707855,0.004404845181852579,0.011385995894670486,0.20107291638851166,14.941485404968262,96.01640319824219,0.01146617066115141,0.01720026321709156,0.01873939484357834,0.0174263883382082,-0.002414535731077194,0.009572675451636314,0.02443700283765793,0.9176560640335083,0.00762226153165102,0.016556818038225174,0.9751609563827515,0.011436432600021362,0.022670621052384377,0.9171271324157715,0.00939012598246336,0.01738693378865719,0.9947230219841003,0.015284955501556396,0.03901708871126175,0.7535374164581299,0.010973924770951271,0.028146173804998398,0.9124087691307068
Acropyga_sauteri_CASENT0878081_processed.obj,Stage_2_deform_coarse,0.00020453812612686306,0.016935138031840324,0.007776699494570494,0.009158439002931118,0.02113674208521843,0.06361258774995804,0.2784433960914612,0.29510000348091125,0.26356667280197144,0.7053850889205933,0.7670000195503235,0.6529333591461182,0.9567911624908447,0.9747666716575623,0.939466655254364,0.9999499917030334,1.0,0.9998999834060669,0.8299298882484436,0.12919999659061432,1.1210500001907349,1.0380902290344238,1.648966670036316,0.7640791535377502,0.1579136997461319,1.525529384613037,0.27913445234298706,0.0,0.840725839138031,0.42654338479042053,0.002987499814480543,0.007293985225260258,0.07438917458057404,13.677821159362793,75.7649917602539,0.006775464862585068,0.0065964264795184135,0.007392135448753834,0.006707214284688234,-0.0012636175379157066,0.007304348982870579,0.014432733878493309,0.9885101914405823,0.0062666540034115314,0.012211287394165993,0.9990800023078918,0.009199955500662327,0.014774790965020657,1.0,0.007923627272248268,0.018058346584439278,0.9683377742767334,0.008909408934414387,0.017712105065584183,0.969127893447876,0.009167637676000595,0.024336252361536026,0.9172749519348145
Aenictus_ceylonicus_CASENT0878084_processed.obj,Stage_2_deform_coarse,0.00017182828742079437,0.01459559053182602,0.007042236626148224,0.007553353905677795,0.018296178430318832,0.06057410314679146,0.41419824957847595,0.4330333471298218,0.39693334698677063,0.7962836623191833,0.8353999853134155,0.7606666684150696,0.9621989727020264,0.9612333178520203,0.9631666541099548,0.9991166591644287,0.9988666772842407,0.9993667006492615,0.8062741160392761,0.11143333464860916,1.1607248783111572,1.0474014282226562,1.8732044696807861,0.7537760138511658,0.18120989203453064,1.623482584953308,0.32821202278137207,0.0,0.8260045647621155,0.4063347578048706,0.003105336567386985,0.008099334314465523,0.14774169027805328,14.532001495361328,94.97380065917969,0.011205576360225677,0.025094058364629745,0.02649000659584999,0.02517874911427498,-0.00014612078666687012,0.005413785111159086,0.011792350560426712,0.9946380853652954,0.00567201990634203,0.011128727346658707,0.997700035572052,0.009805679321289062,0.027324765920639038,0.881215512752533,0.005505201406776905,0.009823979809880257,0.9894459247589111,0.007818115875124931,0.01941368728876114,0.9539490938186646,0.006866066250950098,0.016018467023968697,0.9659367203712463
Anochetus_horridus_CASENT0744281_processed.obj,Stage_2_deform_coarse,0.0005258192541077733,0.02098974771797657,0.011225657537579536,0.009764090180397034,0.028561165556311607,0.1953822821378708,0.2567990720272064,0.2610333263874054,0.25270000100135803,0.6676198244094849,0.683566689491272,0.652400016784668,0.9102298617362976,0.9059666991233826,0.9145333170890808,0.9870485067367554,0.9763666987419128,0.9979667067527771,0.7583299279212952,0.17206667363643646,1.098631739616394,0.9423302412033081,1.571603775024414,0.7401688098907471,0.1563686579465866,1.5466883182525635,0.3117959201335907,0.0,0.7570493817329407,0.2760327160358429,0.0039037379901856184,0.010636466555297375,0.12664711475372314,14.232410430908203,86.86002349853516,0.009023094549775124,0.0052908980287611485,0.006214480381458998,0.005520901642739773,-0.001571508590131998,0.007161345332860947,0.01577720046043396,0.9689774513244629,0.0077865514904260635,0.0160222165286541,0.9751609563827515,0.007867241278290749,0.019731607288122177,0.9530386924743652,0.009098898619413376,0.021348662674427032,0.9340369701385498,0.009837319143116474,0.02621462568640709,0.9089272022247314,0.0192886795848608,0.07814351469278336,0.7664233446121216
Camponotus_vestitus_strophiatus_CASENT0744750_processed.obj,Stage_2_deform_coarse,0.00019406926003284752,0.01608479768037796,0.007569151930510998,0.008515645749866962,0.0207371786236763,0.05890321731567383,0.3482280671596527,0.3627000153064728,0.3348666727542877,0.7403696775436401,0.7803333401679993,0.7042999863624573,0.9533109068870544,0.9649666547775269,0.9419333338737488,0.9998833537101746,0.9997667074203491,1.0,0.7958864569664001,0.18140000104904175,1.084443211555481,0.6512178778648376,1.5376272201538086,0.7637532353401184,0.15047882497310638,1.3671945333480835,0.28441348671913147,0.0,0.7937203645706177,0.35995930433273315,0.0030308770947158337,0.007670508231967688,0.06230955198407173,13.52170467376709,77.15464782714844,0.007003485225141048,0.007154804654419422,0.008803662844002247,0.007116565015166998,-0.002628912217915058,0.007198801264166832,0.017085902392864227,0.9739563465118408,0.007326997816562653,0.016583802178502083,0.9788408279418945,0.012197477743029594,0.034627240151166916,0.8342542052268982,0.007573329843580723,0.01614004373550415,0.9894459247589111,0.008809958584606647,0.02031022310256958,0.9475173950195312,0.007534489966928959,0.016765112057328224,0.9695863723754883
Cataglyphis_iberica_CASENT0745158_processed.obj,Stage_2_deform_coarse,0.0004915611352771521,0.024415776133537292,0.010852081701159477,0.013563694432377815,0.03712188079953194,0.10051224380731583,0.16530753672122955,0.17139999568462372,0.1596333384513855,0.5431555509567261,0.5939000248908997,0.5004000067710876,0.8518673181533813,0.9002333283424377,0.8084333539009094,0.9896334409713745,0.9954000115394592,0.9839333295822144,0.7622110843658447,0.2964666783809662,1.077433705329895,0.8807908296585083,1.4642510414123535,0.7457038164138794,0.14789997041225433,1.3182448148727417,0.28400424122810364,0.0,0.7741227746009827,0.3179958760738373,0.0039962357841432095,0.010506760329008102,0.1140480488538742,13.824368476867676,77.77012634277344,0.007036059629172087,0.0075369058176875114,0.008404390886425972,0.00760325463488698,0.00039285933598876,0.009927763603627682,0.02436915412545204,0.9157410860061646,0.01040439959615469,0.025892751291394234,0.9084636569023132,0.010290670208632946,0.020842861384153366,0.941989004611969,0.01714319735765457,0.03878441080451012,0.6728232502937317,0.009901878423988819,0.02179555408656597,0.9313095211982727,0.012158597819507122,0.04904196038842201,0.8905109167098999
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_2_deform_coarse,0.0002786148979794234,0.019743772223591805,0.009013150818645954,0.01073062140494585,0.024988863617181778,0.10292667895555496,0.18281899392604828,0.18846666812896729,0.17749999463558197,0.6266864538192749,0.6712999939918518,0.5876333117485046,0.930955171585083,0.9647666811943054,0.8994333148002625,0.9986824989318848,0.9995999932289124,0.9977666735649109,0.8529707193374634,0.1296333372592926,1.1261582374572754,0.8580037951469421,1.693877935409546,0.765542209148407,0.1637839525938034,1.551882028579712,0.3081946074962616,0.0,0.8132338523864746,0.3922094404697418,0.003655550070106983,0.009231503121554852,0.1052180603146553,14.115156173706055,79.42378234863281,0.007361803203821182,0.012074299156665802,0.0145528269931674,0.012294556014239788,0.00011727679520845413,0.00830626580864191,0.015423350036144257,0.9850631952285767,0.00820619985461235,0.015228069387376308,0.9903403520584106,0.01199487317353487,0.022869616746902466,0.8922652006149292,0.009324438869953156,0.020658867433667183,0.9419525265693665,0.010452204383909702,0.02232304774224758,0.9235914945602417,0.012705025263130665,0.031401246786117554,0.8430656790733337
Cephalotes_pusillus_CASENT0744050_processed.obj,Stage_2_deform_coarse,0.00032514927443116903,0.02018922194838524,0.00910790916532278,0.011081312783062458,0.028953321278095245,0.0781097486615181,0.23096278309822083,0.2393999993801117,0.22310000658035278,0.6485388875007629,0.7053000330924988,0.6002333164215088,0.9009889960289001,0.9420000314712524,0.8633999824523926,0.9967163801193237,0.9961667060852051,0.9972666501998901,0.8087974190711975,0.15706667304039001,1.1211515665054321,0.7722579836845398,1.7512983083724976,0.7483998537063599,0.170278400182724,1.5282716751098633,0.3062838912010193,0.0,0.8238095045089722,0.38428741693496704,0.003689784789457917,0.009217153303325176,0.07020474225282669,14.454063415527344,85.31536102294922,0.008795074187219143,0.004331314004957676,0.005116491112858057,0.004354129545390606,-0.00029826583340764046,0.007090137340128422,0.01319263968616724,0.995404064655304,0.007986132986843586,0.016001485288143158,0.9802207350730896,0.00877535529434681,0.01709742099046707,0.980663001537323,0.009307202883064747,0.01673978753387928,0.9788918495178223,0.010801470838487148,0.024923382326960564,0.8988937735557556,0.010416409000754356,0.02339732088148594,0.9124087691307068
Cerapachys_sulcinodis_CASENT0745635_processed.obj,Stage_2_deform_coarse,0.00017609697533771396,0.015885354951024055,0.007405037526041269,0.008480317890644073,0.020206617191433907,0.061497319489717484,0.29916319251060486,0.30900001525878906,0.28993332386016846,0.7612745761871338,0.8015333414077759,0.7248666882514954,0.9650072455406189,0.9826000332832336,0.948033332824707,0.9999333024024963,1.0,0.9998666644096375,0.842090368270874,0.10086666792631149,1.098296880722046,0.9220035076141357,1.5570569038391113,0.7698683142662048,0.14763866364955902,1.340183973312378,0.27012962102890015,0.0,0.8016033172607422,0.3962538242340088,0.0030190376564860344,0.007567793130874634,0.06863220036029816,13.521166801452637,76.83832550048828,0.006319423671811819,0.004024384077638388,0.004697643686085939,0.004060450941324234,-0.0018377602100372314,0.006586200091987848,0.01265571266412735,0.9915741086006165,0.0066444710828363895,0.012904812581837177,0.9917203187942505,0.010792382061481476,0.025786880403757095,0.8756906390190125,0.00644020875915885,0.011686330661177635,0.9947230219841003,0.008643528446555138,0.01907377876341343,0.958065390586853,0.0067343516275286674,0.014349213801324368,0.989051103591919
Cladomyrma_sp._CASENT0745080_processed.obj,Stage_2_deform_coarse,0.0004298129351809621,0.023677773773670197,0.010324787348508835,0.013352985493838787,0.034328483045101166,0.07057903707027435,0.1431036740541458,0.15219999849796295,0.13503333926200867,0.5383197069168091,0.6049667000770569,0.48489999771118164,0.865534245967865,0.9291999936103821,0.8100333213806152,0.9943771958351135,0.9968667030334473,0.9919000267982483,0.7332153916358948,0.4174666702747345,1.1112115383148193,0.8514081239700317,1.6199605464935303,0.7706265449523926,0.1583724021911621,1.4020627737045288,0.28805065155029297,0.0,0.8230788707733154,0.3928517699241638,0.0035324760247021914,0.00879282783716917,0.17874306440353394,14.225358009338379,81.32557678222656,0.007654971908777952,0.008494608104228973,0.009562511928379536,0.008763747289776802,-0.0025135790929198265,0.008757446892559528,0.0162242129445076,0.987744152545929,0.008789137937128544,0.015308541245758533,0.993560254573822,0.012738167308270931,0.02761111781001091,0.8204420208930969,0.011015948839485645,0.022079236805438995,0.9340369701385498,0.010390471667051315,0.022566305473446846,0.9246205687522888,0.010106299072504044,0.022021206095814705,0.9184914827346802
