mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,A_init,0.0027733235619962215,0.05800314247608185,0.027023937553167343,0.030979206785559654,0.07894574105739594,0.22161167860031128,0.05773545056581497,0.058666668832302094,0.056833334267139435,0.2087377905845642,0.21903333067893982,0.19936667382717133,0.43705642223358154,0.4633333384990692,0.41359999775886536,0.845755934715271,0.8651999831199646,0.8271666765213013,0.6993138194084167,0.2269333302974701,1.0,0.0,1.0,1.0,0.0,1.0,4.365587713550667e-08,0.0,0.7318013906478882,0.24877893924713135,0.0,0.0,0.0,0.011170952580869198,0.012592853978276253,0.010897981934249401,0.0,0.027833914384245872,0.0655500739812851,0.4475095868110657,0.026309624314308167,0.05330722779035568,0.42107686400413513,0.015933440998196602,0.04032270610332489,0.7209945321083069,0.029426177963614464,0.06310827285051346,0.34036940336227417,0.02688978798687458,0.06655734032392502,0.4813288748264313,0.04751406982541084,0.1540822684764862,0.4781021773815155
Acromyrmex_coronatus_CASENT0744365_processed.obj,A_init,0.008639819920063019,0.09731550514698029,0.04399065300822258,0.05332484841346741,0.16047368943691254,0.3013549745082855,0.0304479468613863,0.030700000002980232,0.03020000085234642,0.12725947797298431,0.13040000200271606,0.12426666915416718,0.290926456451416,0.3050333261489868,0.2780666649341583,0.6372087597846985,0.6738666892051697,0.6043333411216736,0.5669728517532349,0.32820001244544983,1.0,0.0,1.0,1.0,0.0,1.0,5.189108165382095e-08,0.0,0.6767022013664246,0.19898046553134918,0.0,0.0,0.0,0.02508617378771305,0.033952612429857254,0.02578599937260151,0.0,0.033317215740680695,0.08049141615629196,0.38352492451667786,0.03500021621584892,0.0715547502040863,0.31201106309890747,0.0848141461610794,0.15575014054775238,0.08287293463945389,0.02736319974064827,0.045163366943597794,0.3060685992240906,0.04388071969151497,0.11266481131315231,0.2907545864582062,0.08125695586204529,0.19104468822479248,0.19343066215515137
Acromyrmex_lobicornis_CASENT0878007_processed.obj,A_init,0.008119652979075909,0.09289989620447159,0.03485838696360588,0.05804150924086571,0.16674937307834625,0.31778275966644287,0.024549763649702072,0.02590000070631504,0.023333333432674408,0.1131109669804573,0.13063333928585052,0.09973333775997162,0.2881406545639038,0.35366666316986084,0.24310000240802765,0.6579921841621399,0.7773666977882385,0.5703999996185303,0.6061438322067261,0.2791000008583069,1.0,0.0,1.0,1.0,0.0,1.0,4.0986577687363024e-08,0.0,0.6705398559570312,0.1757725477218628,0.0,0.0,0.0,0.02509785257279873,0.029914842918515205,0.02215372584760189,0.0,0.028396477922797203,0.060350917279720306,0.38007664680480957,0.03787862882018089,0.09035826474428177,0.325356662273407,0.016349144279956818,0.056123554706573486,0.7845304012298584,0.03631129860877991,0.08479185402393341,0.2585752010345459,0.03712519258260727,0.08913988620042801,0.3368529677391052,0.09792512655258179,0.26704826951026917,0.1946471929550171
Anochetus_risii_CASENT0877608_processed.obj,A_init,0.0025883852504193783,0.05688758194446564,0.027001217007637024,0.029886364936828613,0.08083459734916687,0.17147113382816315,0.058173663914203644,0.058933332562446594,0.05743333324790001,0.2106330245733261,0.22413334250450134,0.19866666197776794,0.4427218735218048,0.4672999978065491,0.4205999970436096,0.8477526903152466,0.8619666695594788,0.8339999914169312,0.639313280582428,0.2741333246231079,1.0,0.0,1.0,1.0,0.0,1.0,4.35713758406564e-08,0.0,0.6775497794151306,0.18934845924377441,0.0,0.0,0.0,0.007070879451930523,0.009595881216228008,0.007083773147314787,0.0,0.02806667797267437,0.07644491642713547,0.4762452244758606,0.022567782551050186,0.05082502216100693,0.5020709037780762,0.030823426321148872,0.056891463696956635,0.30110499262809753,0.02498907595872879,0.06307113915681839,0.5118733644485474,0.024756455793976784,0.06583911925554276,0.5395312905311584,0.08787519484758377,0.15683205425739288,0.09124087542295456
Anochetus_risii_CASENT0877609_processed.obj,A_init,0.010608604177832603,0.10790668427944183,0.044263966381549835,0.063642717897892,0.16719314455986023,0.4500974416732788,0.02000654861330986,0.020466666668653488,0.019566666334867477,0.09359551966190338,0.10186666995286942,0.08656666427850723,0.24958105385303497,0.2824999988079071,0.22353333234786987,0.5807883143424988,0.6524666547775269,0.5232999920845032,0.653704822063446,0.2657333314418793,1.0,0.0,1.0,1.0,0.0,1.0,2.3907139379275577e-08,0.0,0.7124611139297485,0.21208053827285767,0.0,0.0,0.0,0.024114759638905525,0.030608084052801132,0.02308899722993374,0.0,0.035334762185811996,0.0838761031627655,0.341379314661026,0.05058525875210762,0.10251878201961517,0.20202484726905823,0.049765896052122116,0.09650552272796631,0.16022099554538727,0.04107975959777832,0.0922897681593895,0.22955146431922913,0.05828094482421875,0.15541709959506989,0.22456863522529602,0.13956581056118011,0.30331018567085266,0.06447688490152359
Aphaenogaster_pallida_CASENT0745235_processed.obj,A_init,0.003431629855185747,0.061217617243528366,0.030849633738398552,0.030367983505129814,0.09275694936513901,0.26518720388412476,0.05074744671583176,0.04943333566188812,0.052133332937955856,0.206084743142128,0.1985333412885666,0.21423333883285522,0.47141990065574646,0.4552333354949951,0.4888000190258026,0.8246985077857971,0.8115000128746033,0.8383333683013916,0.6802138090133667,0.2262333333492279,1.0,0.0,1.0,1.0,0.0,1.0,3.507681967107601e-08,0.0,0.7465478777885437,0.20478405058383942,0.0,0.0,0.0,0.012989235110580921,0.013776191510260105,0.01270038541406393,0.0,0.02988683618605137,0.08845485746860504,0.49770116806030273,0.022204162552952766,0.04760361835360527,0.5112747550010681,0.04825085774064064,0.12220174074172974,0.20718233287334442,0.0300768930464983,0.0704207718372345,0.44063326716423035,0.03253832459449768,0.0846874862909317,0.399433434009552,0.09952603280544281,0.2519724667072296,0.12895376980304718
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,A_init,0.00271288282237947,0.05835302919149399,0.02853214740753174,0.02982088178396225,0.07463444769382477,0.1432534009218216,0.07144281268119812,0.07216666638851166,0.07073333114385605,0.2102781981229782,0.21950000524520874,0.20180000364780426,0.4311731159687042,0.45090001821517944,0.413100004196167,0.8333534002304077,0.8367000222206116,0.8300333619117737,0.6132901310920715,0.32563334703445435,1.0,0.0,1.0,1.0,0.0,1.0,6.95853970000826e-08,0.0,0.6724374294281006,0.1817907989025116,0.0,0.0,0.0,0.027548402547836304,0.030932435765862465,0.027995342388749123,0.0,0.023695819079875946,0.06106415018439293,0.5195402503013611,0.032132022082805634,0.06425578147172928,0.320754736661911,0.056058965623378754,0.0955573320388794,0.1519337147474289,0.018895920366048813,0.06263209134340286,0.6675462126731873,0.0264448095113039,0.07228229194879532,0.5222765803337097,0.04744105413556099,0.13434314727783203,0.3625304102897644
Carebara_trechideros_CASENT0877591_processed.obj,A_init,0.003157835453748703,0.057944122701883316,0.02493344619870186,0.03301067650318146,0.09417454898357391,0.2302943617105484,0.08290275186300278,0.08733333647251129,0.07890000194311142,0.24719038605690002,0.275133341550827,0.22439999878406525,0.4797261357307434,0.5339000225067139,0.435533344745636,0.8321202993392944,0.8806000351905823,0.7886999845504761,0.6275063157081604,0.32653334736824036,1.0,0.0,1.0,1.0,0.0,1.0,5.7850378709645156e-08,0.0,0.6089557409286499,0.15794676542282104,0.0,0.0,0.0,0.029415277764201164,0.03282716125249863,0.030364898964762688,0.0,0.02427816390991211,0.0645257756114006,0.5325670838356018,0.025317473337054253,0.05923110619187355,0.47998160123825073,0.04464899003505707,0.10043338686227798,0.30662983655929565,0.02368002198636532,0.05371600389480591,0.47229552268981934,0.033818092197179794,0.08780507743358612,0.4151429235935211,0.09428947418928146,0.1861412674188614,0.11070559173822403
Centromyrmex_brachycola_CASENT0744052_processed.obj,A_init,0.0024607302621006966,0.053159017115831375,0.023011023178696632,0.030147993937134743,0.07750247418880463,0.2677173912525177,0.06040212884545326,0.06293333321809769,0.05806666612625122,0.22990289330482483,0.25013333559036255,0.2127000093460083,0.4861742854118347,0.5380333662033081,0.44343334436416626,0.8757261633872986,0.9225000143051147,0.833466649055481,0.6772866249084473,0.25226667523384094,1.0,0.0,1.0,1.0,0.0,1.0,3.4260878578606935e-08,0.0,0.7239857316017151,0.25127822160720825,0.0,0.0,0.0,0.02070516347885132,0.023386674001812935,0.020623495802283287,0.0,0.0207082349807024,0.04812028631567955,0.5708812475204468,0.02993936650454998,0.06507448107004166,0.34744593501091003,0.03308246657252312,0.08441457152366638,0.4116022288799286,0.029323913156986237,0.058751676231622696,0.32189974188804626,0.02669890597462654,0.08904091268777847,0.5547257661819458,0.08095597475767136,0.16605767607688904,0.1155717745423317
Cephalotes_minutus_CASENT0709253_processed.obj,A_init,0.0017350884154438972,0.04403085261583328,0.018666191026568413,0.02536466158926487,0.06661976128816605,0.1803378313779831,0.0800890177488327,0.08293333649635315,0.07743333280086517,0.2981099784374237,0.32850000262260437,0.2728666663169861,0.5841258764266968,0.6548333168029785,0.5271999835968018,0.92020583152771,0.958133339881897,0.8851667046546936,0.7118231654167175,0.24846667051315308,1.0,0.0,1.0,1.0,0.0,1.0,4.7310141582102005e-08,0.0,0.7444841265678406,0.24904188513755798,0.0,0.0,0.0,0.013392137363553047,0.01417311280965805,0.012760707177221775,0.0,0.020895760506391525,0.05821516737341881,0.6076628565788269,0.01910802349448204,0.04123300686478615,0.5862862467765808,0.020142780616879463,0.047721922397613525,0.5441989302635193,0.019838109612464905,0.04120189696550369,0.5488126873970032,0.020624328404664993,0.052254412323236465,0.6183363199234009,0.03371799364686012,0.09459393471479416,0.40145984292030334
Cephalotes_simillimus_CASENT0744408_processed.obj,A_init,0.003010981483384967,0.057719141244888306,0.023927688598632812,0.03379145264625549,0.096209816634655,0.18479788303375244,0.04212137684226036,0.043800000101327896,0.040566667914390564,0.19262456893920898,0.2105666697025299,0.17749999463558197,0.49588605761528015,0.5605999827384949,0.44456666707992554,0.8314733505249023,0.8981666564941406,0.7739999890327454,0.69585120677948,0.33656665682792664,1.0,0.0,1.0,1.0,0.0,1.0,3.6746591547398566e-08,0.0,0.7701414227485657,0.29011866450309753,0.0,0.0,0.0,0.005235976539552212,0.008467272855341434,0.00537928007543087,0.0,0.025488948449492455,0.07439461350440979,0.5321839451789856,0.027106136083602905,0.0691797211766243,0.4809019863605499,0.0656077042222023,0.11493267863988876,0.12154696881771088,0.031239166855812073,0.061530664563179016,0.3456464409828186,0.027706529945135117,0.06806023418903351,0.48313161730766296,0.06102147325873375,0.1365184634923935,0.20072992146015167
