mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,H0_body,0.004796178545802832,0.06752902269363403,0.023077771067619324,0.04445124790072441,0.13203588128089905,0.3459842801094055,0.06630551069974899,0.0731000006198883,0.06066666916012764,0.22211167216300964,0.279366672039032,0.18433333933353424,0.445921927690506,0.5868666768074036,0.35956665873527527,0.7788571119308472,0.9123666882514954,0.6794333457946777,0.7302002310752869,0.18613334000110626,1.0,0.0,1.0,1.0,0.0,1.0,2.8896048220872217e-08,0.0,0.8139868378639221,0.35415980219841003,0.0,0.0,0.0,0.032853759825229645,0.07088546454906464,0.032522499561309814,0.0,0.023395497351884842,0.06301705539226532,0.5762452483177185,0.014411336742341518,0.035833630710840225,0.7850897312164307,0.01721726730465889,0.04141366109251976,0.6767956018447876,0.0196541640907526,0.04884527623653412,0.6121371984481812,0.030948806554079056,0.07056716084480286,0.361576110124588,0.04469800367951393,0.2560722827911377,0.6240875720977783
Acromyrmex_coronatus_CASENT0744365_processed.obj,H0_body,0.011451225727796555,0.09037397801876068,0.0258470568805933,0.06452692300081253,0.21922363340854645,0.5316904783248901,0.04510893672704697,0.052166666835546494,0.03973333537578583,0.1559821516275406,0.2131333351135254,0.12300000339746475,0.3509077727794647,0.4995666742324829,0.27043333649635315,0.7095772624015808,0.8854333162307739,0.5920000076293945,0.680128276348114,0.26420000195503235,1.0,0.0,1.0,1.0,0.0,1.0,2.5981966800259215e-08,0.0,0.8137301802635193,0.33981576561927795,0.0,0.0,0.0,0.06255434453487396,0.13170823454856873,0.07471276819705963,0.0,0.023547571152448654,0.06140441447496414,0.5379310250282288,0.02165829949080944,0.0455026812851429,0.5241601467132568,0.022179014980793,0.05013449117541313,0.541436493396759,0.025808481499552727,0.06357847899198532,0.5329815745353699,0.036329541355371475,0.09084168821573257,0.3510172665119171,0.059934310615062714,0.17362898588180542,0.24817517399787903
Acromyrmex_lobicornis_CASENT0878007_processed.obj,H0_body,0.015754545107483864,0.12155047059059143,0.03357299044728279,0.08797748386859894,0.20409035682678223,0.6525440812110901,0.020556576550006866,0.02419999986886978,0.017866667360067368,0.08076521754264832,0.12613333761692047,0.05939999967813492,0.18703410029411316,0.3471333384513855,0.12800000607967377,0.5000380873680115,0.8092333674430847,0.36180001497268677,0.6112265586853027,0.34209999442100525,1.0,0.0,1.0,1.0,0.0,1.0,2.5247612001066955e-08,0.0,0.8263347744941711,0.343178391456604,0.0,0.0,0.0,0.07357662171125412,0.17697221040725708,0.09321324527263641,0.0,0.028895597904920578,0.0639207661151886,0.39540231227874756,0.03983728960156441,0.08479645103216171,0.28992176055908203,0.036498062312603,0.0787784680724144,0.3425414562225342,0.026508865877985954,0.057023003697395325,0.44327178597450256,0.041226789355278015,0.12355657666921616,0.32886943221092224,0.10023973882198334,0.21803610026836395,0.09854014217853546
Anochetus_risii_CASENT0877608_processed.obj,H0_body,0.004115168005228043,0.061452627182006836,0.02340315654873848,0.038049470633268356,0.10596005618572235,0.3398415148258209,0.0682329311966896,0.07646666467189789,0.06159999966621399,0.22148239612579346,0.281166672706604,0.1827000081539154,0.4851894974708557,0.6205666661262512,0.3982999920845032,0.818178653717041,0.9102333188056946,0.7430333495140076,0.7257108092308044,0.20430000126361847,1.0,0.0,1.0,1.0,0.0,1.0,2.6305423617145607e-08,0.0,0.8147306442260742,0.3798923194408417,0.0,0.0,0.0,0.014933118596673012,0.030745714902877808,0.015606722794473171,0.0,0.017766818404197693,0.043859660625457764,0.6816092133522034,0.024283789098262787,0.06624215841293335,0.5287621021270752,0.023114794865250587,0.04738853499293327,0.4668508470058441,0.02650129236280918,0.06510911881923676,0.4802111089229584,0.02520698495209217,0.07598014175891876,0.6028843522071838,0.11006300151348114,0.20815156400203705,0.018248174339532852
Anochetus_risii_CASENT0877609_processed.obj,H0_body,0.02152426913380623,0.13202355802059174,0.03272399678826332,0.09929956495761871,0.26693806052207947,0.7337505221366882,0.02409742772579193,0.028266666457057,0.020999999716877937,0.08614413440227509,0.13840000331401825,0.06253333389759064,0.2062499225139618,0.3876666724681854,0.1404999941587448,0.4949473738670349,0.8163333535194397,0.3551333248615265,0.685690701007843,0.26030001044273376,1.0,0.0,1.0,1.0,0.0,1.0,2.2721104997458497e-08,0.0,0.8212245106697083,0.3316640257835388,0.0,0.0,0.0,0.05438199266791344,0.10079404711723328,0.060456782579422,0.0,0.032255735248327255,0.07404782623052597,0.3777777850627899,0.025774946436285973,0.061419859528541565,0.5002301335334778,0.03368580713868141,0.08423037827014923,0.4558011293411255,0.021897556260228157,0.04483791068196297,0.4854881465435028,0.03746573254466057,0.09717611223459244,0.34612414240837097,0.06701644510030746,0.22296330332756042,0.27858880162239075
Aphaenogaster_pallida_CASENT0745235_processed.obj,H0_body,0.004573555197566748,0.06841614842414856,0.026399122551083565,0.042017024010419846,0.11796443909406662,0.3303045332431793,0.03456798940896988,0.038200002163648605,0.031566668301820755,0.12792910635471344,0.16223333775997162,0.10559999942779541,0.31758397817611694,0.41493332386016846,0.25723332166671753,0.8412379622459412,0.9257000088691711,0.7709000110626221,0.7727205753326416,0.14523333311080933,1.0,0.0,1.0,1.0,0.0,1.0,2.641616170251382e-08,0.0,0.8190805912017822,0.3588559031486511,0.0,0.0,0.0,0.016910161823034286,0.03517533466219902,0.01747564971446991,0.0,0.025769967585802078,0.05675391107797623,0.3934865891933441,0.02443532831966877,0.04611968249082565,0.38610216975212097,0.013035420328378677,0.023298658430576324,0.8508287668228149,0.01920364424586296,0.05201950669288635,0.6860158443450928,0.03162574768066406,0.10851401835680008,0.5230491757392883,0.048143111169338226,0.1421394795179367,0.4403893053531647
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,H0_body,0.007542910985648632,0.06586696952581406,0.022444898262619972,0.04342207312583923,0.12642797827720642,0.5398092865943909,0.12078982591629028,0.12916666269302368,0.11343333125114441,0.32307183742523193,0.36803334951400757,0.28790000081062317,0.5403556227684021,0.6263333559036255,0.47513332962989807,0.8055648803710938,0.9000999927520752,0.7290000319480896,0.7222311496734619,0.2506999969482422,1.0,0.0,1.0,1.0,0.0,1.0,3.007916760111584e-08,0.0,0.8072076439857483,0.37503087520599365,0.0,0.0,0.0,0.029271652922034264,0.07061579823493958,0.03987602889537811,0.0,0.01607353799045086,0.04048437997698784,0.7122605443000793,0.012426662258803844,0.030222268775105476,0.7855499386787415,0.011331605724990368,0.027871206402778625,0.8453038930892944,0.014540818519890308,0.03385099768638611,0.7361477613449097,0.03893793374300003,0.09970177710056305,0.36466649174690247,0.12156684696674347,0.28329476714134216,0.04257907345890999
Carebara_trechideros_CASENT0877591_processed.obj,H0_body,0.005749180912971497,0.060196563601493835,0.020394984632730484,0.03980157896876335,0.14864102005958557,0.3899618685245514,0.11732851713895798,0.12880000472068787,0.1077333316206932,0.33602091670036316,0.40176665782928467,0.28876668214797974,0.5885639190673828,0.6988666653633118,0.5083333253860474,0.8378168344497681,0.924833357334137,0.7657666802406311,0.6998722553253174,0.2364666759967804,1.0,0.0,1.0,1.0,0.0,1.0,3.026858053090109e-08,0.0,0.814505934715271,0.37394624948501587,0.0,0.0,0.0,0.048139993101358414,0.0963146910071373,0.0586627759039402,0.0,0.014963026158511639,0.03899271786212921,0.7494252920150757,0.012883872725069523,0.027483833953738213,0.8228256106376648,0.012766928412020206,0.04344683513045311,0.8701657652854919,0.012807427905499935,0.029542598873376846,0.8364116549491882,0.03343887999653816,0.08849417418241501,0.437290757894516,0.12607832252979279,0.3517219126224518,0.06082725152373314
Centromyrmex_brachycola_CASENT0744052_processed.obj,H0_body,0.004161539953202009,0.06722881644964218,0.02394912950694561,0.04327968880534172,0.10980533063411713,0.38032758235931396,0.04565649479627609,0.05193333327770233,0.04073333367705345,0.17339551448822021,0.23823334276676178,0.1362999975681305,0.3776410222053528,0.5435333251953125,0.2893333435058594,0.7677551507949829,0.91839998960495,0.6595667004585266,0.6869478225708008,0.2613333463668823,1.0,0.0,1.0,1.0,0.0,1.0,2.7051431317204333e-08,0.0,0.8148777484893799,0.3658781349658966,0.0,0.0,0.0,0.021112000569701195,0.0500338077545166,0.021843625232577324,0.0,0.019442865625023842,0.046498823910951614,0.6153256893157959,0.029816221445798874,0.0594172440469265,0.33133918046951294,0.013606531545519829,0.03342593088746071,0.8038674592971802,0.026575395837426186,0.060441937297582626,0.4511873424053192,0.028132209554314613,0.07848695665597916,0.5348957180976868,0.1064855083823204,0.3212071657180786,0.20559610426425934
Cephalotes_minutus_CASENT0709253_processed.obj,H0_body,0.00325225992128253,0.06083282455801964,0.02360660210251808,0.037226222455501556,0.09039843827486038,0.2780812084674835,0.04170107841491699,0.047333333641290665,0.03726666793227196,0.15910206735134125,0.21386666595935822,0.12666666507720947,0.4012308120727539,0.532633364200592,0.3218333423137665,0.828366756439209,0.9201000332832336,0.7532666921615601,0.7519620656967163,0.27836665511131287,1.0,0.0,1.0,1.0,0.0,1.0,2.6998975499736844e-08,0.0,0.8298117518424988,0.3625500798225403,0.0,0.0,0.0,0.0278254896402359,0.07374423742294312,0.028391940519213676,0.0,0.025547806173563004,0.05629074200987816,0.4478927254676819,0.021796075627207756,0.048227984458208084,0.5352047681808472,0.011142351664602757,0.025766124948859215,0.8756906390190125,0.017078842967748642,0.03197295963764191,0.649076521396637,0.022264428436756134,0.06280894577503204,0.6018542647361755,0.0881057009100914,0.2527134418487549,0.1374695897102356
