mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,H0_body,0.004723967052996159,0.06772426515817642,0.02406310848891735,0.04366115853190422,0.12959565222263336,0.29596057534217834,0.07058946788311005,0.0778999999165535,0.06453333050012589,0.22156095504760742,0.27846667170524597,0.18396666646003723,0.4318273067474365,0.5544999837875366,0.35359999537467957,0.7812046408653259,0.8979333639144897,0.6913333535194397,0.7365893125534058,0.19883333146572113,1.0,0.0,1.0,1.0,0.0,1.0,2.8426878628806662e-08,0.0,0.811094343662262,0.37129369378089905,0.0,0.0,0.0,13.29815673828125,94.21571350097656,0.011472899466753006,0.012126002460718155,0.016193971037864685,0.011795488186180592,0.0,0.023280661553144455,0.05964338406920433,0.5547893047332764,0.015789777040481567,0.03817608207464218,0.7266452312469482,0.014634321443736553,0.030467094853520393,0.7403315305709839,0.026603590697050095,0.04853059723973274,0.3825857639312744,0.0346597321331501,0.08707171678543091,0.3747102916240692,0.06222547963261604,0.17870040237903595,0.4987834393978119
Acromyrmex_coronatus_CASENT0744365_processed.obj,H0_body,0.012053146958351135,0.09213393926620483,0.02566598728299141,0.06646795570850372,0.232042595744133,0.5701775550842285,0.04805062338709831,0.054233334958553314,0.04313333332538605,0.16947369277477264,0.23000000417232513,0.1341666728258133,0.3696287274360657,0.5321000218391418,0.28316667675971985,0.6889227032661438,0.8810999989509583,0.5655666589736938,0.7061805129051208,0.24580000340938568,1.0,0.0,1.0,1.0,0.0,1.0,2.6809566122665274e-08,0.0,0.8083009719848633,0.32585957646369934,0.0,0.0,0.0,13.179662704467773,91.82063293457031,0.01078843604773283,0.04199531674385071,0.07697103172540665,0.05368340387940407,0.0,0.024265339598059654,0.0603649877011776,0.5226053595542908,0.018731245771050453,0.03922785446047783,0.6005522608757019,0.02767184190452099,0.09008680284023285,0.5027624368667603,0.02253768779337406,0.06539572775363922,0.6517150402069092,0.03862287476658821,0.10288543999195099,0.33917075395584106,0.05626818537712097,0.14747320115566254,0.2457420974969864
Acromyrmex_lobicornis_CASENT0878007_processed.obj,H0_body,0.013198989443480968,0.12014918774366379,0.035982780158519745,0.08416640758514404,0.20450077950954437,0.4377143979072571,0.017325391992926598,0.02056666649878025,0.01496666669845581,0.06867866963148117,0.10900000482797623,0.05013333261013031,0.17463797330856323,0.3252333402633667,0.11936666816473007,0.48468464612960815,0.7635000348091125,0.35503333806991577,0.6028532385826111,0.3709000051021576,1.0,0.0,1.0,1.0,0.0,1.0,2.6220920545938498e-08,0.0,0.8221578001976013,0.34143340587615967,0.0,0.0,0.0,13.439920425415039,102.6515121459961,0.012841824442148209,0.0369793102145195,0.05102745443582535,0.04502289742231369,0.0,0.029810039326548576,0.06967788189649582,0.3934865891933441,0.04142173007130623,0.09121593087911606,0.2816382944583893,0.033706411719322205,0.10922245681285858,0.45303869247436523,0.029627203941345215,0.07135917246341705,0.37467020750045776,0.04890526458621025,0.11733530461788177,0.22868916392326355,0.0792129784822464,0.2184285968542099,0.16545012593269348
Anochetus_risii_CASENT0877608_processed.obj,H0_body,0.004257079213857651,0.06159772351384163,0.023404091596603394,0.038193631917238235,0.10626538097858429,0.3627665042877197,0.06793761998414993,0.0760333314538002,0.061400000005960464,0.22905559837818146,0.29526665806770325,0.18710000813007355,0.4914209842681885,0.6302000284194946,0.40273332595825195,0.8183571696281433,0.9068000316619873,0.7456333637237549,0.728152334690094,0.19556666910648346,1.0,0.0,1.0,1.0,0.0,1.0,2.611600891100352e-08,0.0,0.8140730857849121,0.37456175684928894,0.0,0.0,0.0,12.977654457092285,87.73652648925781,0.009615072049200535,0.005512774921953678,0.01464573573321104,0.005726756062358618,0.0,0.017180737107992172,0.04000295698642731,0.6900383234024048,0.025464264675974846,0.07075173407793045,0.5200183987617493,0.02321476861834526,0.04948507249355316,0.4861878752708435,0.0261927992105484,0.060358088463544846,0.44063326716423035,0.025552205741405487,0.08703166246414185,0.6185938715934753,0.11562007665634155,0.21747395396232605,0.017031630501151085
Anochetus_risii_CASENT0877609_processed.obj,H0_body,0.02804330736398697,0.139465793967247,0.029773009940981865,0.10969278216362,0.28205084800720215,1.0338224172592163,0.022441688925027847,0.027133334428071976,0.01913333311676979,0.08072308450937271,0.1467999964952469,0.055666666477918625,0.17934328317642212,0.40506666898727417,0.11516667157411575,0.438376784324646,0.8252000212669373,0.29846668243408203,0.5783585906028748,0.4153333306312561,1.0,0.0,1.0,1.0,0.0,1.0,2.549822930575374e-08,0.0,0.7814069986343384,0.28794413805007935,0.0,0.0,0.0,12.974472045898438,96.06237030029297,0.011831426993012428,0.03578311577439308,0.042851053178310394,0.03949849680066109,0.0,0.029789302498102188,0.06614583730697632,0.38314175605773926,0.0269406046718359,0.06588558107614517,0.46479523181915283,0.02791650965809822,0.07223798334598541,0.5359116196632385,0.01795634999871254,0.03159230947494507,0.5963060855865479,0.03218325600028038,0.06764992326498032,0.34818440675735474,0.036454737186431885,0.06977025419473648,0.24452555179595947
Aphaenogaster_pallida_CASENT0745235_processed.obj,H0_body,0.004726078826934099,0.06916088610887527,0.0272265262901783,0.041934359818696976,0.11378549039363861,0.3235749900341034,0.037222232669591904,0.04156666621565819,0.03370000049471855,0.12706363201141357,0.16393333673477173,0.10373333096504211,0.3210355043411255,0.4173666834831238,0.2608333230018616,0.8367440104484558,0.9177666902542114,0.7688666582107544,0.7643163204193115,0.14916667342185974,1.0,0.0,1.0,1.0,0.0,1.0,2.6153895049674247e-08,0.0,0.8203091621398926,0.3591151833534241,0.0,0.0,0.0,13.30396556854248,91.5106430053711,0.01056028250604868,0.008003677241504192,0.016606628894805908,0.00826943852007389,0.0,0.025606613606214523,0.0555281937122345,0.4122605323791504,0.024880055338144302,0.04677392542362213,0.3663138449192047,0.013028038665652275,0.023569677025079727,0.8342542052268982,0.019123973324894905,0.053709179162979126,0.6912928819656372,0.03369177505373955,0.11787841469049454,0.4898274540901184,0.05483008548617363,0.1468699425458908,0.3260340690612793
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,H0_body,0.008130135014653206,0.06773555278778076,0.023742608726024628,0.04399294778704643,0.1376689225435257,0.5781204700469971,0.08916120231151581,0.09436666965484619,0.08449999988079071,0.2622925639152527,0.29633334279060364,0.23526667058467865,0.5031008124351501,0.5745333433151245,0.4474666714668274,0.8213371634483337,0.9014999866485596,0.7542666792869568,0.7165743708610535,0.251066654920578,1.0,0.0,1.0,1.0,0.0,1.0,3.0385141513988856e-08,0.0,0.8064234256744385,0.3772643208503723,0.0,0.0,0.0,13.680334091186523,95.69510650634766,0.01179883349686861,0.025818321853876114,0.046976447105407715,0.035367727279663086,0.0,0.01716741919517517,0.039729371666908264,0.673180103302002,0.016161946579813957,0.0393470898270607,0.7073171138763428,0.015630770474672318,0.042934149503707886,0.7872928380966187,0.012781570665538311,0.026822777464985847,0.8469657301902771,0.03739473968744278,0.08361780643463135,0.3123873472213745,0.11576081812381744,0.2754587233066559,0.06326033920049667
Carebara_trechideros_CASENT0877591_processed.obj,H0_body,0.01249692402780056,0.07756113260984421,0.022937774658203125,0.05462335795164108,0.24115829169750214,0.6089009642601013,0.09529129415750504,0.1039000004529953,0.08799999952316284,0.28682029247283936,0.33843332529067993,0.24886666238307953,0.5446327328681946,0.6527666449546814,0.4672333300113678,0.8188230991363525,0.9197333455085754,0.7378666996955872,0.6942976713180542,0.27053332328796387,1.0,0.0,1.0,1.0,0.0,1.0,2.9038835336336888e-08,0.0,0.8126718997955322,0.37850290536880493,0.0,0.0,0.0,13.786998748779297,98.53472137451172,0.012222548946738243,0.01989683136343956,0.043251410126686096,0.024125130847096443,0.0,0.01333825197070837,0.03149888291954994,0.8084291219711304,0.017639251425862312,0.033350057899951935,0.6208007335662842,0.025129443034529686,0.09527935832738876,0.6160221099853516,0.013011736795306206,0.03363025188446045,0.8284960985183716,0.03528466448187828,0.10826721042394638,0.4573783278465271,0.1565997302532196,0.35482057929039,0.05352798104286194
Centromyrmex_brachycola_CASENT0744052_processed.obj,H0_body,0.0048209549859166145,0.07187177985906601,0.025544170290231705,0.046327609568834305,0.1251690685749054,0.30182382464408875,0.04653041809797287,0.0533333346247673,0.04126666858792305,0.1711932122707367,0.2360333353281021,0.13430000841617584,0.35339999198913574,0.498033344745636,0.2738666832447052,0.7539206147193909,0.9003333449363708,0.6484666466712952,0.6980168223381042,0.2614000141620636,1.0,0.0,1.0,1.0,0.0,1.0,2.7051429540847494e-08,0.0,0.8099042177200317,0.33711886405944824,0.0,0.0,0.0,12.951980590820312,99.35883331298828,0.013591473922133446,0.0045849597081542015,0.009594238363206387,0.004744550213217735,0.0,0.0197431780397892,0.049396418035030365,0.6107279658317566,0.027800461277365685,0.05835311859846115,0.3699954152107239,0.01361546665430069,0.0298325028270483,0.8066298365592957,0.02205313742160797,0.0525992289185524,0.585752010345459,0.03233746439218521,0.0913044735789299,0.3986608386039734,0.09526672959327698,0.19707192480564117,0.2530413568019867
Cephalotes_minutus_CASENT0709253_processed.obj,H0_body,0.0034924247302114964,0.06248733401298523,0.024316292256116867,0.03817104175686836,0.0931491106748581,0.27853891253471375,0.04961810261011124,0.056333333253860474,0.044333335012197495,0.1833665817975998,0.24076667428016663,0.1480666697025299,0.41376781463623047,0.545366644859314,0.3333333432674408,0.8058476448059082,0.901366651058197,0.7286333441734314,0.7346609830856323,0.2620333433151245,1.0,0.0,1.0,1.0,0.0,1.0,2.7194221985382683e-08,0.0,0.8281461000442505,0.35827431082725525,0.0,0.0,0.0,13.28669548034668,89.5385513305664,0.009908412583172321,0.003944324795156717,0.007998612709343433,0.004045539069920778,0.0,0.025143111124634743,0.06745550781488419,0.5172414183616638,0.022616121917963028,0.0507480725646019,0.5310630798339844,0.01149996742606163,0.030228620395064354,0.8646408915519714,0.017739450559020042,0.03371188044548035,0.5910290479660034,0.0220718365162611,0.06037357077002525,0.5907803177833557,0.08791080862283707,0.24949166178703308,0.09854014217853546
