mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.005646146833896637,0.08412066102027893,0.042819682508707047,0.041300978511571884,0.1069653332233429,0.2598020136356354,0.035499874502420425,0.03556666523218155,0.0354333333671093,0.1354811042547226,0.1339000016450882,0.1370999962091446,0.30380910634994507,0.30533334612846375,0.30230000615119934,0.6696969270706177,0.662933349609375,0.6765999794006348,0.5883901715278625,0.2685000002384186,1.0,0.0,1.0,1.0,0.0,1.0,8.68107505880289e-08,0.0,0.7084106802940369,0.2744423747062683,0.0,0.0,0.0,0.01730942353606224,0.02150392346084118,0.014985235407948494,0.0,0.03121284209191799,0.08861172199249268,0.43026819825172424,0.04726983979344368,0.09517060965299606,0.2213529646396637,0.03457406535744667,0.08783412724733353,0.1961326003074646,0.04070768132805824,0.0812041386961937,0.2585752010345459,0.04419215768575668,0.12159503996372223,0.2956477105617523,0.0898234024643898,0.22889886796474457,0.09854014217853546
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.014990663155913353,0.13243114948272705,0.06555183231830597,0.06687932461500168,0.18984155356884003,0.3098193109035492,0.02248888835310936,0.023000000044703484,0.02199999988079071,0.09123273938894272,0.09099999815225601,0.09146666526794434,0.20653726160526276,0.2101999968290329,0.203000009059906,0.48370999097824097,0.4904000163078308,0.4772000014781952,0.5239807963371277,0.4038333296775818,1.0,0.0,1.0,1.0,0.0,1.0,9.128682876280436e-08,0.0,0.6451544165611267,0.18804897367954254,0.0,0.0,0.0,0.07262790203094482,0.07806489616632462,0.0754246786236763,0.0,0.04590854048728943,0.13236869871616364,0.3099617063999176,0.04336961358785629,0.10546131432056427,0.2613897919654846,0.07571254670619965,0.1411399394273758,0.09392265230417252,0.04452069103717804,0.05901717767119408,0.007915567606687546,0.057852428406476974,0.14117145538330078,0.23564255237579346,0.16726309061050415,0.2643723785877228,0.0
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.010971464216709137,0.11082160472869873,0.053113486617803574,0.05770811811089516,0.15746594965457916,0.47786635160446167,0.018331818282604218,0.018166666850447655,0.01850000023841858,0.09261946380138397,0.09376666694879532,0.09149999916553497,0.25429266691207886,0.25566667318344116,0.2529333233833313,0.5817098617553711,0.5896999835968018,0.5739333629608154,0.5532323122024536,0.40049999952316284,1.0,0.0,1.0,1.0,0.0,1.0,8.399575079920396e-08,0.0,0.6898548603057861,0.2410668283700943,0.0,0.0,0.0,0.06271320581436157,0.0647934079170227,0.054489266127347946,0.0,0.03630154952406883,0.09084457904100418,0.35172414779663086,0.08042144775390625,0.18315865099430084,0.14173953235149384,0.08449771255254745,0.14199191331863403,0.0027624310459941626,0.02402161806821823,0.047409817576408386,0.47493404150009155,0.08077197521924973,0.19512209296226501,0.19701261818408966,0.21444164216518402,0.4401891827583313,0.19099757075309753
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0054166181944310665,0.08561219274997711,0.04097629711031914,0.044635891914367676,0.10238040238618851,0.1759142428636551,0.03414316102862358,0.0346333347260952,0.033666666597127914,0.12043456733226776,0.12243333458900452,0.1185000017285347,0.27435293793678284,0.2804666757583618,0.2685000002384186,0.639815628528595,0.6625000238418579,0.6186333298683167,0.601081907749176,0.3076666593551636,1.0,0.0,1.0,1.0,0.0,1.0,9.174441828463387e-08,0.0,0.6986280679702759,0.2685263156890869,0.0,0.0,0.0,0.010297021828591824,0.015315644443035126,0.009929272346198559,0.0,0.03514138236641884,0.08775658905506134,0.35095787048339844,0.03576481342315674,0.08300043642520905,0.291302353143692,0.03403867036104202,0.07759667932987213,0.37569060921669006,0.026351667940616608,0.061214182525873184,0.5171504020690918,0.0442340113222599,0.08788393437862396,0.26809167861938477,0.08534803241491318,0.14913713932037354,0.013381995260715485
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.0119092408567667,0.1201217919588089,0.061949122697114944,0.05817267298698425,0.15638767182826996,0.43173423409461975,0.013231988996267319,0.013100000098347664,0.013366666622459888,0.07008899003267288,0.06673333048820496,0.0737999975681305,0.21273361146450043,0.1926666647195816,0.23746666312217712,0.517728328704834,0.4841333329677582,0.5563333630561829,0.5845927000045776,0.3434000015258789,1.0,0.0,1.0,1.0,0.0,1.0,6.162715493474025e-08,0.0,0.7011550068855286,0.2455929070711136,0.0,0.0,0.0,0.032510772347450256,0.0669281929731369,0.028800446540117264,0.0,0.04250102862715721,0.11034427583217621,0.3126436769962311,0.052054036408662796,0.1354900598526001,0.24482282996177673,0.06155317649245262,0.18438956141471863,0.3480663001537323,0.0623677559196949,0.12506860494613647,0.14248022437095642,0.09277646988630295,0.23951241374015808,0.1264486312866211,0.24894483387470245,0.40790027379989624,0.0036496350076049566
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.009963136166334152,0.10691307485103607,0.06588480621576309,0.04102827236056328,0.16785520315170288,0.3911653459072113,0.021023962646722794,0.019833333790302277,0.022366667166352272,0.09605048596858978,0.0803999975323677,0.11926666647195816,0.24631841480731964,0.1934666633605957,0.33889999985694885,0.5618774890899658,0.4648333489894867,0.7101333141326904,0.5356555581092834,0.36090001463890076,1.0,0.0,1.0,1.0,0.0,1.0,1.104440272570173e-07,0.0,0.696916401386261,0.23122122883796692,0.0,0.0,0.0,0.018576540052890778,0.02616426721215248,0.017993571236729622,0.0,0.03347289562225342,0.0848643034696579,0.3770115077495575,0.03818996623158455,0.09055633842945099,0.30372756719589233,0.06268294900655746,0.10450885444879532,0.14088398218154907,0.02826191484928131,0.06136616691946983,0.3271768093109131,0.05529646947979927,0.15196964144706726,0.23486995697021484,0.1372694969177246,0.271884024143219,0.002433090005069971
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.004999155178666115,0.07630492746829987,0.04208913445472717,0.03421579301357269,0.1142532080411911,0.2174588292837143,0.049289729446172714,0.04723333567380905,0.05153333395719528,0.1751408576965332,0.1607000082731247,0.19243334233760834,0.36466097831726074,0.3345000147819519,0.4007999897003174,0.7202973961830139,0.6738666892051697,0.7735999822616577,0.5576003789901733,0.35063332319259644,1.0,0.0,1.0,1.0,0.0,1.0,1.2317590858401672e-07,4.889019328402355e-05,0.7081804275512695,0.272464394569397,0.0,0.0,0.0,0.04268927499651909,0.04252530261874199,0.03993110731244087,0.0,0.025655433535575867,0.06811656802892685,0.5111111402511597,0.05244877561926842,0.12033215910196304,0.25448688864707947,0.0570257231593132,0.09236177802085876,0.13535912334918976,0.01599423587322235,0.028380950912833214,0.7018470168113708,0.042554955929517746,0.11421959847211838,0.33659541606903076,0.09134586900472641,0.18592002987861633,0.058394160121679306
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.004082215949892998,0.06415501236915588,0.027392596006393433,0.03676242008805275,0.11438041180372238,0.23816761374473572,0.08111242949962616,0.09003333747386932,0.0737999975681305,0.23859941959381104,0.2888000011444092,0.2032666653394699,0.48395422101020813,0.5738666653633118,0.41840001940727234,0.7963124513626099,0.8547333478927612,0.7453666925430298,0.6895260214805603,0.25253334641456604,1.0,0.0,1.0,1.0,0.0,1.0,9.582689841636238e-08,0.0,0.660999059677124,0.12630899250507355,0.0,0.0,0.0,0.02385839633643627,0.025689272210001945,0.02288437820971012,0.0,0.017201635986566544,0.04500455781817436,0.6961686015129089,0.02041267603635788,0.0468088835477829,0.5803037285804749,0.03706753998994827,0.09414464980363846,0.35082873702049255,0.02130781300365925,0.05079414322972298,0.5065963268280029,0.04467208310961723,0.12467247992753983,0.4179758131504059,0.09558146446943283,0.22944936156272888,0.20437955856323242
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.005601930897682905,0.08158174902200699,0.03804244101047516,0.04353930801153183,0.10412565618753433,0.3491572439670563,0.03719630837440491,0.039266668260097504,0.035333335399627686,0.14839914441108704,0.16510000824928284,0.13476666808128357,0.3220852315425873,0.3592333495616913,0.29190000891685486,0.686779797077179,0.713100016117096,0.6623333692550659,0.6040046811103821,0.24549999833106995,1.0,0.0,1.0,1.0,0.0,1.0,8.156825970218051e-08,0.0,0.7412983179092407,0.3464929163455963,0.0,0.0,0.0,0.0074404384940862656,0.01054901722818613,0.007070485502481461,0.0,0.030175764113664627,0.07568639516830444,0.4295019209384918,0.03016814962029457,0.06919316947460175,0.40082836151123047,0.023116597905755043,0.04554799944162369,0.4475138187408447,0.03431878611445427,0.0623336099088192,0.2401055544614792,0.034462764859199524,0.09849445521831512,0.40252381563186646,0.06392554938793182,0.1244075745344162,0.19221411645412445
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.0028613938484340906,0.059589933604002,0.02608056738972664,0.03350936621427536,0.07970094680786133,0.2376762330532074,0.04927702993154526,0.050999999046325684,0.04766666889190674,0.19510965049266815,0.21639999747276306,0.17763333022594452,0.42068859934806824,0.47813335061073303,0.37556666135787964,0.824482262134552,0.8751000165939331,0.7793999910354614,0.6314009428024292,0.2899666726589203,1.0,0.0,1.0,1.0,0.0,1.0,1.1219829332276277e-07,0.0,0.7569847702980042,0.32148468494415283,0.0,0.0,0.0,0.014014464803040028,0.021110862493515015,0.01194183249026537,0.0,0.02848472259938717,0.06777975708246231,0.43371647596359253,0.02835576981306076,0.06142943352460861,0.3842613995075226,0.036384496837854385,0.0561010017991066,0.16850829124450684,0.019469385966658592,0.05523766204714775,0.6385224461555481,0.028541697189211845,0.07330220192670822,0.445274293422699,0.08672787249088287,0.2100730687379837,0.0
