mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,S0_init,0.00214939471334219,0.05150323361158371,0.024994969367980957,0.026508266106247902,0.06717826426029205,0.20725184679031372,0.06261666864156723,0.06263333559036255,0.06260000169277191,0.23137272894382477,0.2391333431005478,0.2241000086069107,0.49219265580177307,0.5073666572570801,0.4778999984264374,0.8880013227462769,0.8933666944503784,0.8827000260353088,0.7026134133338928,0.2505333423614502,1.0,0.0,1.0,1.0,0.0,1.0,8.417623575951438e-08,0.0,0.7070852518081665,0.1769406646490097,0.0,0.0,0.0,0.013173587620258331,0.014102036133408546,0.012240860611200333,0.0,0.025067796930670738,0.0595279224216938,0.4911877512931824,0.024385742843151093,0.05044972151517868,0.4592728912830353,0.011770053766667843,0.028881598263978958,0.8591160774230957,0.021655503660440445,0.04781243950128555,0.5224274396896362,0.02587607316672802,0.06877445429563522,0.5101725459098816,0.06993474066257477,0.19859664142131805,0.2749391794204712
Acromyrmex_coronatus_CASENT0744365_processed.obj,S0_init,0.008108481764793396,0.09329850226640701,0.04361383616924286,0.049684666097164154,0.16096197068691254,0.3149581253528595,0.031472522765398026,0.030899999663233757,0.03206666558980942,0.13283655047416687,0.1308666616678238,0.13486666977405548,0.3105325400829315,0.3100333511829376,0.31103333830833435,0.6626075506210327,0.6724666953086853,0.6530333161354065,0.5656632781028748,0.3366999924182892,1.0,0.0,1.0,1.0,0.0,1.0,7.793715894877096e-08,0.0,0.6368884444236755,0.09124886244535446,0.0,0.0,0.0,0.026148177683353424,0.03381088003516197,0.02104349434375763,0.0,0.03546706959605217,0.09156141430139542,0.37854406237602234,0.03698944300413132,0.07478708773851395,0.30188679695129395,0.07716196030378342,0.13278786838054657,0.08011049777269363,0.019264591857790947,0.03278908506035805,0.5118733644485474,0.03788939490914345,0.09176129847764969,0.3116147220134735,0.11967288702726364,0.3002466857433319,0.09975668787956238
Acromyrmex_lobicornis_CASENT0878007_processed.obj,S0_init,0.006736401934176683,0.08533461391925812,0.03273609280586243,0.05259852111339569,0.15366965532302856,0.28404945135116577,0.025908088311553,0.0272000003606081,0.02473333291709423,0.12254065275192261,0.1377333402633667,0.11036666482686996,0.318553626537323,0.3846000134944916,0.27186667919158936,0.6951333284378052,0.7942667007446289,0.6180000305175781,0.601193368434906,0.2883000075817108,1.0,0.0,1.0,1.0,0.0,1.0,7.451603067920587e-08,0.0,0.6557101011276245,0.14082519710063934,0.0,0.0,0.0,0.03447326645255089,0.03952030837535858,0.03084777481853962,0.0,0.02792268991470337,0.060564689338207245,0.4053640067577362,0.036693934351205826,0.08558417856693268,0.3529682457447052,0.02161250077188015,0.04934755712747574,0.6187845468521118,0.02832568623125553,0.07243812829256058,0.43799474835395813,0.03310424089431763,0.07509536296129227,0.3747102916240692,0.10752592235803604,0.25239208340644836,0.051094889640808105
Anochetus_risii_CASENT0877608_processed.obj,S0_init,0.0021755655761808157,0.05141378939151764,0.025767341256141663,0.025646446272730827,0.06844945251941681,0.1573757380247116,0.06608211994171143,0.0658000037074089,0.06636666506528854,0.24114978313446045,0.24523334205150604,0.23720000684261322,0.506683349609375,0.5066333413124084,0.5067333579063416,0.8728460669517517,0.8709999918937683,0.8747000098228455,0.6176734566688538,0.2630999982357025,1.0,0.0,1.0,1.0,0.0,1.0,9.543918366716753e-08,0.0,0.6452668905258179,0.12850140035152435,0.0,0.0,0.0,0.007314924616366625,0.012331348843872547,0.0073697371408343315,0.0,0.023718208074569702,0.06306508928537369,0.5310344696044922,0.02724609524011612,0.062022313475608826,0.4385642111301422,0.029403503984212875,0.05448538810014725,0.3287293016910553,0.02542748488485813,0.06137973442673683,0.47229552268981934,0.024538390338420868,0.06634051352739334,0.5397888422012329,0.07735931128263474,0.1276005357503891,0.08394160866737366
Anochetus_risii_CASENT0877609_processed.obj,S0_init,0.009414484724402428,0.10276297479867935,0.04331884905695915,0.0594441257417202,0.1573522835969925,0.44951534271240234,0.02063707448542118,0.021166667342185974,0.020133333280682564,0.10324869304895401,0.10859999805688858,0.09840000420808792,0.26693397760391235,0.29590001702308655,0.2431333363056183,0.5962842702865601,0.656000018119812,0.5465333461761475,0.6415938138961792,0.2710333466529846,1.0,0.0,1.0,1.0,0.0,1.0,5.681881276586864e-08,0.0,0.6515194773674011,0.12914541363716125,0.0,0.0,0.0,0.03350858762860298,0.039916519075632095,0.03451315686106682,0.0,0.03292345628142357,0.07487789541482925,0.3563218414783478,0.053504813462495804,0.10777895152568817,0.21076852083206177,0.03569251671433449,0.06204676628112793,0.21823205053806305,0.04301716014742851,0.09501534700393677,0.23482850193977356,0.05212289094924927,0.1544789969921112,0.3298995792865753,0.11632274091243744,0.25834354758262634,0.1885644793510437
Aphaenogaster_pallida_CASENT0745235_processed.obj,S0_init,0.003001586999744177,0.05665630102157593,0.028953401371836662,0.027702901512384415,0.08392096310853958,0.21871662139892578,0.05321922525763512,0.05236666649580002,0.054099999368190765,0.22345927357673645,0.218666672706604,0.2284666746854782,0.4998645782470703,0.4833333492279053,0.5175666809082031,0.8541038036346436,0.8357333540916443,0.8733000159263611,0.6740123629570007,0.22873333096504211,1.0,0.0,1.0,1.0,0.0,1.0,5.3983402636959e-08,0.0,0.7385703325271606,0.15287667512893677,0.0,0.0,0.0,0.011358308605849743,0.014488046057522297,0.011330974288284779,0.0,0.028117889538407326,0.07798098027706146,0.49808430671691895,0.023156143724918365,0.04966188967227936,0.5075932145118713,0.036584965884685516,0.07629101723432541,0.20994475483894348,0.028355339542031288,0.06961431354284286,0.44063326716423035,0.027189314365386963,0.07632843405008316,0.510430097579956,0.08766167610883713,0.20814868807792664,0.25182482600212097
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,S0_init,0.00195328239351511,0.0499231331050396,0.02552485466003418,0.024398278445005417,0.06389806419610977,0.12774662673473358,0.07746550440788269,0.07716666907072067,0.07776666432619095,0.24009883403778076,0.24063333868980408,0.23956666886806488,0.49163931608200073,0.48493334650993347,0.49853333830833435,0.8965678215026855,0.8839666843414307,0.9095333218574524,0.5781564116477966,0.32046666741371155,1.0,0.0,1.0,1.0,0.0,1.0,1.0350242263257314e-07,0.0,0.6174841523170471,0.1578647643327713,0.0,0.0,0.0,0.030434424057602882,0.03480254113674164,0.030890952795743942,0.0,0.02243010140955448,0.05441123619675636,0.5421456098556519,0.031417958438396454,0.059112824499607086,0.2936033308506012,0.04736201837658882,0.08966600149869919,0.23204420506954193,0.017340674996376038,0.0456586629152298,0.688654363155365,0.021067781373858452,0.06048470363020897,0.612155556678772,0.03119826875627041,0.08073826134204865,0.420924574136734
Carebara_trechideros_CASENT0877591_processed.obj,S0_init,0.0024931789375841618,0.051207758486270905,0.021624891087412834,0.02958286926150322,0.08579924702644348,0.21686901152133942,0.09574691206216812,0.09950000047683716,0.09226667135953903,0.29129230976104736,0.31459999084472656,0.2712000012397766,0.5377764105796814,0.5839999914169312,0.4983333349227905,0.870476484298706,0.9218000173568726,0.824566662311554,0.6232790350914001,0.3250333368778229,1.0,0.0,1.0,1.0,0.0,1.0,1.0714503417830201e-07,0.0,0.6137711405754089,0.15019197762012482,0.0,0.0,0.0,0.025220897048711777,0.029788926243782043,0.02622838504612446,0.0,0.023613523691892624,0.06185692548751831,0.5425287485122681,0.026027915999293327,0.05981627479195595,0.43442246317863464,0.036563895642757416,0.08026792854070663,0.41436466574668884,0.019021103158593178,0.03843308240175247,0.585752010345459,0.02572171576321125,0.06653767079114914,0.4839042127132416,0.06403332203626633,0.12948407232761383,0.16788321733474731
Centromyrmex_brachycola_CASENT0744052_processed.obj,S0_init,0.0021173025015741587,0.04881620407104492,0.02202221006155014,0.02679399400949478,0.07104862481355667,0.26718592643737793,0.0677175223827362,0.06923333555459976,0.06626667082309723,0.2540532648563385,0.2717333436012268,0.23853333294391632,0.5406099557876587,0.587066650390625,0.5009666681289673,0.8967231512069702,0.9244999885559082,0.8705666661262512,0.6821311712265015,0.25433334708213806,1.0,0.0,1.0,1.0,0.0,1.0,5.491007115665525e-08,0.0,0.7166885733604431,0.23347340524196625,0.0,0.0,0.0,0.022039825096726418,0.024930067360401154,0.02176535688340664,0.0,0.020676521584391594,0.04801184684038162,0.573180079460144,0.03327197581529617,0.08732862770557404,0.40082836151123047,0.028988687321543694,0.09195685386657715,0.5994475483894348,0.030546601861715317,0.05779741704463959,0.2902374863624573,0.018036631867289543,0.04569907858967781,0.661859393119812,0.0706971138715744,0.17768248915672302,0.22141118347644806
Cephalotes_minutus_CASENT0709253_processed.obj,S0_init,0.0015666305553168058,0.042486339807510376,0.019012020900845528,0.02347431890666485,0.05985165014863014,0.17833936214447021,0.07812200486660004,0.08203333616256714,0.07456666976213455,0.29584068059921265,0.3190666735172272,0.27576667070388794,0.5945002436637878,0.6439999938011169,0.5520666837692261,0.9328671097755432,0.9553333520889282,0.9114333391189575,0.6969385743141174,0.2623000144958496,1.0,0.0,1.0,1.0,0.0,1.0,6.912497951816476e-08,0.0,0.7123823761940002,0.16834479570388794,0.0,0.0,0.0,0.016397958621382713,0.018799982964992523,0.01532796025276184,0.0,0.020438645035028458,0.0572291798889637,0.6134099960327148,0.0199785977602005,0.04365101456642151,0.5600552558898926,0.013838906772434711,0.036411676555871964,0.7707182765007019,0.020019441843032837,0.04061635956168175,0.5435356497764587,0.021945100277662277,0.058963630348443985,0.577903687953949,0.050140704959630966,0.1043146625161171,0.3199513256549835
