mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,S0_init,0.0021335450001060963,0.05071253329515457,0.023898392915725708,0.026814140379428864,0.06913053244352341,0.2084675133228302,0.06287597119808197,0.06483333557844162,0.06103333458304405,0.2272835671901703,0.24353334307670593,0.21306666731834412,0.5013258457183838,0.5266000032424927,0.4783666729927063,0.8905795216560364,0.9003000259399414,0.8810666799545288,0.6842663288116455,0.2376333326101303,1.0,0.0,1.0,1.0,0.0,1.0,7.734564633210539e-08,0.0,0.6667006015777588,0.14920133352279663,0.0,0.0,0.0,0.006659215781837702,0.013757353648543358,0.006652947049587965,0.0,0.02499895729124546,0.05830798298120499,0.47394636273384094,0.018519826233386993,0.039377160370349884,0.6083755493164062,0.013614494353532791,0.028618643060326576,0.8314917683601379,0.025659868493676186,0.04850834980607033,0.3641161024570465,0.023736881092190742,0.06605634093284607,0.5701777338981628,0.026114361360669136,0.10202604532241821,0.6642335653305054
Acromyrmex_coronatus_CASENT0744365_processed.obj,S0_init,0.007630127482116222,0.08936676383018494,0.045834146440029144,0.04353261739015579,0.14337274432182312,0.2774340808391571,0.035361357033252716,0.03493333235383034,0.03579999879002571,0.14456811547279358,0.14196667075157166,0.1472666710615158,0.3382934033870697,0.32590001821517944,0.351666659116745,0.6899890303611755,0.6632000207901001,0.7190333604812622,0.5424792766571045,0.3234333395957947,1.0,0.0,1.0,1.0,0.0,1.0,1.0586291665504177e-07,0.0,0.6229705214500427,0.11640004813671112,0.0,0.0,0.0,0.0709410235285759,0.07932679355144501,0.0733792632818222,0.0,0.03260679543018341,0.08135215193033218,0.39463603496551514,0.03945579752326012,0.0984921082854271,0.31799355149269104,0.113521508872509,0.22753767669200897,0.0635359138250351,0.02191813848912716,0.035836219787597656,0.4538258910179138,0.03743904456496239,0.10913833975791931,0.3976306915283203,0.05788571387529373,0.1367047280073166,0.17153283953666687
Acromyrmex_lobicornis_CASENT0878007_processed.obj,S0_init,0.0075146472081542015,0.08889266848564148,0.0337073840200901,0.05518528074026108,0.1553519368171692,0.3233705461025238,0.02690914273262024,0.02736666612327099,0.026466667652130127,0.12215893715620041,0.13646666705608368,0.11056666821241379,0.307187557220459,0.36643335223197937,0.2644333243370056,0.6736850142478943,0.7850333452224731,0.5900000333786011,0.6001537442207336,0.30273333191871643,1.0,0.0,1.0,1.0,0.0,1.0,9.299427006226324e-08,0.0,0.6382501721382141,0.11782683432102203,0.0,0.0,0.0,0.02829948253929615,0.04315996170043945,0.025744013488292694,0.0,0.02883226051926613,0.0626586377620697,0.37969350814819336,0.03705998510122299,0.08026100695133209,0.3078693151473999,0.015270604752004147,0.048403266817331314,0.8784530758857727,0.033154379576444626,0.10583604872226715,0.47229552268981934,0.03632264584302902,0.09523674845695496,0.41643059253692627,0.10671243071556091,0.2650354504585266,0.2165450155735016
Anochetus_risii_CASENT0877608_processed.obj,S0_init,0.0021365992724895477,0.052209071815013885,0.02560167759656906,0.026607394218444824,0.06921927630901337,0.130798801779747,0.06709529459476471,0.06906666606664658,0.06523333489894867,0.23236902058124542,0.242166668176651,0.22333332896232605,0.47457951307296753,0.49000000953674316,0.460099995136261,0.8736241459846497,0.876466691493988,0.8708000183105469,0.5915015935897827,0.306466668844223,1.0,0.0,1.0,1.0,0.0,1.0,1.3509999519101257e-07,0.0,0.6201127171516418,0.09507652372121811,0.0,0.0,0.0,0.011854222975671291,0.032735675573349,0.011812098324298859,0.0,0.02687636949121952,0.06563668698072433,0.46666666865348816,0.023587718605995178,0.05092380568385124,0.4721583127975464,0.030335739254951477,0.05993545055389404,0.31215471029281616,0.02271842211484909,0.06499247252941132,0.5883905291557312,0.022360945120453835,0.061406105756759644,0.5907803177833557,0.05751420930027962,0.11088261753320694,0.11435522884130478
Anochetus_risii_CASENT0877609_processed.obj,S0_init,0.007719222456216812,0.09125461429357529,0.04659523814916611,0.04465937614440918,0.12347035855054855,0.3883017301559448,0.020163968205451965,0.01993333362042904,0.020400000736117363,0.10972275584936142,0.10530000180006027,0.11453333497047424,0.3132845461368561,0.2950666844844818,0.33390000462532043,0.6676279902458191,0.6575999855995178,0.6779666543006897,0.6150748133659363,0.30416667461395264,1.0,0.0,1.0,1.0,0.0,1.0,6.530763130285777e-08,0.0,0.6262818574905396,0.11462945491075516,0.0,0.0,0.0,0.03487042710185051,0.051384199410676956,0.03161840885877609,0.0,0.039878733456134796,0.09212657809257507,0.30766284465789795,0.053916554898023605,0.1123337522149086,0.2061665952205658,0.04644940048456192,0.09887856990098953,0.295580118894577,0.037094324827194214,0.09162592887878418,0.3482849597930908,0.05893959105014801,0.17421850562095642,0.26371362805366516,0.10055918991565704,0.31916460394859314,0.2250608205795288
Aphaenogaster_pallida_CASENT0745235_processed.obj,S0_init,0.002738457638770342,0.05592033267021179,0.027561012655496597,0.028359321877360344,0.07931186258792877,0.19969528913497925,0.05065955966711044,0.050066668540239334,0.05126666650176048,0.21835879981517792,0.21539999544620514,0.22140000760555267,0.4838449954986572,0.4758000075817108,0.492166668176651,0.8547984957695007,0.8536333441734314,0.8559666872024536,0.6377038359642029,0.2587999999523163,1.0,0.0,1.0,1.0,0.0,1.0,6.386215289921893e-08,0.0,0.6676491498947144,0.1120491474866867,0.0,0.0,0.0,0.012097680009901524,0.01811729557812214,0.012016238644719124,0.0,0.02993033453822136,0.0756189227104187,0.4091954231262207,0.028201686218380928,0.0663856491446495,0.4367234408855438,0.054034147411584854,0.0929512307047844,0.041436467319726944,0.019911641255021095,0.05658762902021408,0.6411609649658203,0.02646002545952797,0.090863898396492,0.5539531111717224,0.06413967162370682,0.18561643362045288,0.31630170345306396
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,S0_init,0.00220938166603446,0.052953384816646576,0.029492933303117752,0.023460453376173973,0.07258147746324539,0.1256861388683319,0.06551393866539001,0.06206666678190231,0.06936667114496231,0.22057436406612396,0.19930000603199005,0.24693334102630615,0.4738725423812866,0.4297666847705841,0.5280666947364807,0.864094078540802,0.8149333596229553,0.9195666909217834,0.5229260921478271,0.3486666679382324,1.0,0.0,1.0,1.0,0.0,0.9999999403953552,1.3533882281535625e-07,0.0,0.605907678604126,0.13838469982147217,0.0,0.0,0.0,0.04077804088592529,0.04925752058625221,0.04223410412669182,0.0,0.02461801841855049,0.06317844241857529,0.5015325546264648,0.025967959314584732,0.04892096295952797,0.4150943458080292,0.046939264982938766,0.08565074950456619,0.23204420506954193,0.02180132269859314,0.03247706592082977,0.37467020750045776,0.02304339036345482,0.06816363334655762,0.6294102668762207,0.027303926646709442,0.07620510458946228,0.5072992444038391
Carebara_trechideros_CASENT0877591_processed.obj,S0_init,0.0024550403468310833,0.05071298032999039,0.022870834916830063,0.027842147275805473,0.08222297579050064,0.2179262489080429,0.09543533623218536,0.09663333743810654,0.09426666796207428,0.2889132499694824,0.3025333285331726,0.2764666676521301,0.5416674613952637,0.5699000358581543,0.5160999894142151,0.880462110042572,0.9067000150680542,0.8557000160217285,0.6145961880683899,0.32856667041778564,1.0,0.0,1.0,1.0,0.0,0.9999998211860657,1.7854600287137146e-07,0.0,0.5869715809822083,0.09981389343738556,0.0,0.0,0.0,0.0276227667927742,0.04371176287531853,0.02869446575641632,0.0,0.020392106845974922,0.056879960000514984,0.6214559674263,0.024883661419153214,0.04979601502418518,0.4114128053188324,0.03820662200450897,0.08660775423049927,0.4281768202781677,0.014178228564560413,0.03491156920790672,0.8126649260520935,0.025869980454444885,0.0689094290137291,0.4625289738178253,0.06685566157102585,0.17150378227233887,0.2238442748785019
Centromyrmex_brachycola_CASENT0744052_processed.obj,S0_init,0.002053956501185894,0.048446305096149445,0.020993242040276527,0.027453064918518066,0.07068528980016708,0.2669171392917633,0.06432600319385529,0.06683333218097687,0.06199999898672104,0.2522292137145996,0.27790001034736633,0.23090000450611115,0.5292865037918091,0.5822333693504333,0.48516666889190674,0.9027873873710632,0.9440667033195496,0.8649666905403137,0.6663147211074829,0.26233333349227905,1.0,0.0,1.0,1.0,0.0,1.0,6.461398527335405e-08,0.0,0.6812431812286377,0.1661430448293686,0.0,0.0,0.0,0.02435440570116043,0.034943100064992905,0.024449078366160393,0.0,0.019971895962953568,0.0455135852098465,0.5839080810546875,0.02786986157298088,0.06064559146761894,0.39208468794822693,0.030416036024689674,0.08936119824647903,0.5773481130599976,0.024401739239692688,0.055592115968465805,0.5118733644485474,0.01990789920091629,0.05127608776092529,0.642029345035553,0.05594131350517273,0.13549917936325073,0.23722627758979797
Cephalotes_minutus_CASENT0709253_processed.obj,S0_init,0.0014583244919776917,0.042653344571590424,0.019021684303879738,0.023631658405065536,0.05592364817857742,0.16645734012126923,0.065638467669487,0.0674000009894371,0.06396666914224625,0.2560470402240753,0.28326666355133057,0.23360000550746918,0.5724577307701111,0.633566677570343,0.522100031375885,0.9437181353569031,0.9639333486557007,0.9243333339691162,0.6673048138618469,0.2854333221912384,1.0,0.0,1.0,1.0,0.0,1.0,1.0147436313445723e-07,0.0,0.6846740245819092,0.10966645181179047,0.0,0.0,0.0,0.010525465942919254,0.02572949044406414,0.009856055490672588,0.0,0.020665980875492096,0.05241997539997101,0.5969348549842834,0.019415678456425667,0.0404294915497303,0.5572940707206726,0.014187691733241081,0.040360696613788605,0.7845304012298584,0.01987348310649395,0.041095856577157974,0.5488126873970032,0.020095637068152428,0.04866017401218414,0.586144745349884,0.05093935504555702,0.12197598814964294,0.2737226188182831
