mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,H0_body,0.004825117532163858,0.0682872012257576,0.024046579375863075,0.04424062371253967,0.1301286369562149,0.30337873101234436,0.06600406020879745,0.07289999723434448,0.06030000001192093,0.21777212619781494,0.2768666744232178,0.17946666479110718,0.4279191493988037,0.5588333606719971,0.3467000126838684,0.7790306806564331,0.8987333178520203,0.6874666810035706,0.733934223651886,0.20203334093093872,1.0,0.0,1.0,1.0,0.0,1.0,2.843562008081335e-08,0.0,0.811074435710907,0.371568500995636,0.0,0.0,0.0,13.296797752380371,94.13243103027344,0.011472899466753006,0.012125920504331589,0.016178801655769348,0.011797877959907055,0.0,0.023281250149011612,0.0597248449921608,0.5551724433898926,0.015847375616431236,0.03787214681506157,0.727565586566925,0.014583650976419449,0.02958565577864647,0.7458564043045044,0.026985587552189827,0.048637788742780685,0.3667546212673187,0.034480415284633636,0.0871768519282341,0.37728559970855713,0.062343303114175797,0.1784476637840271,0.4939172565937042
Acromyrmex_coronatus_CASENT0744365_processed.obj,H0_body,0.01171211339533329,0.0911116898059845,0.02557225339114666,0.06553943455219269,0.22449228167533875,0.570582389831543,0.04771561175584793,0.05450000241398811,0.04243333265185356,0.16620899736881256,0.23016667366027832,0.1300666630268097,0.36842891573905945,0.5365333557128906,0.2805333435535431,0.6887343525886536,0.8830000162124634,0.5645333528518677,0.7047579288482666,0.2432333379983902,1.0,0.0,1.0,1.0,0.0,1.0,2.6666775454486924e-08,0.0,0.8082849383354187,0.32582539319992065,0.0,0.0,0.0,13.178912162780762,91.86283874511719,0.010821029543876648,0.041981808841228485,0.07694541662931442,0.05369095504283905,0.0,0.024270953610539436,0.060226112604141235,0.5241379141807556,0.018685169517993927,0.039398178458213806,0.6042338013648987,0.02802897058427334,0.0899433121085167,0.49723759293556213,0.02254546619951725,0.06660303473472595,0.6543536186218262,0.03879142925143242,0.1031961739063263,0.33582282066345215,0.05630642548203468,0.14960044622421265,0.2457420974969864
Acromyrmex_lobicornis_CASENT0878007_processed.obj,H0_body,0.013457147404551506,0.120526522397995,0.03573326766490936,0.08479325473308563,0.2091561108827591,0.4385092556476593,0.018379876390099525,0.021966665983200073,0.015800001099705696,0.06982338428497314,0.11293333768844604,0.05053333565592766,0.17496268451213837,0.32926666736602783,0.11913333833217621,0.4884205460548401,0.7694000005722046,0.35776665806770325,0.5985493659973145,0.38316667079925537,1.0,0.0,1.0,1.0,0.0,1.0,2.6200522640351664e-08,0.0,0.8221321702003479,0.34129297733306885,0.0,0.0,0.0,13.442055702209473,102.74761962890625,0.012907011434435844,0.03701256215572357,0.05101561173796654,0.0450822077691555,0.0,0.029906079173088074,0.06995745748281479,0.38620689511299133,0.04139301925897598,0.09206340461969376,0.2761159837245941,0.03377966582775116,0.10888352245092392,0.44475141167640686,0.029984407126903534,0.07402969151735306,0.4195250868797302,0.048886075615882874,0.11798953264951706,0.22662889957427979,0.07972371578216553,0.21932925283908844,0.17031629383563995
Anochetus_risii_CASENT0877608_processed.obj,H0_body,0.004289175849407911,0.06168556213378906,0.023448320105671883,0.03823724389076233,0.10646829754114151,0.3622303307056427,0.06670194864273071,0.07493333518505096,0.060100000351667404,0.22654475271701813,0.2939999997615814,0.18426667153835297,0.49397987127304077,0.6330666542053223,0.4050000011920929,0.8176048398017883,0.906333327293396,0.744700014591217,0.7276015877723694,0.1965000033378601,1.0,0.0,1.0,1.0,0.0,1.0,2.6118922136220135e-08,0.0,0.8140310049057007,0.3741115927696228,0.0,0.0,0.0,12.975678443908691,87.64664459228516,0.009615072049200535,0.005496997386217117,0.014611613936722279,0.005708267446607351,0.0,0.017159365117549896,0.040034592151641846,0.6896551847457886,0.02540677972137928,0.07077266275882721,0.5223193764686584,0.022969670593738556,0.04946879297494888,0.49723759293556213,0.026054423302412033,0.060531239956617355,0.45646440982818604,0.025470763444900513,0.0868895873427391,0.6206541657447815,0.11552584916353226,0.2174127995967865,0.013381995260715485
Anochetus_risii_CASENT0877609_processed.obj,H0_body,0.02792488783597946,0.1391785889863968,0.029410136863589287,0.10976845771074295,0.2760836184024811,1.0319253206253052,0.023513512685894966,0.030000001192092896,0.019333332777023315,0.08077789843082428,0.14786666631698608,0.05556666851043701,0.1813606172800064,0.4095666706562042,0.11646667122840881,0.44375279545783997,0.82996666431427,0.30283334851264954,0.5771437287330627,0.4189999997615814,1.0,0.0,1.0,1.0,0.0,1.0,2.548365785060014e-08,0.0,0.7814322710037231,0.28809237480163574,0.0,0.0,0.0,12.973814010620117,96.27042388916016,0.011766240000724792,0.03582199290394783,0.04289223998785019,0.03954050689935684,0.0,0.029864883050322533,0.06638894975185394,0.380842924118042,0.027281073853373528,0.0667896717786789,0.46341463923454285,0.028303319588303566,0.07298175990581512,0.5359116196632385,0.017598673701286316,0.03182654455304146,0.6200528144836426,0.032711632549762726,0.06814432889223099,0.3474118113517761,0.036785468459129333,0.07029630243778229,0.23479318618774414
Aphaenogaster_pallida_CASENT0745235_processed.obj,H0_body,0.00474983686581254,0.06932643055915833,0.027227919548749924,0.0420985147356987,0.11420132219791412,0.3249151408672333,0.03390879929065704,0.03786666691303253,0.030700000002980232,0.12518620491027832,0.16093333065509796,0.10243333131074905,0.3194842040538788,0.4165666699409485,0.2590999901294708,0.8361899852752686,0.9207333326339722,0.7658666968345642,0.7671129107475281,0.1536666750907898,1.0,0.0,1.0,1.0,0.0,1.0,2.614515182131072e-08,0.0,0.8202899694442749,0.35863396525382996,0.0,0.0,0.0,13.301877975463867,91.2365493774414,0.01056028250604868,0.008018549531698227,0.01662524975836277,0.008285478688776493,0.0,0.025605475530028343,0.0556810200214386,0.41111111640930176,0.024774892255663872,0.0469810776412487,0.37413713335990906,0.013372047804296017,0.02407810650765896,0.8204420208930969,0.0193709135055542,0.05301762372255325,0.7044855356216431,0.033621646463871,0.1172763854265213,0.49394798278808594,0.054909832775592804,0.14670118689537048,0.3175182342529297
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,H0_body,0.007809519302099943,0.06680037826299667,0.023463355377316475,0.04333702102303505,0.1352514624595642,0.5798231363296509,0.0911971852183342,0.09723333269357681,0.08586666733026505,0.26059579849243164,0.29296666383743286,0.23466667532920837,0.5061597228050232,0.5775666832923889,0.45046666264533997,0.8240270018577576,0.9042666554450989,0.7568666934967041,0.716668963432312,0.2449333369731903,1.0,0.0,1.0,1.0,0.0,1.0,3.037931506355562e-08,0.0,0.8064947128295898,0.3774552643299103,0.0,0.0,0.0,13.680437088012695,95.64987182617188,0.011831426993012428,0.025739705190062523,0.04691151902079582,0.03525025397539139,0.0,0.01725994423031807,0.04006160795688629,0.6712644100189209,0.01618950441479683,0.03932791203260422,0.7031753659248352,0.015628134831786156,0.04312063008546829,0.7817679643630981,0.01284540444612503,0.026637990027666092,0.8443272113800049,0.03739769384264946,0.08360520750284195,0.31109967827796936,0.11563153564929962,0.275852233171463,0.06204379349946976
Carebara_trechideros_CASENT0877591_processed.obj,H0_body,0.012613954022526741,0.07765813171863556,0.022848572582006454,0.054809555411338806,0.2414521425962448,0.6076070666313171,0.09970797598361969,0.10996666550636292,0.09120000153779984,0.29109987616539,0.3467666804790497,0.25083333253860474,0.5438793897628784,0.6538000106811523,0.46560001373291016,0.8170849680900574,0.9178333282470703,0.7362666726112366,0.7017112970352173,0.26493334770202637,1.0,0.0,1.0,1.0,0.0,1.0,2.90300938843302e-08,0.0,0.8126338720321655,0.3786335289478302,0.0,0.0,0.0,13.78846549987793,98.61054229736328,0.012222548946738243,0.01987752690911293,0.04320799559354782,0.02410886436700821,0.0,0.013347424566745758,0.03144492954015732,0.8080459833145142,0.01754279062151909,0.033265065401792526,0.6281638145446777,0.0252181775867939,0.0952257290482521,0.6187845468521118,0.012903990224003792,0.033890943974256516,0.8258575797080994,0.03522532805800438,0.10808136314153671,0.4581509232521057,0.1564440131187439,0.3547002971172333,0.051094889640808105
Centromyrmex_brachycola_CASENT0744052_processed.obj,H0_body,0.004852902144193649,0.07202694565057755,0.025417456403374672,0.04660949110984802,0.12567980587482452,0.31194964051246643,0.046052251011133194,0.05220000073313713,0.041200000792741776,0.16929417848587036,0.23293334245681763,0.13296666741371155,0.3556567430496216,0.503933310508728,0.27480000257492065,0.7512199282646179,0.9016000032424927,0.643833339214325,0.694889485836029,0.27079999446868896,1.0,0.0,1.0,1.0,0.0,1.0,2.7063085994427638e-08,0.0,0.809864342212677,0.33694374561309814,0.0,0.0,0.0,12.950339317321777,99.33184051513672,0.013624067418277264,0.004579214379191399,0.009610225446522236,0.004736912902444601,0.0,0.019742971286177635,0.04898839071393013,0.6072797179222107,0.02727101556956768,0.05813322961330414,0.3782788813114166,0.013236486352980137,0.02965751476585865,0.8176795840263367,0.022227678447961807,0.05309285596013069,0.5725594162940979,0.0324866846203804,0.09189780056476593,0.39376771450042725,0.09536007046699524,0.19784897565841675,0.2554744482040405
Cephalotes_minutus_CASENT0709253_processed.obj,H0_body,0.0034630675800144672,0.06237738952040672,0.024210404604673386,0.03816698491573334,0.09366276115179062,0.27943816781044006,0.05020277202129364,0.05703333392739296,0.04483333230018616,0.18410274386405945,0.24663333594799042,0.14686666429042816,0.41604024171829224,0.5485333204269409,0.335099995136261,0.8082481026649475,0.9011666774749756,0.732699990272522,0.7347548007965088,0.254966676235199,1.0,0.0,1.0,1.0,0.0,1.0,2.7167994076648938e-08,0.0,0.8281418085098267,0.3580036163330078,0.0,0.0,0.0,13.287432670593262,89.55194091796875,0.009875819087028503,0.003953083883970976,0.00801465567201376,0.004054635297507048,0.0,0.025065913796424866,0.0668700635433197,0.515325665473938,0.02262737974524498,0.04986509308218956,0.5287621021270752,0.011562908999621868,0.029628457501530647,0.8729282021522522,0.01780545897781849,0.03393655642867088,0.5989446043968201,0.022103482857346535,0.06198347359895706,0.597733736038208,0.08762919902801514,0.24910999834537506,0.11070559173822403
