mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,H0_body,0.004752573557198048,0.0679665356874466,0.023891426622867584,0.04407511278986931,0.1312800794839859,0.2931272089481354,0.0694478452205658,0.07540000230073929,0.0643666684627533,0.2205178439617157,0.2772333323955536,0.18306666612625122,0.4343602657318115,0.5596666932106018,0.3549000024795532,0.7798364162445068,0.9007666707038879,0.6875333189964294,0.7386196255683899,0.19913333654403687,1.0,0.0,1.0,1.0,0.0,1.0,2.854926961504134e-08,0.0,0.8108412027359009,0.37130993604660034,0.0,0.0,0.0,13.295310020446777,94.62317657470703,0.011309931986033916,0.013425265438854694,0.01767023466527462,0.013174566440284252,0.0,0.02332346886396408,0.05879850685596466,0.5574712753295898,0.016167031601071358,0.038951002061367035,0.7220432758331299,0.014954454265534878,0.031246284022927284,0.7209945321083069,0.025525694712996483,0.044189728796482086,0.39313986897468567,0.03417525067925453,0.0842800959944725,0.387844443321228,0.06133726239204407,0.17913737893104553,0.49513381719589233
Acromyrmex_coronatus_CASENT0744365_processed.obj,H0_body,0.01242126151919365,0.09351496398448944,0.026146480813622475,0.06736848503351212,0.2377346009016037,0.5863738059997559,0.04531038925051689,0.052133332937955856,0.0400666669011116,0.16035230457782745,0.22263333201408386,0.12530000507831573,0.3561740219593048,0.5205333232879639,0.27070000767707825,0.6775102019309998,0.8731333613395691,0.5534999966621399,0.7158510684967041,0.23643334209918976,1.0,0.0,1.0,1.0,0.0,1.0,2.6614321413376274e-08,0.0,0.8095752596855164,0.32822614908218384,0.0,0.0,0.0,13.21387004852295,92.66744995117188,0.011277338489890099,0.04425038769841194,0.07979466021060944,0.05693000927567482,0.0,0.025776708498597145,0.06410206854343414,0.4996168613433838,0.01930481567978859,0.04076807573437691,0.5964105129241943,0.028776638209819794,0.09388936311006546,0.4723757207393646,0.02218436822295189,0.06117020547389984,0.6094986796379089,0.038601551204919815,0.10277102887630463,0.33247488737106323,0.05642959848046303,0.15213988721370697,0.2165450155735016
Acromyrmex_lobicornis_CASENT0878007_processed.obj,H0_body,0.011958141811192036,0.11422395706176758,0.03421216830611229,0.08001178503036499,0.20114608108997345,0.34517762064933777,0.021599095314741135,0.025499999523162842,0.01873333379626274,0.077174112200737,0.1274999976158142,0.05533333495259285,0.18067458271980286,0.34459999203681946,0.12243333458900452,0.5036436915397644,0.8009666800498962,0.36730000376701355,0.6622143387794495,0.2547999918460846,1.0,0.0,1.0,1.0,0.0,1.0,2.612184246686411e-08,0.0,0.8145533800125122,0.3253873586654663,0.0,0.0,0.0,13.697099685668945,102.96414184570312,0.013461099937558174,0.03504788503050804,0.04815055429935455,0.04555249214172363,0.0,0.03006630390882492,0.06934881955385208,0.3816092014312744,0.0332101471722126,0.0689910352230072,0.31385183334350586,0.029993142932653427,0.0748998150229454,0.41988950967788696,0.02947991155087948,0.054296739399433136,0.3087071478366852,0.04869236424565315,0.11615670472383499,0.2711820900440216,0.06792811304330826,0.18557564914226532,0.24452555179595947
Anochetus_risii_CASENT0877608_processed.obj,H0_body,0.004266616888344288,0.06260588765144348,0.023880796507000923,0.03872508928179741,0.1110476404428482,0.3149856626987457,0.06376946717500687,0.07056666910648346,0.05816666781902313,0.21809028089046478,0.2755333483219147,0.1804666668176651,0.48142364621162415,0.6153666973114014,0.3953666687011719,0.8129712343215942,0.902999997138977,0.7392666935920715,0.7310543060302734,0.18576666712760925,1.0,0.0,1.0,1.0,0.0,1.0,2.6398673469429923e-08,0.0,0.813980758190155,0.37191224098205566,0.0,0.0,0.0,13.02816104888916,88.8453140258789,0.009712852537631989,0.0054690539836883545,0.01420622132718563,0.005767218768596649,0.0,0.017511770129203796,0.041560202836990356,0.6846743226051331,0.025768151506781578,0.06969649344682693,0.5075932145118713,0.020690783858299255,0.04653783142566681,0.530386745929718,0.026521170511841774,0.05981920287013054,0.4538258910179138,0.026099827140569687,0.08454084396362305,0.5959309935569763,0.11805686354637146,0.22204817831516266,0.018248174339532852
Anochetus_risii_CASENT0877609_processed.obj,H0_body,0.028556790202856064,0.13920186460018158,0.02925713360309601,0.10994473099708557,0.27987349033355713,1.019758701324463,0.023447852581739426,0.029400000348687172,0.019500000402331352,0.0864362046122551,0.1556333303451538,0.059833332896232605,0.1946054995059967,0.41973334550857544,0.12666666507720947,0.4495740830898285,0.8332333564758301,0.30783334374427795,0.5942590832710266,0.3962666690349579,1.0,0.0,1.0,1.0,0.0,1.0,2.5810029669059986e-08,0.0,0.7789768576622009,0.2767200469970703,0.0,0.0,0.0,12.938427925109863,95.86178588867188,0.01179883349686861,0.02985619194805622,0.03772702068090439,0.03291872516274452,0.0,0.030122147873044014,0.06738584488630295,0.3923371732234955,0.02406703121960163,0.055425602942705154,0.5218591690063477,0.0234556682407856,0.07018359005451202,0.5939226746559143,0.017317768186330795,0.03245314210653305,0.6569921374320984,0.034051328897476196,0.07246393710374832,0.32629409432411194,0.035596814006567,0.07442588359117508,0.2676399052143097
Aphaenogaster_pallida_CASENT0745235_processed.obj,H0_body,0.004865092225372791,0.07013539969921112,0.027473270893096924,0.0426621288061142,0.1153595969080925,0.3275422155857086,0.034945275634527206,0.03863333538174629,0.03189999982714653,0.1255897730588913,0.15780000388622284,0.10429999977350235,0.3117445707321167,0.4074000120162964,0.25246667861938477,0.832231879234314,0.9179333448410034,0.7611666917800903,0.772672712802887,0.14880000054836273,1.0,0.0,1.0,1.0,0.0,1.0,2.6142235043380424e-08,0.0,0.8195672035217285,0.35877731442451477,0.0,0.0,0.0,13.296452522277832,91.76180267333984,0.010592876002192497,0.008167959749698639,0.01697811298072338,0.008441719226539135,0.0,0.025940829887986183,0.056528981775045395,0.40306514501571655,0.025021100416779518,0.04663178697228432,0.3644730746746063,0.013587812893092632,0.02440108358860016,0.8011050224304199,0.020469697192311287,0.05248083174228668,0.6517150402069092,0.03402110934257507,0.11793456971645355,0.47875353693962097,0.05470806732773781,0.14621448516845703,0.2980535328388214
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,H0_body,0.007805461063981056,0.06587005406618118,0.02324281446635723,0.0426272377371788,0.12774384021759033,0.5856878161430359,0.09603229910135269,0.10220000147819519,0.09056666493415833,0.27179011702537537,0.3058333396911621,0.2445666640996933,0.5145029425621033,0.5840333104133606,0.459766685962677,0.8277193903923035,0.9060333371162415,0.7618666887283325,0.7154109477996826,0.2564333379268646,1.0,0.0,1.0,1.0,0.0,1.0,3.0251094074174034e-08,0.0,0.806941032409668,0.3789471685886383,0.0,0.0,0.0,13.734057426452637,96.12779998779297,0.01179883349686861,0.02641250379383564,0.0470646433532238,0.036359332501888275,0.0,0.017491109669208527,0.04254656657576561,0.6704980731010437,0.01575465500354767,0.03777526319026947,0.7096180319786072,0.011975049041211605,0.03394244238734245,0.8756906390190125,0.013862214982509613,0.027105825021862984,0.7968338131904602,0.0373423732817173,0.08264923840761185,0.30749422311782837,0.11518193036317825,0.2762218117713928,0.06934306770563126
Carebara_trechideros_CASENT0877591_processed.obj,H0_body,0.013005171902477741,0.07753987610340118,0.022537484765052795,0.05500238761305809,0.24806061387062073,0.6158406138420105,0.1018579825758934,0.11166666448116302,0.09363333135843277,0.29302331805229187,0.3451666831970215,0.25456666946411133,0.5495925545692444,0.664566695690155,0.46853333711624146,0.8223021626472473,0.9233333468437195,0.7412000298500061,0.7081005573272705,0.25573334097862244,1.0,0.0,1.0,1.0,0.0,1.0,2.9123343736614515e-08,0.0,0.8115726113319397,0.37458083033561707,0.0,0.0,0.0,13.753901481628418,98.00772857666016,0.012385516427457333,0.019545944407582283,0.04081037640571594,0.023670095950365067,0.0,0.013478348962962627,0.0319269560277462,0.8053640127182007,0.016842223703861237,0.032731786370277405,0.6502531170845032,0.02684374712407589,0.10074912756681442,0.591160237789154,0.012732991948723793,0.03244501352310181,0.8153034448623657,0.035213977098464966,0.10961055755615234,0.4705125093460083,0.15769189596176147,0.3564411699771881,0.09245742112398148
Centromyrmex_brachycola_CASENT0744052_processed.obj,H0_body,0.004755069501698017,0.06999624520540237,0.025179781019687653,0.04481646418571472,0.1272030919790268,0.30177000164985657,0.05454095080494881,0.06246666610240936,0.04839999973773956,0.18219438195228577,0.2477666735649109,0.14406666159629822,0.38351839780807495,0.5293999910354614,0.3006666600704193,0.767562747001648,0.8946333527565002,0.6721000075340271,0.7049694657325745,0.2718000113964081,1.0,0.0,1.0,1.0,0.0,1.0,2.712720004183211e-08,0.0,0.8127115964889526,0.35006529092788696,0.0,0.0,0.0,13.032462120056152,96.1470947265625,0.011831426993012428,0.005713828839361668,0.01066182367503643,0.006089178845286369,0.0,0.020332669839262962,0.050622254610061646,0.6030651330947876,0.02522245980799198,0.05363667383790016,0.43258169293403625,0.012690724804997444,0.029428603127598763,0.8066298365592957,0.01805768720805645,0.046298496425151825,0.7044855356216431,0.031555771827697754,0.09604869782924652,0.44656193256378174,0.10289648920297623,0.2028634250164032,0.24817517399787903
Cephalotes_minutus_CASENT0709253_processed.obj,H0_body,0.003480631625279784,0.06192167103290558,0.02459772862493992,0.03732394427061081,0.09498374909162521,0.27202677726745605,0.04905686154961586,0.05363333225250244,0.04520000144839287,0.19448722898960114,0.2503666579723358,0.1589999943971634,0.42648518085479736,0.5496000051498413,0.34843334555625916,0.8140148520469666,0.8930000066757202,0.747866690158844,0.7396479249000549,0.249466672539711,1.0,0.0,1.0,1.0,0.0,1.0,2.5681810456035237e-08,0.0,0.8396004438400269,0.3833152651786804,0.0,0.0,0.0,13.178569793701172,86.15892028808594,0.008800235576927662,0.003935174085199833,0.008641243912279606,0.0040140957571566105,0.0,0.02535165473818779,0.0684477835893631,0.5130268335342407,0.02252967283129692,0.049924641847610474,0.5149562954902649,0.014120940119028091,0.04242049530148506,0.7955801486968994,0.016140569001436234,0.03323834761977196,0.664907693862915,0.02372915670275688,0.0692627876996994,0.5812516212463379,0.09757795184850693,0.2526223659515381,0.07785888016223907
