mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,H0_body,0.004691215232014656,0.06726870685815811,0.023517301306128502,0.04375140368938446,0.13079087436199188,0.28981879353523254,0.07065323740243912,0.07983333617448807,0.06336666643619537,0.2222323715686798,0.2815333306789398,0.18356667459011078,0.43936264514923096,0.5720666646957397,0.35663333535194397,0.7824526429176331,0.902999997138977,0.6902999877929688,0.7383720278739929,0.19850000739097595,1.0,0.0,1.0,1.0,0.0,1.0,2.854926961504134e-08,0.0,0.8108412027359009,0.37130993604660034,0.0,0.0,0.0,13.295310020446777,94.62317657470703,0.011309931986033916,0.013425265438854694,0.01767023466527462,0.013174566440284252,0.0,0.023003438487648964,0.05880023166537285,0.5670498013496399,0.01632278598845005,0.038754627108573914,0.7063966989517212,0.015394838526844978,0.03183898702263832,0.6961326003074646,0.025534138083457947,0.045003678649663925,0.3667546212673187,0.033966369926929474,0.0855148434638977,0.3924800455570221,0.06140933930873871,0.1791808307170868,0.49513381719589233
Acromyrmex_coronatus_CASENT0744365_processed.obj,H0_body,0.012399377301335335,0.09157450497150421,0.025168826803565025,0.06640567630529404,0.24007657170295715,0.5846114158630371,0.04882510378956795,0.056533332914114,0.04296666756272316,0.17021973431110382,0.2375333309173584,0.13263332843780518,0.37779858708381653,0.548966646194458,0.2880000174045563,0.6918290257453918,0.8823666572570801,0.5689666867256165,0.706339955329895,0.23910000920295715,1.0,0.0,1.0,1.0,0.0,1.0,2.6614321413376274e-08,0.0,0.8095752596855164,0.32822614908218384,0.0,0.0,0.0,13.21387004852295,92.66744995117188,0.011277338489890099,0.04425038769841194,0.07979466021060944,0.05693000927567482,0.0,0.02453264594078064,0.06082192808389664,0.5203065276145935,0.017661772668361664,0.03830435499548912,0.6626783609390259,0.02765265665948391,0.09369228035211563,0.4944751560688019,0.02236611396074295,0.06352505832910538,0.6094986796379089,0.03809936344623566,0.10324130952358246,0.34715425968170166,0.056981198489665985,0.15441882610321045,0.21289537847042084
Acromyrmex_lobicornis_CASENT0878007_processed.obj,H0_body,0.011719797737896442,0.11261811852455139,0.03348548710346222,0.07913263142108917,0.1971093863248825,0.34660792350769043,0.0224074125289917,0.027033332735300064,0.01913333311676979,0.08140325546264648,0.13189999759197235,0.05886666849255562,0.1957181841135025,0.368066668510437,0.13330000638961792,0.5025755763053894,0.8041666746139526,0.36550000309944153,0.6517157554626465,0.2728666663169861,1.0,0.0,1.0,1.0,0.0,1.0,2.612184246686411e-08,0.0,0.8145533800125122,0.3253873586654663,0.0,0.0,0.0,13.697099685668945,102.96414184570312,0.013461099937558174,0.03504788503050804,0.04815055429935455,0.04555249214172363,0.0,0.029235530644655228,0.06689468771219254,0.4091954231262207,0.03281033784151077,0.07162854820489883,0.3410032391548157,0.0291150975972414,0.07438471168279648,0.3922652006149292,0.03115714341402054,0.056876860558986664,0.26912930607795715,0.048934001475572586,0.11575502902269363,0.26912182569503784,0.07256662100553513,0.19378729164600372,0.19221411645412445
Anochetus_risii_CASENT0877608_processed.obj,H0_body,0.0042587146162986755,0.061271727085113525,0.023198453709483147,0.03807327523827553,0.10997745394706726,0.3214014172554016,0.08142028003931046,0.09109999984502792,0.07360000163316727,0.250381737947464,0.32456666231155396,0.2038000077009201,0.500279426574707,0.6358333230018616,0.412366658449173,0.8150899410247803,0.9020333290100098,0.7434333562850952,0.726853609085083,0.19556666910648346,1.0,0.0,1.0,1.0,0.0,1.0,2.6398673469429923e-08,0.0,0.813980758190155,0.37191224098205566,0.0,0.0,0.0,13.02816104888916,88.8453140258789,0.009712852537631989,0.0054690539836883545,0.01420622132718563,0.005767218768596649,0.0,0.01632605493068695,0.04029243066906929,0.7149425148963928,0.026295701041817665,0.07032323628664017,0.4891854524612427,0.021769452840089798,0.046577148139476776,0.5055248737335205,0.026161376386880875,0.06078728288412094,0.47229552268981934,0.025912702083587646,0.0856860801577568,0.6003090739250183,0.12184874713420868,0.2249150574207306,0.018248174339532852
Anochetus_risii_CASENT0877609_processed.obj,H0_body,0.02930285781621933,0.1394781917333603,0.028832390904426575,0.11064580082893372,0.2817747890949249,1.01787269115448,0.02461719699203968,0.03126666694879532,0.0203000009059906,0.08608861267566681,0.15916666388511658,0.05900000035762787,0.1908913403749466,0.42250001430511475,0.12330000102519989,0.4505947530269623,0.8430333137512207,0.30746665596961975,0.5912585854530334,0.4067000150680542,1.0,0.0,1.0,1.0,0.0,1.0,2.5810029669059986e-08,0.0,0.7789768576622009,0.2767200469970703,0.0,0.0,0.0,12.938427925109863,95.86178588867188,0.01179883349686861,0.02985619194805622,0.03772702068090439,0.03291872516274452,0.0,0.03011292777955532,0.06836335361003876,0.3931034505367279,0.022946540266275406,0.05255783349275589,0.5471698045730591,0.023227466270327568,0.07028413563966751,0.6215469837188721,0.017200566828250885,0.0332278273999691,0.6569921374320984,0.033475905656814575,0.0715145468711853,0.3319598436355591,0.03522656485438347,0.07479609549045563,0.2834549844264984
Aphaenogaster_pallida_CASENT0745235_processed.obj,H0_body,0.004819418303668499,0.06904655694961548,0.026894565671682358,0.04215198755264282,0.11624880135059357,0.3290053904056549,0.03583955764770508,0.039500001817941666,0.03280000016093254,0.1313801109790802,0.1671999990940094,0.10819999873638153,0.3283957839012146,0.4244333505630493,0.2678000032901764,0.8371540307998657,0.9218666553497314,0.766700029373169,0.7680441737174988,0.15176667273044586,1.0,0.0,1.0,1.0,0.0,1.0,2.6142235043380424e-08,0.0,0.8195672035217285,0.35877731442451477,0.0,0.0,0.0,13.296452522277832,91.76180267333984,0.010592876002192497,0.008167959749698639,0.01697811298072338,0.008441719226539135,0.0,0.025664467364549637,0.05678359791636467,0.4160919487476349,0.02325570397078991,0.04439772665500641,0.4289001524448395,0.011949834413826466,0.021184902638196945,0.9254143834114075,0.017588557675480843,0.048917245119810104,0.728232204914093,0.03415752947330475,0.11794938147068024,0.47617822885513306,0.054511427879333496,0.14599569141864777,0.312652051448822
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,H0_body,0.007729371543973684,0.0658041313290596,0.023214081302285194,0.04259004816412926,0.12779353559017181,0.5865089893341064,0.0988822877407074,0.10616666823625565,0.09253333508968353,0.2718772292137146,0.31049999594688416,0.241799995303154,0.5108017325401306,0.5852333307266235,0.453166663646698,0.827832818031311,0.9078666567802429,0.7607666850090027,0.7049176692962646,0.2610333263874054,1.0,0.0,1.0,1.0,0.0,1.0,3.0251094074174034e-08,0.0,0.806941032409668,0.3789471685886383,0.0,0.0,0.0,13.734057426452637,96.12779998779297,0.01179883349686861,0.02641250379383564,0.0470646433532238,0.036359332501888275,0.0,0.01727832481265068,0.04192555323243141,0.6766283512115479,0.01581776887178421,0.0375991016626358,0.710078239440918,0.01213501114398241,0.034740399569272995,0.881215512752533,0.01343250460922718,0.026107443496584892,0.8258575797080994,0.03724806383252144,0.08220242708921432,0.30775174498558044,0.11523803323507309,0.2749946117401123,0.06934306770563126
Carebara_trechideros_CASENT0877591_processed.obj,H0_body,0.013333428651094437,0.07830296456813812,0.022286392748355865,0.056016575545072556,0.2513056993484497,0.6268988251686096,0.09926809370517731,0.10996666550636292,0.09046667069196701,0.29022595286369324,0.34833332896232605,0.24873334169387817,0.5510551333427429,0.6692000031471252,0.46836668252944946,0.8195734024047852,0.9244000315666199,0.7361000180244446,0.7072194218635559,0.26100000739097595,1.0,0.0,1.0,1.0,0.0,1.0,2.9123343736614515e-08,0.0,0.8115726113319397,0.37458083033561707,0.0,0.0,0.0,13.753901481628418,98.00772857666016,0.012385516427457333,0.019545944407582283,0.04081037640571594,0.023670095950365067,0.0,0.013394089415669441,0.03108586184680462,0.8072797060012817,0.01661907136440277,0.03205384314060211,0.6566958427429199,0.02728966251015663,0.10268464684486389,0.6187845468521118,0.012568472884595394,0.031969085335731506,0.8126649260520935,0.03507009893655777,0.10881758481264114,0.4705125093460083,0.1587965041399002,0.3583225905895233,0.09002432972192764
Centromyrmex_brachycola_CASENT0744052_processed.obj,H0_body,0.005855778232216835,0.08132824301719666,0.028380773961544037,0.05294746905565262,0.12353623658418655,0.3158082365989685,0.043781328946352005,0.05079999938607216,0.038466665893793106,0.15026888251304626,0.21116666495800018,0.1166333332657814,0.3238840401172638,0.4712333381175995,0.24673333764076233,0.6677191853523254,0.8626000285148621,0.5446666479110718,0.6540645360946655,0.2657666802406311,1.0,0.0,1.0,1.0,0.0,1.0,2.712720004183211e-08,0.0,0.8127115964889526,0.35006529092788696,0.0,0.0,0.0,13.032462120056152,96.1470947265625,0.011831426993012428,0.005713828839361668,0.01066182367503643,0.006089178845286369,0.0,0.021087149158120155,0.052480172365903854,0.588505744934082,0.03130616992712021,0.0768146738409996,0.41693511605262756,0.03571043163537979,0.07105107605457306,0.2458563596010208,0.02308683656156063,0.04806458577513695,0.43799474835395813,0.036967650055885315,0.10646069049835205,0.35256245732307434,0.10822654515504837,0.22911952435970306,0.19221411645412445
Cephalotes_minutus_CASENT0709253_processed.obj,H0_body,0.003856902476400137,0.06493140757083893,0.025227980688214302,0.03970342501997948,0.09946709871292114,0.27668994665145874,0.05070478841662407,0.057466667145490646,0.045366667211055756,0.1829794943332672,0.24093332886695862,0.14750000834465027,0.40532273054122925,0.5451000332832336,0.32260000705718994,0.7957291007041931,0.8833333253860474,0.7239333391189575,0.7210102677345276,0.28540000319480896,1.0,0.0,1.0,1.0,0.0,1.0,2.5681810456035237e-08,0.0,0.8396004438400269,0.3833152651786804,0.0,0.0,0.0,13.178569793701172,86.15892028808594,0.008800235576927662,0.003935174085199833,0.008641243912279606,0.0040140957571566105,0.0,0.026066800579428673,0.06840509921312332,0.4996168613433838,0.023879604414105415,0.05652780085802078,0.5204786062240601,0.01826980896294117,0.045229025185108185,0.6740331649780273,0.0164994765073061,0.03344769403338432,0.6596306562423706,0.02312031202018261,0.07455596327781677,0.6031419038772583,0.10041126608848572,0.2609727680683136,0.07299269735813141
