mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_0_init,0.002577240811660886,0.055682748556137085,0.025387495756149292,0.030295250937342644,0.08452949672937393,0.18094129860401154,0.06003617122769356,0.061766669154167175,0.058400001376867294,0.22213536500930786,0.23733334243297577,0.20876666903495789,0.47342780232429504,0.5070333480834961,0.4440000057220459,0.8498480916023254,0.8779000043869019,0.8235333561897278,0.708266019821167,0.2307666689157486,1.0,0.0,1.0,1.0,0.0,1.0,7.141274949162835e-08,0.0,0.7186772227287292,0.2350979447364807,0.0,0.0,0.0,0.0041920896619558334,0.0059134094044566154,0.004081260412931442,0.0,0.027993904426693916,0.06914699822664261,0.4413793087005615,0.014980128966271877,0.03112124465405941,0.742751955986023,0.013356666080653667,0.03709305450320244,0.7900552749633789,0.015247921459376812,0.026250053197145462,0.7097625732421875,0.021600792184472084,0.05599641054868698,0.5923255085945129,0.008083212189376354,0.01539015956223011,0.9781022071838379
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_0_init,0.012485511600971222,0.11532396078109741,0.06481760740280151,0.0505063533782959,0.19813372194766998,0.3060060143470764,0.02539803646504879,0.024299999698996544,0.026599999517202377,0.1083727777004242,0.10186666995286942,0.11576666682958603,0.2576580345630646,0.23986667394638062,0.278300017118454,0.5866757035255432,0.543066680431366,0.6378999948501587,0.5584520697593689,0.3697666823863983,1.0,0.0,1.0,1.0,0.0,1.0,1.4341702581077698e-07,0.0,0.6972123384475708,0.2219029664993286,0.0,0.0,0.0,0.06861793249845505,0.07650341838598251,0.07494209706783295,0.0,0.033732328563928604,0.07468433678150177,0.34750959277153015,0.03147214278578758,0.0750257670879364,0.38932353258132935,0.031527504324913025,0.07254112511873245,0.3729282021522522,0.018871407955884933,0.039421673864126205,0.5725594162940979,0.0345311239361763,0.09492221474647522,0.4022662937641144,0.03652423247694969,0.09942233562469482,0.41727492213249207
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_0_init,0.00938353966921568,0.09893971681594849,0.03879258781671524,0.060147128999233246,0.16543187201023102,0.33657771348953247,0.024037441238760948,0.02630000002682209,0.02213333360850811,0.10964151471853256,0.13430000841617584,0.09263333678245544,0.27568483352661133,0.3643333315849304,0.22173333168029785,0.6288192272186279,0.7485666871070862,0.5421000123023987,0.6109221577644348,0.241799995303154,1.0,0.0,1.0,1.0,0.0,1.0,1.2239244995271292e-07,4.889019328402355e-05,0.6928516030311584,0.1863156408071518,0.0,0.0,0.0,0.03909774124622345,0.04429015889763832,0.04094897583127022,0.0,0.02625381201505661,0.06021294370293617,0.4490421414375305,0.038877762854099274,0.09068787097930908,0.3216751217842102,0.015303423628211021,0.057094376534223557,0.8839779496192932,0.028307229280471802,0.05379802733659744,0.28232190012931824,0.03137025237083435,0.07702459394931793,0.47257277369499207,0.024142451584339142,0.06304648518562317,0.5754258036613464
Anochetus_risii_CASENT0877608_processed.obj,Stage_0_init,0.0032279423903673887,0.06301099807024002,0.02889382280409336,0.03411717712879181,0.0909072756767273,0.14555707573890686,0.05424762889742851,0.057100001722574234,0.05166666582226753,0.1983240693807602,0.22603332996368408,0.17666666209697723,0.4182451069355011,0.4650999903678894,0.379966676235199,0.8000842332839966,0.8235333561897278,0.7779333591461182,0.6462177038192749,0.28263333439826965,1.0,0.0,1.0,1.0,0.0,1.0,1.0910972036981548e-07,4.889019328402355e-05,0.7233660221099854,0.22417642176151276,0.0,0.0,0.0,0.010565760545432568,0.011922207660973072,0.010511967353522778,0.0,0.029235022142529488,0.08079778403043747,0.4597701132297516,0.021128760650753975,0.05059540271759033,0.5729406476020813,0.022867238149046898,0.0526064857840538,0.4751381278038025,0.022369883954524994,0.07086437195539474,0.6543536186218262,0.024096112698316574,0.06780970096588135,0.5853721499443054,0.01758216880261898,0.037515055388212204,0.6180048584938049
Anochetus_risii_CASENT0877609_processed.obj,Stage_0_init,0.012018885463476181,0.11281605064868927,0.045226190239191055,0.06758986413478851,0.16918432712554932,0.532041072845459,0.019032752141356468,0.020233333110809326,0.01796666719019413,0.09016392379999161,0.10289999842643738,0.08023333549499512,0.2328585386276245,0.2808000147342682,0.1988999992609024,0.5595363974571228,0.6464333534240723,0.4932333528995514,0.6586395502090454,0.27570000290870667,1.0,0.0,1.0,1.0,0.0,1.0,4.4774900231914216e-08,0.0,0.7070515751838684,0.2111319750547409,0.0,0.0,0.0,0.027889398857951164,0.034352485090494156,0.028376426547765732,0.0,0.031361449509859085,0.06709643453359604,0.3620689809322357,0.05175996199250221,0.11087420582771301,0.22917625308036804,0.03548845276236534,0.07647917419672012,0.1767955869436264,0.03628471866250038,0.09335515648126602,0.36939316987991333,0.03690949082374573,0.10119369626045227,0.3978882431983948,0.03970341384410858,0.10379069298505783,0.39416056871414185
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_0_init,0.003842779202386737,0.06333757191896439,0.02690226212143898,0.036435309797525406,0.10954517871141434,0.24098320305347443,0.04912274703383446,0.051366668194532394,0.047066666185855865,0.19564242660999298,0.21559999883174896,0.17906667292118073,0.44854456186294556,0.5050666928291321,0.4034000039100647,0.8266386985778809,0.879633367061615,0.7796666622161865,0.7317551970481873,0.1816333383321762,1.0,0.0,1.0,1.0,0.0,1.0,1.0594479959991077e-07,0.0,0.7516266703605652,0.17647935450077057,0.0,0.0,0.0,0.009743092581629753,0.012150258757174015,0.00968234334141016,0.0,0.02878221683204174,0.06925567239522934,0.47011494636535645,0.022903449833393097,0.04592170566320419,0.4809019863605499,0.023125002160668373,0.0563492551445961,0.5497238039970398,0.029957981780171394,0.0864601880311966,0.519788920879364,0.025800596922636032,0.08076558262109756,0.5524079203605652,0.039088424295186996,0.08951541781425476,0.43065693974494934
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_0_init,0.0034290936309844255,0.062435589730739594,0.026042545214295387,0.03639304265379906,0.0916082113981247,0.21730968356132507,0.06791651993989944,0.07403333485126495,0.06273333728313446,0.19838230311870575,0.2351333349943161,0.1715666651725769,0.4140828847885132,0.4887000024318695,0.3592333495616913,0.8133492469787598,0.8817000389099121,0.7548333406448364,0.6212702393531799,0.28306666016578674,1.0,0.0,1.0,1.0,0.0,0.9999998211860657,2.0381150989123853e-07,4.889019328402355e-05,0.6994959115982056,0.18817204236984253,0.0,0.0,0.0,0.036925554275512695,0.0401335135102272,0.038428932428359985,0.0,0.023875204846262932,0.052118245512247086,0.47432950139045715,0.014732838608324528,0.027977896854281425,0.7353888750076294,0.036933016031980515,0.07631947100162506,0.11602210253477097,0.011201824061572552,0.029637224972248077,0.8390501737594604,0.01938631758093834,0.053819917142391205,0.6471800208091736,0.02554655261337757,0.09321971982717514,0.6180048584938049
Carebara_trechideros_CASENT0877591_processed.obj,Stage_0_init,0.0034338729456067085,0.061768218874931335,0.025728976354002953,0.036039240658283234,0.09514550119638443,0.2211810052394867,0.0707966610789299,0.07693333178758621,0.06556666642427444,0.21848079562187195,0.2614666819572449,0.18763333559036255,0.4375177323818207,0.522266685962677,0.3764333426952362,0.8142107129096985,0.8705333471298218,0.7647333145141602,0.6475130319595337,0.3147333264350891,1.0,0.0,1.0,1.0,0.0,1.0,1.3546465993385937e-07,0.0,0.6182728409767151,0.14818266034126282,0.0,0.0,0.0,0.027218442410230637,0.03089834377169609,0.02760510891675949,0.0,0.02369091659784317,0.06313131004571915,0.5551724433898926,0.02095150575041771,0.045984312891960144,0.5766221880912781,0.02376396395266056,0.06983567029237747,0.6022099852561951,0.011966998688876629,0.028910120949149132,0.7968338131904602,0.02864965610206127,0.07329972088336945,0.4344578981399536,0.05378834530711174,0.13186369836330414,0.17639902234077454
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_0_init,0.0029810285195708275,0.05883331969380379,0.023931331932544708,0.03490198776125908,0.08642607927322388,0.2701543867588043,0.04803997650742531,0.05143333226442337,0.04506666585803032,0.18311841785907745,0.2115333378314972,0.16143333911895752,0.42213165760040283,0.49433332681655884,0.3683333396911621,0.8478062748908997,0.9262666702270508,0.7815999984741211,0.6895943880081177,0.24646666646003723,1.0,0.0,1.0,1.0,0.0,1.0,6.361742777016843e-08,0.0,0.7429521679878235,0.25015145540237427,0.0,0.0,0.0,0.016468457877635956,0.01876262202858925,0.016848314553499222,0.0,0.022082071751356125,0.05136728659272194,0.5291187763214111,0.026750627905130386,0.04919258505105972,0.3649332821369171,0.024084292352199554,0.061689361929893494,0.5276243090629578,0.02594331093132496,0.05966171994805336,0.49604225158691406,0.019410744309425354,0.05120223015546799,0.6608292460441589,0.024301690980792046,0.05104278400540352,0.5121654272079468
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_0_init,0.0020071612671017647,0.04751960560679436,0.020474450662732124,0.027045154944062233,0.07042138278484344,0.15464159846305847,0.06949508935213089,0.07396666705608368,0.06553333252668381,0.26772844791412354,0.3075000047683716,0.23706667125225067,0.5549072623252869,0.6412333250045776,0.4890666604042053,0.89764004945755,0.9373000264167786,0.8612000346183777,0.7242240905761719,0.2545333504676819,1.0,0.0,1.0,1.0,0.0,1.0,8.93838461024643e-08,0.0,0.7551136612892151,0.24542182683944702,0.0,0.0,0.0,0.007848584093153477,0.009515497833490372,0.008265627548098564,0.0,0.021236922591924667,0.0579046905040741,0.609578549861908,0.018386252224445343,0.03991556540131569,0.6327657699584961,0.011462720111012459,0.026697803288698196,0.8149171471595764,0.014947015792131424,0.029056767001748085,0.7414248585700989,0.017959587275981903,0.047585658729076385,0.6948236227035522,0.012175532057881355,0.0348302498459816,0.8406326174736023
