specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
01.obj,body,2611,0.0018309776205569506,0.0043205569963902235,0.010779649019241333,0.01419772207736969
01.obj,head,2174,0.0015048766508698463,0.0035533447051420792,0.018758391961455345,0.011927043087780476
01.obj,antenna,362,0.00310588744468987,0.006674308190122246,0.02848374843597412,0.011728699319064617
01.obj,mandible,379,0.003021480515599251,0.010197288542985912,0.05897963419556618,0.012550391256809235
01.obj,leg,3887,0.0013798251748085022,0.002967142197303472,0.007858475670218468,0.010434365831315517
01.obj,leg_distal,822,0.0020319651812314987,0.004393421765416857,0.016990169882774353,0.008656542748212814
02.obj,body,2611,0.0021409683395177126,0.005002812249585986,0.013858589343726635,0.015485032461583614
02.obj,head,2174,0.0016566978301852942,0.003962475899606941,0.023854264989495277,0.01429380476474762
02.obj,antenna,362,0.0035032092127949,0.006954746181145308,0.01593625172972679,0.014670334756374359
02.obj,mandible,379,0.0032519809901714325,0.011115474533289635,0.05835258960723877,0.015006816945970058
02.obj,leg,3887,0.0013366971397772431,0.0027568200603127475,0.008594422601163387,0.012551155872642994
02.obj,leg_distal,822,0.00233137933537364,0.00517280837520957,0.019956158474087715,0.008410418406128883
03.obj,body,2611,0.0016221331898123026,0.003687554271891713,0.01116776093840599,0.013572761788964272
03.obj,head,2174,0.0013498064363375306,0.0030613424256443946,0.020852243527770042,0.012294931337237358
03.obj,antenna,362,0.0027744024991989136,0.0052703262073919175,0.011140880174934864,0.012683684937655926
03.obj,mandible,379,0.0032584781292825937,0.009249257203191514,0.054710205644369125,0.014466744847595692
03.obj,leg,3887,0.001337058492936194,0.002912862901575862,0.006777624133974314,0.011231559328734875
03.obj,leg_distal,822,0.0024136612191796303,0.006004373333416878,0.016614437103271484,0.008998755365610123
04.obj,body,2611,0.0018023843877017498,0.004192715510725975,0.05336600914597511,0.013303177431225777
04.obj,head,2174,0.001458209240809083,0.0035339206689968703,0.01873175986111164,0.01178420428186655
04.obj,antenna,362,0.0030103023163974285,0.0066422040341421965,0.01543369609862566,0.012504134327173233
04.obj,mandible,379,0.002930833725258708,0.009076709300279616,0.04493023827672005,0.014264081604778767
04.obj,leg,3887,0.0014333374565467238,0.0030285785906016814,0.009924815036356449,0.011540593579411507
04.obj,leg_distal,822,0.002175519010052085,0.004789885855279862,0.025785380974411964,0.008727691136300564
05.obj,body,2611,0.0017590891802683473,0.003960800589993596,0.015637231990695,0.013465058989822865
05.obj,head,2174,0.002004609676077962,0.004933906602673232,0.020039280876517296,0.013138798996806145
05.obj,antenna,362,0.0035204451996833086,0.006939483550377189,0.016441520303487778,0.014080731198191643
05.obj,mandible,379,0.003196784993633628,0.009926284570246906,0.05741376057267189,0.01696835085749626
05.obj,leg,3887,0.0014602723531425,0.0030300276353955246,0.015208953060209751,0.012247187085449696
05.obj,leg_distal,822,0.0021090444643050432,0.004874474694952368,0.024676281958818436,0.009446663782000542
06.obj,body,2611,0.001526787062175572,0.0035240587312728167,0.01192455179989338,0.012534118257462978
06.obj,head,2174,0.0013647141167894006,0.003308131662197408,0.019845711067318916,0.012358173727989197
06.obj,antenna,362,0.0033945825416594744,0.007907754066400229,0.024573547765612602,0.012604909017682076
06.obj,mandible,379,0.0035754870623350143,0.011226741410791871,0.04906687140464783,0.014726054854691029
06.obj,leg,3887,0.0012739187804982066,0.0029064279980957498,0.010474742390215397,0.01115153357386589
06.obj,leg_distal,822,0.0021093368995934725,0.004697537794709204,0.010287272743880749,0.007924474775791168
07.obj,body,2611,0.0018005718011409044,0.004480705596506596,0.012538149952888489,0.01286456547677517
07.obj,head,2174,0.0015651632566004992,0.0037162563879974183,0.025114158168435097,0.012916010804474354
07.obj,antenna,362,0.0026397770270705223,0.005141196306794881,0.011764858849346638,0.013571051880717278
07.obj,mandible,379,0.0036072195507586002,0.011088718008249994,0.0569765530526638,0.015134552493691444
07.obj,leg,3887,0.00135939905885607,0.0028763218550011504,0.0080812843516469,0.012144963257014751
07.obj,leg_distal,822,0.0021277940832078457,0.004694123798981309,0.017785167321562767,0.009291698224842548
08.obj,body,2611,0.001422847155481577,0.003417534986510873,0.01108958013355732,0.012014621868729591
08.obj,head,2174,0.0010910388082265854,0.0025241512572392807,0.019433561712503433,0.011988339014351368
08.obj,antenna,362,0.002725635189563036,0.0055168337188661095,0.01461168471723795,0.0125981280580163
08.obj,mandible,379,0.0031145266257226467,0.010105007980018843,0.05228794366121292,0.015279850922524929
08.obj,leg,3887,0.0011499363463371992,0.0024182836990803477,0.006207406986504793,0.011029006913304329
08.obj,leg_distal,822,0.0020209483336657286,0.004524551820941268,0.01120102871209383,0.008769155479967594
09.obj,body,2611,0.001631842809729278,0.003997007152065635,0.018961956724524498,0.012078297324478626
09.obj,head,2174,0.0014008093858137727,0.003843064978718755,0.021366896107792854,0.011979097500443459
09.obj,antenna,362,0.0026210243813693523,0.005505256331525741,0.011193041689693928,0.011430259793996811
09.obj,mandible,379,0.0033989131916314363,0.010646680090576408,0.050403401255607605,0.015249292366206646
09.obj,leg,3887,0.0012994178105145693,0.0029631268233060826,0.011329595930874348,0.01094747707247734
09.obj,leg_distal,822,0.002108288463205099,0.004347433382645248,0.011846812441945076,0.008903231471776962
10.obj,body,2611,0.0016966726398095489,0.004243846051394939,0.015770452097058296,0.010370543226599693
10.obj,head,2174,0.0013040677877143025,0.0033825027407146987,0.021981256082654,0.010599587112665176
10.obj,antenna,362,0.0030474765226244926,0.006714155268855393,0.017084665596485138,0.0105556296184659
10.obj,mandible,379,0.0033944929018616676,0.009773721452802399,0.051377251744270325,0.012981687672436237
10.obj,leg,3887,0.0012850811472162604,0.002832367341034114,0.0075974310748279095,0.009608461521565914
10.obj,leg_distal,822,0.002141844481229782,0.005076364008709788,0.012694493867456913,0.007969534024596214
11.obj,body,2611,0.0019985658582299948,0.00549804768525064,0.01894884556531906,0.010558562353253365
11.obj,head,2174,0.0013228020397946239,0.0038703470956534106,0.015875959768891335,0.010730532929301262
11.obj,antenna,362,0.0026435870677232742,0.005389685556292534,0.012872415594756603,0.01001725997775793
11.obj,mandible,379,0.0030231084674596786,0.009964732266962522,0.044745564460754395,0.012412267737090588
11.obj,leg,3887,0.001311069237999618,0.002904323255643248,0.01111187320202589,0.009609265252947807
11.obj,leg_distal,822,0.002194981323555112,0.005458920402452345,0.01932874694466591,0.008096732199192047
12.obj,body,2611,0.0017174527747556567,0.004770960193127394,0.018993647769093513,0.009967641904950142
12.obj,head,2174,0.0012007440673187375,0.003124450147151945,0.013498022221028805,0.010113779455423355
12.obj,antenna,362,0.0029699939768761396,0.006258834875188767,0.010849520564079285,0.009628362953662872
12.obj,mandible,379,0.003011244349181652,0.008465105947107074,0.04169778525829315,0.012977583333849907
12.obj,leg,3887,0.0012290613958612084,0.002777567855082452,0.014005070552229881,0.009637604467570782
12.obj,leg_distal,822,0.0017228100914508104,0.0033596679684706025,0.009614754468202591,0.007860731333494186
13.obj,body,2611,0.0015298527432605624,0.00430140970274806,0.02109229937195778,0.011378966271877289
13.obj,head,2174,0.0013114280300214887,0.00350151399616152,0.015571465715765953,0.011426843702793121
13.obj,antenna,362,0.0028524715453386307,0.0068717659451067396,0.010609908029437065,0.010757778771221638
13.obj,mandible,379,0.0030029977206140757,0.008953575789928394,0.0483122281730175,0.01471833698451519
13.obj,leg,3887,0.0012076786952093244,0.0025600784458220003,0.007894289679825306,0.010894774459302425
13.obj,leg_distal,822,0.0020316983573138714,0.0046170795336365695,0.013969098217785358,0.008890425786376
14.obj,body,2611,0.001588044106028974,0.004398467484861612,0.01734658144414425,0.01136823371052742
14.obj,head,2174,0.0014129439368844032,0.00362398034194484,0.015237217769026756,0.012102563865482807
14.obj,antenna,362,0.0028649105224758387,0.006836901395581662,0.014776219613850117,0.011374196037650108
14.obj,mandible,379,0.00273353373631835,0.008253381773829458,0.04410616308450699,0.014987328089773655
14.obj,leg,3887,0.0012269486906006932,0.002571149659343062,0.008931883610785007,0.011311889626085758
14.obj,leg_distal,822,0.0017227241769433022,0.003728341928217559,0.009086520411074162,0.00815079640597105
15.obj,body,2611,0.0017712567932903767,0.004773442400619388,0.02316662296652794,0.012419043108820915
15.obj,head,2174,0.0015293218893930316,0.0037039558170363293,0.023026207461953163,0.013225053437054157
15.obj,antenna,362,0.0027049905620515347,0.005485639511607587,0.02448214590549469,0.010388845577836037
15.obj,mandible,379,0.0029481714591383934,0.00828985087573528,0.07281701266765594,0.015499325469136238
15.obj,leg,3887,0.0012464417377486825,0.0025600060820579517,0.007063052151352167,0.011800623498857021
15.obj,leg_distal,822,0.0018896140391007066,0.004032728192396462,0.010339189320802689,0.008539280854165554
16.obj,body,2611,0.0017323422944173217,0.004535522311925888,0.021563399583101273,0.0117254089564085
16.obj,head,2174,0.0014645138289779425,0.004277699044905602,0.017627006396651268,0.011940095573663712
16.obj,antenna,362,0.002712113782763481,0.005469790636561811,0.00903025921434164,0.01088749524205923
16.obj,mandible,379,0.0028963868971914053,0.009182359557598814,0.053515806794166565,0.015089030377566814
16.obj,leg,3887,0.0013563513057306409,0.0031295359134674064,0.0096665034070611,0.011402522213757038
16.obj,leg_distal,822,0.0021295559126883745,0.0051765715470537535,0.01596035808324814,0.008837861940264702
17.obj,body,2611,0.001545666134916246,0.004463614197447896,0.017207061871886253,0.01239581685513258
17.obj,head,2174,0.0015454123495146632,0.0035080773755908003,0.01938396506011486,0.013218778185546398
17.obj,antenna,362,0.0024150863755494356,0.004527838667854666,0.011911850422620773,0.010356691665947437
17.obj,mandible,379,0.0031061163172125816,0.009978652931749814,0.05619364604353905,0.015871018171310425
17.obj,leg,3887,0.0013198069063946605,0.002743826596997677,0.010962742380797863,0.011769122444093227
17.obj,leg_distal,822,0.0020283579360693693,0.004186467197723686,0.012979293242096901,0.008647753857076168
18.obj,body,2611,0.0014936255756765604,0.003485333174467087,0.010935105383396149,0.011867272667586803
18.obj,head,2174,0.0014496747171506286,0.0034490252612158633,0.01686721108853817,0.01201740000396967
18.obj,antenna,362,0.002356664976105094,0.004542149766348301,0.010018234141170979,0.009322038851678371
18.obj,mandible,379,0.002977238269522786,0.00980433914810417,0.06011725962162018,0.014176641590893269
18.obj,leg,3887,0.0012403113069012761,0.002684364956803618,0.007548733614385128,0.010974005796015263
18.obj,leg_distal,822,0.0019630214665085077,0.004750517825596033,0.014611223712563515,0.0081913061439991
19.obj,body,2611,0.001605345751158893,0.003670245874673128,0.014301941730082035,0.012823263183236122
