specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Discothyrea_sexarticulata_CASENT0744287_processed.obj,body,2611,0.005943124648183584,0.015846184454858303,0.14362864196300507,0.02187681384384632
Discothyrea_sexarticulata_CASENT0744287_processed.obj,head,2174,0.0025536133907735348,0.007056552660651505,0.09424622356891632,0.013302531093358994
Discothyrea_sexarticulata_CASENT0744287_processed.obj,antenna,362,0.021015174686908722,0.08983841761946676,0.19430164992809296,0.056463148444890976
Discothyrea_sexarticulata_CASENT0744287_processed.obj,mandible,379,0.010045785456895828,0.023730972409248343,0.12416558712720871,0.03808458521962166
Discothyrea_sexarticulata_CASENT0744287_processed.obj,leg,3887,0.005959669128060341,0.013981821015477168,0.17962224781513214,0.022848693653941154
Discothyrea_sexarticulata_CASENT0744287_processed.obj,leg_distal,822,0.010638364590704441,0.03869157414883374,0.16580656170845032,0.03225727751851082
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,body,2611,0.004962292965501547,0.013147025369107723,0.24278700351715088,0.02332524210214615
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,head,2174,0.0020480616949498653,0.005781111214309928,0.02604798786342144,0.011664974503219128
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,antenna,362,0.014302734285593033,0.048390567116439305,0.25886237621307373,0.0316472090780735
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,mandible,379,0.012799027375876904,0.036789745092391926,0.09021082520484924,0.0353027880191803
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,leg,3887,0.003487073350697756,0.009386416152119634,0.09867648035287857,0.017866510897874832
Dolichoderus_cf.bidens_CASENT0744033_processed.obj,leg_distal,822,0.005196548067033291,0.01261288300156592,0.11548295617103577,0.01793692260980606
Dolichoderus_debilis_CASENT0744349_processed.obj,body,2611,0.005604438949376345,0.016470985487103462,0.10453495383262634,0.025551116093993187
Dolichoderus_debilis_CASENT0744349_processed.obj,head,2174,0.002209953498095274,0.00572107899934053,0.023816773667931557,0.01398836262524128
