genus,n,subfamily,ecology,cephalic_index,head_flatness,mandible_index,mandible_slenderness,scape_index,funiculus_scape,head_mesosoma,mesosoma_slenderness,gaster_mesosoma,gaster_slenderness,petiole_index,waist_constriction,hindfemur_index,tibia_femur,foreleg_hindleg
pheidole,39,Myrmicinae,,1.01704,0.73617,1.08005,2.93823,1.04283,1.42659,0.82805,2.08361,1.40545,1.72848,0.23197,0.28953,0.96857,0.67762,0.95223
tetramorium,37,Myrmicinae,,1.07641,0.70326,1.07552,3.01774,1.01845,1.34853,0.85367,1.82918,1.63572,1.83484,0.26445,0.29152,1.12771,0.62401,0.87060
strumigenys,33,Myrmicinae,trap-jaw,0.83468,0.73839,1.06876,4.59727,0.98453,1.52409,0.89506,2.12853,1.43984,1.74910,0.25670,0.31586,0.97701,0.66991,0.78486
cephalotes,28,Myrmicinae,arboreal,1.32080,0.56216,1.08749,3.01677,0.72061,1.55381,0.83455,1.72827,1.81576,1.63680,0.18697,0.16535,0.99770,0.70768,0.92413
dorylus,21,Dorylinae,army ant,0.98212,0.76062,1.01228,2.87866,0.92100,1.45808,0.72725,2.10545,1.76833,2.38262,0.16809,0.22915,0.93264,0.69711,0.80979
neivamyrmex,17,Dorylinae,army ant,0.88394,0.81368,0.67298,2.81876,1.14472,1.12679,0.71995,2.37831,1.34861,2.29112,0.21397,0.37823,1.00872,0.66236,0.68094
camponotus,16,Formicinae,,0.87173,0.90501,0.89868,2.93003,1.07548,1.31256,0.91722,1.87389,1.64636,1.76289,0.17170,0.18033,1.17878,0.59317,0.77881
temnothorax,16,,,0.98105,0.75955,1.08140,3.02273,1.06255,1.37508,0.75772,1.92564,1.69266,1.72620,0.25697,0.26992,0.92840,0.58859,0.89417
hypoponera,14,Ponerinae,,0.84775,0.83485,0.98239,3.53589,1.03615,1.53832,0.91167,1.90588,1.77885,2.31042,0.19667,0.25760,1.00479,0.68243,0.86800
aphaenogaster,11,Myrmicinae,,0.76265,0.99089,0.95578,3.41615,1.30657,1.40544,0.74683,2.37526,1.52276,1.99817,0.34375,0.49523,1.11670,0.63834,0.75395
