label,source,genus,species,subfamily,ecology,asym_median,log_size,attach_b_a_1,seg_b_a_1,seg_b_a_2,seg_b_a_3,seg_b_a_4,head_wid,head_len,head_hei,mesosoma_wid,mesosoma_len,mesosoma_hei,gaster_wid,gaster_len,gaster_hei,attach_l_1_co,seg_l_1_co,seg_l_1_tr,seg_l_1_fe,attach_l_2_co,seg_l_2_co,seg_l_2_tr,seg_l_2_fe,attach_l_3_co,seg_l_3_co,seg_l_3_tr,seg_l_3_fe,attach_ma,attach_an_1,seg_an_1,seg_an_2,mandible_wid,mandible_len,mandible_hei,leaflen_ma,shapedev_gaster,shapedev_head,shapedev_mesosoma,shapedev_mandible
Acanthomyrmex_cf.ferox_CASENT0878066_processed.obj,worker,acanthomyrmex,acanthomyrmex_ferox,Myrmicinae,,0.04045,-1.13174,0.514945,0.079963,0.175569,0.402919,0.236376,0.472680,0.405988,0.326269,0.293187,0.528672,0.274712,0.416674,0.685559,0.440023,0.141480,0.232011,0.683143,0.546035,0.384565,0.146458,0.597759,0.482329,0.477613,0.046779,0.482503,0.405734,0.353604,0.407814,0.589159,0.451960,0.110185,0.184831,0.351577,0.352353,0.534018,0.124398,0.151906,0.237553
Acanthomyrmex_cf.ferox_CASENT0878067_processed.obj,worker,acanthomyrmex,acanthomyrmex_ferox,Myrmicinae,,0.01807,-1.05142,0.599085,0.155235,0.123316,0.126587,0.662770,0.444497,0.348750,0.173304,0.350344,0.455351,0.299593,0.630174,0.760552,0.187138,0.175510,0.248335,0.825599,0.604041,0.333671,0.237195,0.621882,0.430108,0.439307,0.321760,0.521587,0.394618,0.262924,0.235458,0.469671,0.656897,0.144359,0.300427,0.493683,0.491747,0.433949,0.330338,0.286512,0.344117
Acanthostichus_aff.brevicornis_CASENT0744325_processed.obj,worker,acanthostichus,acanthostichus_brevicornis,Dorylinae,,0.08891,-1.11705,0.594394,0.165075,0.193393,0.427124,0.506281,0.415189,0.236599,0.131132,0.299984,0.484078,0.212124,0.413819,0.849694,0.521405,0.186503,0.117525,0.590493,0.590427,0.381990,0.085882,0.315334,0.786308,0.455384,0.228441,0.770851,0.530510,0.228127,0.262832,0.337689,0.700089,0.091202,0.166932,0.430692,0.436614,0.355883,0.310982,0.167805,0.357545
Acanthostichus_aff.brevicornis_CASENT0744327_processed.obj,worker,acanthostichus,acanthostichus_brevicornis,Dorylinae,,0.14685,-1.44523,0.480048,0.076794,0.165907,0.288993,0.363519,0.295967,0.352340,0.242376,0.203888,0.463145,0.213378,0.277937,0.860860,0.279993,0.174859,0.221784,0.370730,0.267547,0.342822,0.070146,0.327190,0.200813,0.445391,0.097851,0.259068,0.176429,0.314642,0.331886,0.280004,0.223809,0.075613,0.118694,0.167773,0.174656,0.209542,0.165318,0.070742,0.382623
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,worker,acanthostichus,acanthostichus_brevicornis,Dorylinae,,0.03656,-1.36074,0.542218,0.108225,0.178340,0.366160,0.376318,0.313641,0.389578,0.242343,0.168389,0.428925,0.127486,0.310956,0.825020,0.390157,0.231609,0.281221,0.536776,0.452407,0.383719,0.082867,0.363698,0.265155,0.423497,0.058717,0.544825,0.365976,0.327737,0.333696,0.145440,0.253815,0.064811,0.085465,0.195034,0.195721,0.227666,0.144463,0.180629,0.397629
Acanthostichus_brevicornis_CASENT0744297_processed.obj,worker,acanthostichus,acanthostichus_brevicornis,Dorylinae,,0.04431,-1.24004,0.384516,0.084693,0.190738,0.455166,0.447943,0.292763,0.317053,0.316040,0.237578,0.442229,0.239352,0.340970,1.101600,0.376766,0.229867,0.132181,0.288268,0.380205,0.415875,0.141806,0.389268,0.511874,0.466503,0.171182,0.367046,0.508284,0.273943,0.255931,0.155163,0.500524,0.090026,0.183714,0.262796,0.268225,0.243350,0.278328,0.149064,0.452239
Acanthostichus_brevicornis_CASENT0744298_processed.obj,worker,acanthostichus,acanthostichus_brevicornis,Dorylinae,,0.04989,-1.13122,0.389255,0.095161,0.208868,0.548453,0.468220,0.268866,0.322621,0.290515,0.225210,0.456972,0.223010,0.336279,1.220183,0.412207,0.272355,0.173169,0.304516,0.220378,0.357261,0.156087,0.378617,0.511554,0.432482,0.153928,0.435203,0.538237,0.304578,0.366693,0.311137,0.363081,0.173282,0.237240,0.606395,0.607339,0.282762,0.237344,0.143822,0.297635
Acromyrmex_balzani_CASENT0744618_processed.obj,worker,acromyrmex,acromyrmex_balzani,Myrmicinae,leafcutter/fungus-grower,0.04686,-1.14536,0.513234,0.099090,0.123740,0.319017,0.228561,0.619297,0.200120,0.129734,0.306523,0.467162,0.296535,0.395413,0.543624,0.476854,0.313729,0.172376,0.628328,0.581135,0.347253,0.223623,0.895501,0.516982,0.434323,0.125071,0.497227,0.620082,0.270545,0.271393,0.405872,0.512444,0.196393,0.098852,0.327330,0.330269,0.328395,0.535977,0.240262,0.409138
Acromyrmex_cf.coronatus_CASENT0744044_processed.obj,worker,acromyrmex,acromyrmex_coronatus,Myrmicinae,leafcutter/fungus-grower,0.07330,-1.28591,0.543732,0.099909,0.180508,0.189611,0.229418,0.450809,0.383834,0.261958,0.242917,0.523785,0.225666,0.304830,0.516873,0.279213,0.196172,0.195185,0.419061,0.166374,0.394938,0.116432,0.553269,0.294509,0.482070,0.141948,0.756277,0.841746,0.300417,0.329681,0.266084,0.324916,0.080134,0.112427,0.247830,0.252836,0.249247,0.117603,0.091789,0.284648
Acromyrmex_coronatus_CASENT0744364_processed.obj,worker,acromyrmex,acromyrmex_coronatus,Myrmicinae,leafcutter/fungus-grower,0.06126,-1.27140,0.485997,0.111334,0.167370,0.357859,0.273487,0.457514,0.441441,0.297384,0.249045,0.398783,0.214053,0.362169,0.629577,0.385000,0.096215,0.261160,0.398590,0.161883,0.353256,0.198551,0.599902,0.446899,0.377796,0.066336,0.521198,0.693744,0.369301,0.374028,0.570153,0.660014,0.073200,0.074376,0.143538,0.151124,0.257531,0.115094,0.209153,0.583077
