template signed-PCA axes (rows):
[[-0.999 -0.    -0.051]
 [-0.     1.    -0.   ]
 [ 0.051 -0.    -0.999]]

scan                          rot(T->S) deg  axis1 dot  axis2 dot  axis3 dot
01.obj                                179.2      0.999     -0.999     -1.000
02.obj                                  3.9      0.998      1.000      0.998
03.obj                                179.4      0.998     -1.000     -0.998
04.obj                                  6.0      0.995      0.998      0.997
05.obj                                  4.9      0.997      0.997      1.000
06.obj                                  7.3      0.992      0.995      0.996
07.obj                                  3.1      0.999      0.999      1.000
08.obj                                  1.9      0.999      1.000      1.000
09.obj                                  2.9      1.000      0.999      0.999
10.obj                                  9.4      0.987      0.988      0.999
11.obj                                179.7      0.983     -0.984     -0.999
12.obj                                178.7      0.992     -0.995     -0.997
13.obj                                  4.5      0.997      1.000      0.997
14.obj                                  1.6      1.000      1.000      1.000
15.obj                                  0.9      1.000      1.000      1.000
16.obj                                178.7      0.999     -0.999     -1.000
17.obj                                178.5      0.996     -0.997     -0.998
18.obj                                  3.2      0.999      0.999      0.999
19.obj                                179.7      0.998     -1.000     -0.999
20.obj                                177.6      0.997     -0.997     -0.999
acanthomyrmex.obj                       3.5      0.998      1.000      0.998
acanthostichus.obj                    180.0      0.998     -1.000     -0.998
acromyrmex.obj                        179.8      0.997     -1.000     -0.997
aenictus-binghamii.obj                179.9     -1.000     -1.000      1.000
amblyopone.obj                        180.0     -0.999     -1.000      0.999
ancyridris.obj                        179.7      1.000     -1.000     -1.000
ankylomyrma.obj                       178.7     -1.000      1.000     -1.000
apomyrma.obj                          179.9      0.998     -1.000     -0.998
atta-vollenweideri.obj                  8.0      0.990      1.000      0.990
basiceros.obj                         174.5     -0.995      1.000     -0.995
brachyponera-chinensis.obj            179.9     -1.000     -1.000      1.000
cataulacus.obj                        179.9      1.000     -1.000     -1.000
cephalotes-varians.obj                  1.3      1.000      1.000      1.000
cephalotes.obj                        180.0      1.000     -1.000     -1.000
colobopsis-conica.obj                 179.7     -1.000     -1.000      1.000
cyphomyrmex.obj                         3.5      0.998      1.000      0.998
daceton.obj                           180.0      0.999     -1.000     -0.999
diacamma-indicum.obj                    1.4      1.000      1.000      1.000
dolichoderus-attelaboides.obj          179.8      0.999     -1.000     -0.999
dolichoderus-sibiricus.obj              1.1      1.000      1.000      1.000
dolichoderus.obj                      180.0     -1.000     -1.000      1.000
dorylus-helvolus.obj                    2.1      0.999      1.000      0.999
dorylus-nigricans.obj                   0.4      1.000      1.000      1.000
ectatomma-tuberculatum (1).obj          179.9      1.000     -1.000     -1.000
ectatomma-tuberculatum.obj            179.9      1.000     -1.000     -1.000
ection-burchellii.obj                 179.9      1.000     -1.000     -1.000
formica-japonica.obj                  179.5     -1.000      1.000     -1.000
fulakora.obj                            5.3      0.996      1.000      0.996
gerontoformica.obj                    179.8     -1.000     -1.000      1.000
harpegnathos.obj                      179.7     -1.000      1.000     -1.000
iroponera.obj                           1.6      1.000      1.000      1.000
labidus-coecus.obj                      3.7      0.998      1.000      0.998
leptogenys-wheeleri.obj               178.8     -1.000      1.000     -1.000
manica-andrannae.obj                  179.9      0.997     -1.000     -0.997
martialis-heureka.obj                 178.8     -1.000      1.000     -1.000
meranoplus.obj                        180.0      1.000     -1.000     -1.000
messor-barbarus.obj                   179.8      1.000     -1.000     -1.000
nomamyrmex.obj                        178.3     -1.000      1.000     -1.000
notoncus.obj                          180.0      1.000     -1.000     -1.000
odontomachus.obj                      180.0      1.000     -1.000     -1.000
ophthalmopone-berthoudi.obj           178.8     -1.000      1.000     -1.000
pachycondyla-crassinoda.obj           179.8     -0.997     -1.000      0.997
paraponera-clavata.obj                  5.7      0.995      1.000      0.995
pheidole-barumtaum-major.obj            1.1      1.000      1.000      1.000
pheidole-caldwell-queen.obj           179.6      1.000     -1.000     -1.000
pheidole-cervicornis-minor-worker.obj            3.7      0.998      1.000      0.998
pheidole-drogon-minor-worker.obj            1.4      1.000      1.000      1.000
plectroctena-strigosa.obj               2.6      0.999      1.000      0.999
polyrhachis-bihamata.obj              179.9     -1.000     -1.000      1.000
pristmyrmex.obj                         3.4      0.998      1.000      0.998
proatta.obj                             0.9      1.000      1.000      1.000
protanilla-lini.obj                   180.0     -1.000     -1.000      1.000
santschiella-kohli.obj                  0.7      1.000      1.000      1.000
simopone.obj                          179.9      0.998     -1.000     -0.998
stigmatomma-liebe.obj                   2.1      0.999      1.000      0.999
streblognathus.obj                    179.8      1.000     -1.000     -1.000
strumigenys-oasis.obj                   3.5      0.998      1.000      0.998
tapinoma.obj                          179.7     -1.000      1.000     -1.000
tatuidris.obj                           1.1      1.000      1.000      1.000
terataner-nymeria.obj                   0.3      1.000      1.000      1.000
tetraponera.obj                         4.6      0.997      1.000      0.997

n = 81   median 178.7 deg   p90 180.0   max 180.0
scans with residual rotation > 30 deg: 45 / 81
scans with residual rotation > 90 deg: 45 / 81
