stage,specimen,part_a,part_b,direction,n_query_vertices,num_penetrating,max_depth,mean_depth_among_penetrating
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,legs,A_into_B,2173,18.0,0.0034266768489032984,0.001898371148854494
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,legs,B_into_A,4705,81.0,0.06146237254142761,0.008131834678351879
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,antenna,A_into_B,379,50.0,0.024940013885498047,0.00472506508231163
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,antenna,B_into_A,362,10.0,0.02230849489569664,0.005829483270645142
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,legs,A_into_B,379,9.0,0.006752596236765385,0.003811231814324856
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,legs,B_into_A,4705,22.0,0.004360490944236517,0.002816886641085148
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,legs,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,legs,B_into_A,4705,61.0,0.06733812391757965,0.021225441247224808
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,legs,A_into_B,1231,336.0,0.06774891167879105,0.01846124231815338
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,legs,B_into_A,4705,298.0,0.067595474421978,0.018381835892796516
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,legs,A_into_B,2173,26.0,0.06790286302566528,0.04103422164916992
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,legs,B_into_A,4705,6.0,0.0077795288525521755,0.004699811339378357
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,antenna,A_into_B,379,49.0,0.00924677588045597,0.0021568865049630404
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,antenna,B_into_A,362,39.0,0.010311870835721493,0.0017299585742875934
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,legs,A_into_B,362,5.0,0.0024106954224407673,0.0020525120198726654
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,legs,B_into_A,4705,136.0,0.036162082105875015,0.00857827439904213
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,legs,A_into_B,1231,111.0,0.06915463507175446,0.01782369613647461
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,legs,B_into_A,4705,540.0,0.07186645269393921,0.017362959682941437
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,legs,A_into_B,2173,5.0,0.07043742388486862,0.05889282375574112
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,antenna,A_into_B,379,45.0,0.021475356072187424,0.002707409905269742
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,antenna,B_into_A,362,22.0,0.017995333299040794,0.0026558423414826393
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,legs,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,legs,A_into_B,1231,4.0,0.06909244507551193,0.019291914999485016
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,legs,B_into_A,4705,315.0,0.07686641067266464,0.018921272829174995
