stage,specimen,part,n_vertices,precision@0.01,precision@0.02,precision@0.05
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,2173,0.9963184595108032,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,379,1.0,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,362,0.991712749004364,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,thorax,1379,0.9985496401786804,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,1231,0.9975629448890686,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,legs,4705,0.9951115846633911,0.999787449836731,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,2173,0.9990796446800232,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,379,1.0,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,362,1.0,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,thorax,1379,0.9963741898536682,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,1231,0.9975629448890686,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,legs,4705,0.9827842712402344,0.9982996582984924,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,2173,0.970547616481781,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,379,1.0,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,362,1.0,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,thorax,1379,0.9847715497016907,0.9992747902870178,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,1231,0.9536961913108826,0.9983752965927124,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,legs,4705,0.9574919939041138,0.9968118667602539,1.0
