iteration,specimen,k,n_touched,coverage_fraction
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,1415,0.13833218812942505
0,Acromyrmex_coronatus_CASENT0744365_processed,2,1589,0.15534265339374542
0,Solenopsis_invicta_CASENT0744384_processed,2,542,0.05298660695552826
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,1794,0.17538371682167053
0,Acromyrmex_coronatus_CASENT0744365_processed,3,1922,0.18789714574813843
0,Solenopsis_invicta_CASENT0744384_processed,3,652,0.06374034285545349
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,2544,0.24870465695858002
0,Acromyrmex_coronatus_CASENT0744365_processed,5,2654,0.25945839285850525
0,Solenopsis_invicta_CASENT0744384_processed,5,859,0.08397692441940308
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2180,0.21311955153942108
1,Acromyrmex_coronatus_CASENT0744365_processed,2,2134,0.208622545003891
1,Solenopsis_invicta_CASENT0744384_processed,2,686,0.06706422567367554
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2761,0.26991885900497437
1,Acromyrmex_coronatus_CASENT0744365_processed,3,2582,0.2524195909500122
1,Solenopsis_invicta_CASENT0744384_processed,3,912,0.08915827423334122
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3906,0.38185548782348633
1,Acromyrmex_coronatus_CASENT0744365_processed,5,3474,0.3396226465702057
1,Solenopsis_invicta_CASENT0744384_processed,5,1401,0.13696353137493134
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,1858,0.18164043128490448
2,Acromyrmex_coronatus_CASENT0744365_processed,2,2368,0.23149867355823517
2,Solenopsis_invicta_CASENT0744384_processed,2,613,0.05992765724658966
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2438,0.23834197223186493
2,Acromyrmex_coronatus_CASENT0744365_processed,3,2879,0.2814546823501587
2,Solenopsis_invicta_CASENT0744384_processed,3,806,0.07879558205604553
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3555,0.34754130244255066
2,Acromyrmex_coronatus_CASENT0744365_processed,5,3796,0.3711017668247223
2,Solenopsis_invicta_CASENT0744384_processed,5,1229,0.12014859169721603
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2054,0.20080164074897766
3,Acromyrmex_coronatus_CASENT0744365_processed,2,2127,0.20793820917606354
3,Solenopsis_invicta_CASENT0744384_processed,2,589,0.05758138373494148
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2667,0.26072928309440613
3,Acromyrmex_coronatus_CASENT0744365_processed,3,2559,0.25017106533050537
3,Solenopsis_invicta_CASENT0744384_processed,3,758,0.07410304248332977
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3846,0.3759898245334625
3,Acromyrmex_coronatus_CASENT0744365_processed,5,3484,0.34060025215148926
3,Solenopsis_invicta_CASENT0744384_processed,5,1118,0.10929709672927856
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2124,0.20764492452144623
4,Acromyrmex_coronatus_CASENT0744365_processed,2,2142,0.20940463244915009
4,Solenopsis_invicta_CASENT0744384_processed,2,613,0.05992765724658966
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2717,0.26561737060546875
4,Acromyrmex_coronatus_CASENT0744365_processed,3,2585,0.2527128756046295
4,Solenopsis_invicta_CASENT0744384_processed,3,793,0.07752468436956406
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3818,0.3732525110244751
4,Acromyrmex_coronatus_CASENT0744365_processed,5,3489,0.34108904004096985
4,Solenopsis_invicta_CASENT0744384_processed,5,1148,0.11222993582487106
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2196,0.21468374133110046
5,Acromyrmex_coronatus_CASENT0744365_processed,2,2117,0.20696060359477997
5,Solenopsis_invicta_CASENT0744384_processed,2,668,0.06530452519655228
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2805,0.27422034740448
5,Acromyrmex_coronatus_CASENT0744365_processed,3,2625,0.2566233277320862
5,Solenopsis_invicta_CASENT0744384_processed,3,885,0.08651871979236603
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3873,0.3786293864250183
5,Acromyrmex_coronatus_CASENT0744365_processed,5,3561,0.3481278717517853
5,Solenopsis_invicta_CASENT0744384_processed,5,1324,0.12943591177463531
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2292,0.22406882047653198
6,Acromyrmex_coronatus_CASENT0744365_processed,2,2203,0.21536806225776672
6,Solenopsis_invicta_CASENT0744384_processed,2,601,0.05875451862812042
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2813,0.27500244975090027
6,Acromyrmex_coronatus_CASENT0744365_processed,3,2710,0.2649330198764801
6,Solenopsis_invicta_CASENT0744384_processed,3,773,0.07556945830583572
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3725,0.3641607165336609
6,Acromyrmex_coronatus_CASENT0744365_processed,5,3681,0.3598592281341553
6,Solenopsis_invicta_CASENT0744384_processed,5,1129,0.11037246882915497
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2308,0.22563299536705017
7,Acromyrmex_coronatus_CASENT0744365_processed,2,2362,0.23091210424900055
7,Solenopsis_invicta_CASENT0744384_processed,2,587,0.05738586187362671
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2780,0.27177631855010986
7,Acromyrmex_coronatus_CASENT0744365_processed,3,2839,0.277544230222702
7,Solenopsis_invicta_CASENT0744384_processed,3,749,0.07322318851947784
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3683,0.36005473136901855
7,Acromyrmex_coronatus_CASENT0744365_processed,5,3742,0.3658226430416107
7,Solenopsis_invicta_CASENT0744384_processed,5,1096,0.10714634507894516
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2321,0.22690390050411224
8,Acromyrmex_coronatus_CASENT0744365_processed,2,2670,0.26102256774902344
