iteration,specimen,k,n_touched,coverage_fraction
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3001,0.29338157176971436
0,Acromyrmex_coronatus_CASENT0744365_processed,2,4408,0.4309316575527191
0,Solenopsis_invicta_CASENT0744384_processed,2,970,0.09482842683792114
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3677,0.35946816205978394
0,Acromyrmex_coronatus_CASENT0744365_processed,3,5340,0.5220451354980469
0,Solenopsis_invicta_CASENT0744384_processed,3,1288,0.1259165108203888
0,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4666,0.45615407824516296
0,Acromyrmex_coronatus_CASENT0744365_processed,5,6713,0.6562713980674744
0,Solenopsis_invicta_CASENT0744384_processed,5,1887,0.18447551131248474
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3061,0.29924723505973816
1,Acromyrmex_coronatus_CASENT0744365_processed,2,4446,0.4346465766429901
1,Solenopsis_invicta_CASENT0744384_processed,2,972,0.09502395242452621
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3743,0.36592042446136475
1,Acromyrmex_coronatus_CASENT0744365_processed,3,5320,0.5200899243354797
1,Solenopsis_invicta_CASENT0744384_processed,3,1291,0.1262097954750061
1,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4741,0.4634861648082733
1,Acromyrmex_coronatus_CASENT0744365_processed,5,6707,0.6556848287582397
1,Solenopsis_invicta_CASENT0744384_processed,5,1898,0.18555088341236115
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3063,0.29944276809692383
2,Acromyrmex_coronatus_CASENT0744365_processed,2,4429,0.4329846501350403
2,Solenopsis_invicta_CASENT0744384_processed,2,973,0.09512171149253845
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3757,0.36728906631469727
2,Acromyrmex_coronatus_CASENT0744365_processed,3,5330,0.5210675597190857
2,Solenopsis_invicta_CASENT0744384_processed,3,1292,0.12630756199359894
2,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4757,0.4650503396987915
2,Acromyrmex_coronatus_CASENT0744365_processed,5,6700,0.6550004482269287
2,Solenopsis_invicta_CASENT0744384_processed,5,1905,0.1862352043390274
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3079,0.301006942987442
3,Acromyrmex_coronatus_CASENT0744365_processed,2,4361,0.4263368844985962
3,Solenopsis_invicta_CASENT0744384_processed,2,985,0.0962948426604271
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3775,0.3690487742424011
3,Acromyrmex_coronatus_CASENT0744365_processed,3,5321,0.5201876759529114
3,Solenopsis_invicta_CASENT0744384_processed,3,1314,0.12845830619335175
3,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4791,0.46837422251701355
3,Acromyrmex_coronatus_CASENT0744365_processed,5,6725,0.6574445366859436
3,Solenopsis_invicta_CASENT0744384_processed,5,1931,0.18877699971199036
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3052,0.29836738109588623
4,Acromyrmex_coronatus_CASENT0744365_processed,2,4317,0.4220353960990906
4,Solenopsis_invicta_CASENT0744384_processed,2,1002,0.09795679152011871
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3713,0.36298757791519165
4,Acromyrmex_coronatus_CASENT0744365_processed,3,5286,0.5167660713195801
4,Solenopsis_invicta_CASENT0744384_processed,3,1343,0.131293386220932
4,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4699,0.459380179643631
4,Acromyrmex_coronatus_CASENT0744365_processed,5,6720,0.6569557189941406
4,Solenopsis_invicta_CASENT0744384_processed,5,1958,0.19141656160354614
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3073,0.3004203736782074
5,Acromyrmex_coronatus_CASENT0744365_processed,2,4339,0.4241861402988434
5,Solenopsis_invicta_CASENT0744384_processed,2,1004,0.09815230965614319
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3732,0.36484503746032715
5,Acromyrmex_coronatus_CASENT0744365_processed,3,5307,0.5188190340995789
5,Solenopsis_invicta_CASENT0744384_processed,3,1339,0.13090233504772186
5,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4724,0.4618242084980011
5,Acromyrmex_coronatus_CASENT0744365_processed,5,6697,0.6547071933746338
5,Solenopsis_invicta_CASENT0744384_processed,5,1953,0.19092774391174316
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3064,0.29954051971435547
6,Acromyrmex_coronatus_CASENT0744365_processed,2,4385,0.42868316173553467
6,Solenopsis_invicta_CASENT0744384_processed,2,994,0.09717469662427902
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3724,0.36406296491622925
6,Acromyrmex_coronatus_CASENT0744365_processed,3,5306,0.5187212824821472
6,Solenopsis_invicta_CASENT0744384_processed,3,1322,0.12924039363861084
6,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4713,0.4607488512992859
6,Acromyrmex_coronatus_CASENT0744365_processed,5,6676,0.652654230594635
6,Solenopsis_invicta_CASENT0744384_processed,5,1944,0.19004790484905243
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3057,0.2988561987876892
7,Acromyrmex_coronatus_CASENT0744365_processed,2,4439,0.43396225571632385
7,Solenopsis_invicta_CASENT0744384_processed,2,1005,0.09825006872415543
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3718,0.36347639560699463
7,Acromyrmex_coronatus_CASENT0744365_processed,3,5322,0.520285427570343
7,Solenopsis_invicta_CASENT0744384_processed,3,1336,0.13060905039310455
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4704,0.45986899733543396
7,Acromyrmex_coronatus_CASENT0744365_processed,5,6694,0.6544139385223389
7,Solenopsis_invicta_CASENT0744384_processed,5,1950,0.19063447415828705
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3050,0.29817184805870056
8,Acromyrmex_coronatus_CASENT0744365_processed,2,4474,0.43738389015197754
8,Solenopsis_invicta_CASENT0744384_processed,2,1002,0.09795679152011871
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3736,0.3652360737323761
8,Acromyrmex_coronatus_CASENT0744365_processed,3,5344,0.5224362015724182
8,Solenopsis_invicta_CASENT0744384_processed,3,1331,0.13012024760246277
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4740,0.4633883833885193
8,Acromyrmex_coronatus_CASENT0744365_processed,5,6726,0.6575422883033752
8,Solenopsis_invicta_CASENT0744384_processed,5,1945,0.19014565646648407
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3053,0.29846513271331787
9,Acromyrmex_coronatus_CASENT0744365_processed,2,4490,0.4389480948448181
9,Solenopsis_invicta_CASENT0744384_processed,2,1002,0.09795679152011871
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3770,0.36855995655059814
9,Acromyrmex_coronatus_CASENT0744365_processed,3,5378,0.5257601141929626
9,Solenopsis_invicta_CASENT0744384_processed,3,1333,0.13031576573848724
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4796,0.46886304020881653
9,Acromyrmex_coronatus_CASENT0744365_processed,5,6765,0.6613549590110779
9,Solenopsis_invicta_CASENT0744384_processed,5,1947,0.19034118950366974
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3081,0.3012024462223053
10,Acromyrmex_coronatus_CASENT0744365_processed,2,4463,0.43630853295326233
10,Solenopsis_invicta_CASENT0744384_processed,2,998,0.09756574034690857
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3814,0.37286147475242615
10,Acromyrmex_coronatus_CASENT0744365_processed,3,5351,0.5231205224990845
10,Solenopsis_invicta_CASENT0744384_processed,3,1326,0.12963144481182098
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4831,0.4722846746444702
10,Acromyrmex_coronatus_CASENT0744365_processed,5,6737,0.6586176156997681
10,Solenopsis_invicta_CASENT0744384_processed,5,1933,0.18897253274917603
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3026,0.2958256006240845
11,Acromyrmex_coronatus_CASENT0744365_processed,2,4403,0.43044283986091614
11,Solenopsis_invicta_CASENT0744384_processed,2,1001,0.09785902500152588
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3760,0.3675823509693146
11,Acromyrmex_coronatus_CASENT0744365_processed,3,5320,0.5200899243354797
11,Solenopsis_invicta_CASENT0744384_processed,3,1325,0.12953367829322815
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4787,0.4679831862449646
11,Acromyrmex_coronatus_CASENT0744365_processed,5,6723,0.6572489738464355
11,Solenopsis_invicta_CASENT0744384_processed,5,1928,0.18848371505737305
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3003,0.29357707500457764
12,Acromyrmex_coronatus_CASENT0744365_processed,2,4341,0.42438164353370667
12,Solenopsis_invicta_CASENT0744384_processed,2,988,0.0965881273150444
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3721,0.36376968026161194
12,Acromyrmex_coronatus_CASENT0744365_processed,3,5287,0.5168638229370117
12,Solenopsis_invicta_CASENT0744384_processed,3,1313,0.1283605396747589
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4744,0.4637794494628906
12,Acromyrmex_coronatus_CASENT0744365_processed,5,6719,0.656857967376709
12,Solenopsis_invicta_CASENT0744384_processed,5,1932,0.1888747662305832
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3018,0.2950434982776642
13,Acromyrmex_coronatus_CASENT0744365_processed,2,4325,0.4228174686431885
13,Solenopsis_invicta_CASENT0744384_processed,2,977,0.095512755215168
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3733,0.3649427890777588
13,Acromyrmex_coronatus_CASENT0744365_processed,3,5305,0.5186235308647156
13,Solenopsis_invicta_CASENT0744384_processed,3,1298,0.12689411640167236
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4756,0.46495258808135986
13,Acromyrmex_coronatus_CASENT0744365_processed,5,6754,0.6602795720100403
13,Solenopsis_invicta_CASENT0744384_processed,5,1921,0.1877993941307068
14,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2987,0.29201290011405945
14,Acromyrmex_coronatus_CASENT0744365_processed,2,4330,0.42330628633499146
14,Solenopsis_invicta_CASENT0744384_processed,2,970,0.09482842683792114
