stage,specimen,part_a,part_b,direction,n_query_vertices,num_penetrating,max_depth,mean_depth_among_penetrating
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,legs,A_into_B,2173,285.0,0.06887881457805634,0.02995523065328598
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,legs,B_into_A,4705,65.0,0.06462444365024567,0.009323162026703358
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,antenna,A_into_B,379,42.0,0.011018832214176655,0.0032332967966794968
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,antenna,B_into_A,362,20.0,0.051740534603595734,0.006302361376583576
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,legs,A_into_B,379,5.0,0.03737026825547218,0.012553517706692219
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,legs,B_into_A,4705,43.0,0.06843715161085129,0.02776501141488552
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,legs,A_into_B,362,36.0,0.06114540994167328,0.021962016820907593
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,legs,B_into_A,4705,2.0,0.0631428062915802,0.04791834577918053
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,legs,A_into_B,1231,355.0,0.0650993064045906,0.013280641287565231
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,legs,B_into_A,4705,233.0,0.0626869946718216,0.011078803800046444
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,gaster,A_into_B,2173,6.0,0.07180072367191315,0.06836146861314774
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,legs,A_into_B,2173,504.0,0.07143606245517731,0.021849969401955605
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,legs,B_into_A,4705,130.0,0.05119576305150986,0.01281339768320322
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,antenna,A_into_B,379,66.0,0.018569137901067734,0.0029800347983837128
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,antenna,B_into_A,362,55.0,0.016441017389297485,0.0029510322492569685
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,legs,A_into_B,379,2.0,0.010363762266933918,0.0063188401982188225
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,legs,B_into_A,4705,19.0,0.07114364206790924,0.04097596928477287
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,legs,A_into_B,362,9.0,0.03345083072781563,0.008954625576734543
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,legs,B_into_A,4705,198.0,0.0703665241599083,0.01563921570777893
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,legs,A_into_B,1231,217.0,0.07164560258388519,0.014819617383182049
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,legs,B_into_A,4705,643.0,0.07227067649364471,0.019864866510033607
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,gaster,A_into_B,2173,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,legs,A_into_B,2173,1.0,0.05722585320472717,0.05722585320472717
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,antenna,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,antenna,B_into_A,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,legs,A_into_B,362,1.0,0.0307607501745224,0.0307607501745224
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,legs,B_into_A,4705,2.0,0.06271611154079437,0.054263077676296234
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,legs,A_into_B,1231,58.0,0.04777177795767784,0.010935388505458832
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,legs,B_into_A,4705,276.0,0.0760749876499176,0.02247227355837822
