stage,specimen,part,n_vertices,precision@0.01,precision@0.02,precision@0.05
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,head,2173,0.9986194372177124,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,mandible,379,0.9947230219841003,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,antenna,362,0.9944751858711243,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,thorax,1379,0.9992747902870178,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,gaster,1231,0.9983752965927124,1.0,1.0
Stage_3_deform_fine,Acanthostichus_aff.brevicornis_CASENT0744328_processed,legs,4705,0.9923485517501831,0.9982996582984924,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,head,2173,0.999539852142334,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,mandible,379,1.0,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,antenna,362,1.0,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,thorax,1379,0.997824490070343,1.0,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,gaster,1231,0.9886271357536316,0.9991876482963562,1.0
Stage_3_deform_fine,Acromyrmex_coronatus_CASENT0744365_processed,legs,4705,0.9749202728271484,0.9938363432884216,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,head,2173,0.9719282388687134,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,mandible,379,0.9947230219841003,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,antenna,362,0.980663001537323,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,thorax,1379,0.9891225099563599,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,gaster,1231,0.9772542715072632,1.0,1.0
Stage_3_deform_fine,Solenopsis_invicta_CASENT0744384_processed,legs,4705,0.9638682007789612,0.997449517250061,1.0
